X-Data,AVValue[Volts],BVValue[Volts],CVValue[Volts],AIValue[Amps],BIValue[Amps],CIValue[Amps],AVrmsValue[Volts],BVrmsValue[Volts],CVrmsValue[Volts],DVrmsValue[Volts],
0d - 00:00:00,000000000,0.4806,151.67,-151.2549,0.027872,0,-0.0186,,,,,
0d - 00:00:00,000065116,-3.7758,153.35,-148.1610,-0.0557,0.04656,0.009311,,,,,
0d - 00:00:00,000130233,-7.5173,154.52,-145.8922,0.027872,-0.0373,0.009311,,,,,
0d - 00:00:00,000195351,-11.5334,157.81,-145.2734,0.009291,0.03725,0.027932,,,,,
0d - 00:00:00,000260467,-15.3093,160.73,-143.8984,0,0.009313,0.018621,,,,,
0d - 00:00:00,000325585,-19.2567,161.86,-140.8389,0,-0.0093,0,,,,,
0d - 00:00:00,000390702,-23.0669,163.30,-138.2607,0.05574,0.04656,0.018621,,,,,
0d - 00:00:00,000455819,-26.5681,165.12,-136.5075,0.009291,0.009313,0,,,,,
0d - 00:00:00,000520935,-29.5887,166.15,-134.1699,0,0.018626,0,,,,,
0d - 00:00:00,000586053,-33.2959,166.50,-130.2167,0.027872,0.027939,0,,,,,
0d - 00:00:00,000651170,-38.4104,166.70,-125.0259,0.009291,0,0.009311,,,,,
0d - 00:00:00,000716287,-43.1474,167.46,-121.4508,0,0.009313,0.027932,,,,,
0d - 00:00:00,000781404,-46.6143,168.62,-119.2851,0.018581,0.009313,0,,,,,
0d - 00:00:00,000846521,-49.5663,168.93,-116.3631,0,0.018626,-0.0093,,,,,
0d - 00:00:00,000911638,-52.8959,168.38,-112.5474,0,0.018626,0.018621,,,,,
0d - 00:00:00,000976754,-56.1225,168.21,-108.9379,0.018581,0.018626,0.009311,,,,,
0d - 00:00:00,001041871,-59.9326,168.21,-104.8815,0,0.009313,-0.0093,,,,,
0d - 00:00:00,001106989,-64.4636,168.11,-100.1032,0,0.009313,-0.0093,,,,,
0d - 00:00:00,001172106,-69.0976,168.04,-95.4968,-0.0093,0.018626,-0.0279,,,,,
0d - 00:00:00,001237223,-73.5599,167.63,-90.2373,0.03716,0.018626,0.018621,,,,,
0d - 00:00:00,001302340,-78.4342,165.57,-83.3277,0,0.027939,0.018621,,,,,
0d - 00:00:00,001367457,-82.1757,165.36,-80.5776,-0.0186,0.03725,0.027932,,,,,
