X-Data,AVValue[Volts],BVValue[Volts],CVValue[Volts],AIValue[Amps],BIValue[Amps],CIValue[Amps],AVrmsValue[Volts],BVrmsValue[Volts],CVrmsValue[Volts],DVrmsValue[Volts],
0d - 00:00:00,004102245,168.88,-87.6928,-79.4432,0.13007,0.018626,0,,,,,
0d - 00:00:00,004167360,168.64,-83.4026,-83.7402,-0.0557,0.018626,0,,,,,
0d - 00:00:00,004232475,168.81,-78.2886,-88.9654,-0.0743,-0.0186,0,,,,,
0d - 00:00:00,004297590,168.54,-73.9983,-92.8499,0.009291,0.009313,0.009311,,,,,
0d - 00:00:00,004362705,168.20,-70.0170,-96.4593,0.03716,0,0,,,,,
0d - 00:00:00,004427820,167.44,-64.9373,-100.8939,0.009291,0,0,,,,,
0d - 00:00:00,004492935,167.30,-60.5441,-104.8471,0.07433,0.027939,-0.0093,,,,,
0d - 00:00:00,004558050,166.75,-56.7687,-108.2160,0.13007,0,-0.0093,,,,,
0d - 00:00:00,004623165,166.41,-52.5814,-112.0661,-0.0372,0.009313,0,,,,,
0d - 00:00:00,004688280,166.00,-48.3254,-115.9850,0.009291,-0.0093,0.009311,,,,,
0d - 00:00:00,004753395,165.52,-44.5843,-119.1476,0.009291,0,-0.0093,,,,,
0d - 00:00:00,004818510,165.14,-41.1865,-122.2414,0.04645,-0.0373,-0.0093,,,,,
0d - 00:00:00,004883625,164.52,-37.7542,-125.2665,0,0.018626,0,,,,,
0d - 00:00:00,004948740,164.21,-34.3907,-128.2572,0,-0.0093,0.018621,,,,,
0d - 00:00:00,005013855,163.63,-31.0271,-131.3167,0.03716,0,0.009311,,,,,
0d - 00:00:00,005078970,163.08,-27.7322,-134.1699,-0.0186,-0.0093,0.027932,,,,,
0d - 00:00:00,005144085,162.36,-24.2314,-137.0575,0.05574,0.018626,0.03724,,,,,
0d - 00:00:00,005209200,161.50,-20.6619,-139.9107,0.07433,-0.0093,0.018621,,,,,
0d - 00:00:00,005274315,160.44,-17.0237,-142.6952,-0.0093,-0.0093,0.018621,,,,,
0d - 00:00:00,005339430,159.00,-12.9394,-145.3765,0.04645,0.018626,0.018621,,,,,
0d - 00:00:00,005404545,157.35,-9.0610,-147.9204,-0.0372,0.018626,0.009311,,,,,
0d - 00:00:00,005469660,155.84,-5.0453,-150.3954,0,0.018626,0.018621,,,,,
0d - 00:00:00,005534775,153.33,-0.6521,-152.2518,0.05574,0.03725,0.018621,,,,,
0d - 00:00:00,005599890,151.24,3.672,-154.8987,0.027872,0.018626,0.04655,,,,,
0d - 00:00:00,005665005,149.83,7.276,-156.9957,0.04645,0.009313,-0.0186,,,,,
0d - 00:00:00,005730120,147.70,11.223,-158.7145,0.05574,0.018626,0.018621,,,,,
0d - 00:00:00,005795235,144.99,15.548,-160.7427,0.06504,0.018626,0.03724,,,,,
0d - 00:00:00,005860350,142.31,19.426,-161.9458,0.06504,-0.0466,0.009311,,,,,
0d - 00:00:00,005925465,139.64,22.996,-163.1146,0.03716,0.009313,0.03724,,,,,
0d - 00:00:00,005990580,136.96,26.771,-164.3865,0.018581,0.018626,0.009311,,,,,
0d - 00:00:00,006055695,134.11,30.478,-165.4178,0.05574,-0.0186,0.009311,,,,,
0d - 00:00:00,006120810,130.64,34.77,-166.1741,0.05574,0.009313,0.027932,,,,,
0d - 00:00:00,006185925,126.73,39.57,-167.4116,0.05574,0.009313,-0.0372,,,,,
0d - 00:00:00,006251040,123.47,44.34,-168.9585,0.009291,0,-0.0372,,,,,
0d - 00:00:00,006316155,119.73,48.70,-169.4742,0.04645,0,-0.0093,,,,,
0d - 00:00:00,006381270,115.71,52.27,-169.0961,0.04645,-0.0093,0.018621,,,,,
0d - 00:00:00,006446385,112.49,55.36,-169.0961,0.027872,0,0.018621,,,,,
0d - 00:00:00,006511500,109.46,58.73,-169.4742,0.04645,0,0.009311,,,,,
0d - 00:00:00,006576615,106.24,62.12,-169.5429,0.04645,0,0.018621,,,,,
0d - 00:00:00,006641730,102.29,65.97,-169.3023,0.018581,-0.0093,-0.0372,,,,,
0d - 00:00:00,006706845,97.48,70.77,-169.3023,0.027872,0.009313,-0.0186,,,,,
0d - 00:00:00,006771960,92.92,75.13,-169.1648,0.027872,-0.0186,-0.0279,,,,,
0d - 00:00:00,006837075,88.97,78.56,-168.8554,0.03716,0.009313,0.009311,,,,,
0d - 00:00:00,006902190,85.13,82.24,-168.6148,0.05574,0.027939,-0.0093,,,,,
0d - 00:00:00,006967305,81.01,86.15,-168.3398,-0.0372,0,0.018621,,,,,
0d - 00:00:00,007032420,77.03,89.65,-167.9960,0.03716,0.009313,0.009311,,,,,
0d - 00:00:00,007097535,73.66,92.70,-167.7898,0.018581,0,-0.0372,,,,,
0d - 00:00:00,007162650,70.30,95.93,-167.5148,0.009291,0.018626,0.018621,,,,,
0d - 00:00:00,007227765,65.70,100.19,-167.1022,0.018581,-0.0186,-0.0186,,,,,
0d - 00:00:00,007292880,60.83,104.48,-166.4491,0.018581,0.009313,-0.0186,,,,,
0d - 00:00:00,007357995,56.36,108.66,-166.2085,0.03716,0.027939,0.027932,,,,,
0d - 00:00:00,007423110,51.93,112.99,-166.2772,0.05574,0.009313,0.018621,,,,,
0d - 00:00:00,007488225,47.68,117.31,-166.1053,0.03716,0.009313,0.027932,,,,,
0d - 00:00:00,007553340,43.77,120.61,-165.6928,-0.0186,0.018626,0.018621,,,,,
0d - 00:00:00,007618455,40.33,123.46,-164.9365,0,0.009313,0.018621,,,,,
0d - 00:00:00,007683570,37.07,126.10,-164.1803,0.027872,0.009313,0,,,,,
0d - 00:00:00,007748685,33.88,128.74,-163.4240,0.027872,0.027939,-0.0093,,,,,
0d - 00:00:00,007813799,30.619,131.38,-162.6333,0.04645,0.009313,0,,,,,
0d - 00:00:00,007878915,27.117,134.27,-161.9115,0,0,0,,,,,
0d - 00:00:00,007944029,23.616,137.25,-161.2239,0.009291,0.018626,0.009311,,,,,
0d - 00:00:00,008009145,20.081,140.31,-160.2958,0.03716,0.009313,0.009311,,,,,
0d - 00:00:00,008074260,16.167,143.19,-159.1270,0.018581,0.018626,0.027932,,,,,
0d - 00:00:00,008139375,12.083,145.87,-157.6488,0.018581,0.018626,0,,,,,
0d - 00:00:00,008204490,8.547,148.13,-156.2050,0.027872,-0.0093,0.03724,,,,,
0d - 00:00:00,008269604,4.909,150.26,-154.4862,0.018581,0.018626,0.027932,,,,,
0d - 00:00:00,008270000,,,,,,,121.73,122.04,122.00,0.07721,
0d - 00:00:00,008335000,0.5835,152.25,-151.7361,-0.0093,0.04656,-0.0093,,,,,
0d - 00:00:00,008400115,-3.8788,154.45,-149.6736,0.04645,0.04656,0,,,,,
0d - 00:00:00,008465230,-7.3800,156.61,-148.1266,0.027872,-0.0093,0.027932,,,,,
0d - 00:00:00,008530345,-11.3618,158.67,-145.8234,0.009291,0.018626,0,,,,,
0d - 00:00:00,008595460,-15.5839,160.49,-143.2452,0.009291,-0.0186,0.018621,,,,,
0d - 00:00:00,008660575,-19.3597,161.83,-140.7014,0.018581,0.018626,-0.0093,,,,,
0d - 00:00:00,008725690,-22.8952,163.06,-138.0544,0.027872,-0.0093,0.009311,,,,,
0d - 00:00:00,008790805,-26.5338,164.23,-135.2700,0.018581,-0.0093,-0.0093,,,,,
0d - 00:00:00,008855920,-29.9663,164.92,-132.5199,0.04645,0.009313,0.05586,,,,,
0d - 00:00:00,008921035,-33.9824,165.91,-129.1166,0.027872,0.009313,-0.0093,,,,,
0d - 00:00:00,008986150,-39.1656,167.11,-124.8196,0.018581,0.009313,0,,,,,
0d - 00:00:00,009051265,-44.1772,168.49,-121.4164,-0.0093,0.027939,-0.0093,,,,,
0d - 00:00:00,009116380,-48.1246,169.45,-118.4601,0.018581,0.009313,-0.0093,,,,,
0d - 00:00:00,009181495,-51.3856,169.41,-115.0912,-0.0093,0.009313,0.018621,,,,,
0d - 00:00:00,009246610,-54.4749,169.34,-111.9973,0.009291,0,0,,,,,
0d - 00:00:00,009311725,-57.2552,169.21,-109.1441,0.05574,0.009313,0,,,,,
0d - 00:00:00,009376840,-60.7908,169.38,-105.2596,-0.0279,0.018626,0.009311,,,,,
0d - 00:00:00,009441955,-65.3561,169.31,-100.3095,0,0,-0.0093,,,,,
