X-Data,AVValue[Volts],BVValue[Volts],CVValue[Volts],AIValue[Amps],BIValue[Amps],CIValue[Amps],AVrmsValue[Volts],BVrmsValue[Volts],CVrmsValue[Volts],DVrmsValue[Volts],
0d - 00:00:00,000000000,0.7895,152.97,-152.9049,0.018581,0.027939,0,,,,,
0d - 00:00:00,000065092,-3.1923,155.14,-151.1174,-0.0093,0,0,,,,,
0d - 00:00:00,000130184,-6.5562,156.41,-148.5391,0.12078,0.018626,0.027932,,,,,
0d - 00:00:00,000195276,-10.9842,157.74,-145.3765,0.009291,0.018626,0,,,,,
0d - 00:00:00,000260368,-15.4122,160.46,-143.5202,-0.0093,0.009313,0.06517,,,,,
0d - 00:00:00,000325460,-19.2224,162.34,-141.3202,0.05574,0.009313,0.027932,,,,,
0d - 00:00:00,000390552,-22.7579,163.37,-138.6732,0.009291,0.04656,-0.0093,,,,,
0d - 00:00:00,000455644,-26.1218,164.44,-136.3013,0.018581,0.07450,0.018621,,,,,
0d - 00:00:00,000520736,-29.3485,165.64,-133.7918,0.04645,0.009313,-0.0745,,,,,
0d - 00:00:00,000585828,-33.7421,165.78,-128.3604,-0.1115,0.018626,-0.0093,,,,,
0d - 00:00:00,000650920,-40.5386,164.40,-120.2132,-0.0093,0,0.03724,,,,,
0d - 00:00:00,000716012,-45.3442,165.71,-118.4944,0.009291,0.018626,-0.0186,,,,,
0d - 00:00:00,000781104,-47.3351,169.31,-119.8007,0.11149,0.04656,0.009311,,,,,
0d - 00:00:00,000846196,-50.1842,170.37,-116.9131,0.009291,-0.0466,-0.0279,,,,,
0d - 00:00:00,000911288,-54.2689,169.72,-112.3755,-0.0836,0,-0.0279,,,,,
0d - 00:00:00,000976380,-57.3582,169.52,-109.3848,0.06504,0,0,,,,,
0d - 00:00:00,001041472,-61.0997,169.17,-104.4690,0.027872,0.018626,-0.0559,,,,,
0d - 00:00:00,001106564,-66.4545,168.42,-98.2469,-0.0186,-0.0093,0.027932,,,,,
0d - 00:00:00,001171656,-71.0542,168.56,-94.5687,-0.0093,0.009313,0,,,,,
0d - 00:00:00,001236748,-74.1778,169.45,-92.5405,0.009291,0.027939,0,,,,,
0d - 00:00:00,001301840,-77.2671,169.89,-89.4466,-0.0743,0.009313,0.018621,,,,,
0d - 00:00:00,001366932,-81.2832,169.76,-84.9090,0.09291,-0.0093,0.027932,,,,,
0d - 00:00:00,001432024,-85.8485,169.48,-80.2338,-0.0186,-0.0373,-0.0186,,,,,
0d - 00:00:00,001497116,-90.2422,169.24,-75.5587,0.018581,0.009313,0.009311,,,,,
0d - 00:00:00,001562208,-94.2583,168.66,-71.0898,0,-0.0186,0.018621,,,,,
0d - 00:00:00,001627300,-97.8969,168.25,-66.9990,-0.0093,-0.0745,0,,,,,
0d - 00:00:00,001692392,-101.5354,167.94,-63.1489,-0.0279,0.009313,0,,,,,
0d - 00:00:00,001757484,-105.3455,167.39,-58.8175,0.009291,0.03725,0.018621,,,,,
0d - 00:00:00,001822576,-109.1900,167.08,-54.6580,-0.1208,-0.0838,0.009311,,,,,
0d - 00:00:00,001887668,-112.9315,166.63,-50.4985,0.08362,0.018626,-0.0559,,,,,
0d - 00:00:00,001952760,-116.5014,166.26,-46.8546,-0.1394,-0.0186,-0.0093,,,,,
0d - 00:00:00,002017852,-119.6250,165.84,-43.2451,-0.0093,-0.0093,-0.0093,,,,,
0d - 00:00:00,002082944,-122.6800,165.02,-39.7044,-0.0279,0,0.018621,,,,,
0d - 00:00:00,002148036,-125.5634,164.37,-36.3699,-0.0372,-0.0279,0.009311,,,,,
0d - 00:00:00,002213128,-128.4124,163.72,-32.6229,0.018581,-0.0186,-0.0093,,,,,
0d - 00:00:00,002278220,-131.6390,162.89,-28.8072,-0.0279,-0.0093,0.09311,,,,,
0d - 00:00:00,002343312,-134.7283,162.21,-25.2321,-0.0465,0.027939,0.009311,,,,,
0d - 00:00:00,002408404,-137.7146,161.45,-21.6569,-0.0186,0.009313,0.03724,,,,,
0d - 00:00:00,002473496,-140.5637,160.42,-18.0818,0.009291,0.009313,0.018621,,,,,
0d - 00:00:00,002538588,-143.4470,159.43,-14.1630,-0.0093,-0.0279,0,,,,,
0d - 00:00:00,002603680,-146.4334,158.02,-10.0722,-0.0186,0,0,,,,,
0d - 00:00:00,002668772,-148.7675,156.34,-6.3596,-0.1394,0,0.009311,,,,,
0d - 00:00:00,002733864,-150.8614,154.83,-2.5438,-0.0372,0.13969,-0.0093,,,,,
0d - 00:00:00,002798956,-153.2985,152.80,1.6157,0.03716,0.04656,0.04655,,,,,
0d - 00:00:00,002864048,-155.2894,150.88,5.122,0.13936,0.027939,0.009311,,,,,
0d - 00:00:00,002929140,-155.7700,148.44,7.735,-0.0186,-0.0745,-0.0279,,,,,
0d - 00:00:00,002994232,-157.9668,146.04,12.616,-0.0372,0.009313,-0.0466,,,,,
0d - 00:00:00,003059324,-161.0561,143.57,17.807,0.018581,0.009313,-0.0186,,,,,
0d - 00:00:00,003124416,-162.9783,140.51,21.863,-0.0279,0.009313,-0.0093,,,,,
0d - 00:00:00,003189508,-163.1157,137.56,25.060,0.009291,0.009313,0.027932,,,,,
0d - 00:00:00,003254600,-164.3514,135.30,28.567,-0.0650,0,-0.0093,,,,,
0d - 00:00:00,003319692,-165.7587,132.45,32.42,-0.1208,0.027939,0.018621,,,,,
0d - 00:00:00,003384784,-164.8319,127.09,36.51,-0.0093,0.009313,0.027932,,,,,
0d - 00:00:00,003449876,-164.0424,121.33,41.94,0,0,-0.0093,,,,,
0d - 00:00:00,003514968,-166.6169,119.20,46.89,-0.0372,-0.0186,0,,,,,
0d - 00:00:00,003580060,-169.6375,117.96,50.60,-0.0465,-0.0093,-0.0093,,,,,
0d - 00:00:00,003645152,-170.4957,114.88,54.00,-0.0557,0.03725,0,,,,,
0d - 00:00:00,003710244,-169.9808,111.75,56.17,-0.1301,-0.0466,0.009311,,,,,
0d - 00:00:00,003775336,-168.7794,108.94,58.30,-0.0186,-0.0093,0,,,,,
0d - 00:00:00,003840428,-168.7107,104.17,63.66,-0.0372,0.03725,-0.0466,,,,,
0d - 00:00:00,003905520,-169.6032,98.37,70.23,-0.0372,-0.0279,0.027932,,,,,
0d - 00:00:00,003970612,-170.2897,94.15,74.63,-0.0372,0,-0.0186,,,,,
0d - 00:00:00,004035704,-170.0838,90.61,77.76,-0.0279,0.009313,0.027932,,,,,
0d - 00:00:00,004100796,-169.5689,86.90,81.06,-0.0743,-0.0093,0.009311,,,,,
0d - 00:00:00,004165888,-169.3286,83.03,84.57,-0.0743,-0.0186,-0.0093,,,,,
0d - 00:00:00,004230980,-169.0883,78.91,88.55,-0.0186,-0.0093,0.018621,,,,,
0d - 00:00:00,004296072,-168.4705,74.31,92.54,-0.0279,-0.0373,-0.0186,,,,,
