X-Data,AVValue[Volts],BVValue[Volts],CVValue[Volts],AIValue[Amps],BIValue[Amps],CIValue[Amps],AVrmsValue[Volts],BVrmsValue[Volts],CVrmsValue[Volts],DVrmsValue[Volts],
0d - 00:00:00,000000000,0.6865,152.77,-153.6612,0.07433,4.330,-0.0093,,,,,
0d - 00:00:00,000065089,-3.3296,155.03,-151.7361,0.03716,4.377,0.009311,,,,,
0d - 00:00:00,000130178,-5.5264,156.30,-150.9111,-0.0279,4.275,-0.0093,,,,,
0d - 00:00:00,000195267,-8.5471,157.57,-148.4016,0.018581,4.219,-0.0093,,,,,
0d - 00:00:00,000260356,-13.4900,159.67,-144.9297,0.03716,4.172,-0.0279,,,,,
0d - 00:00:00,000325445,-18.9135,161.62,-141.2858,0.08362,4.209,-0.0652,,,,,
0d - 00:00:00,000390534,-23.5131,163.13,-138.1576,-0.0186,4.163,0.04655,,,,,
0d - 00:00:00,000455623,-27.2889,164.54,-135.9575,-0.0929,4.181,0,,,,,
0d - 00:00:00,000520712,-30.0006,165.67,-134.1012,-0.0093,4.079,-0.0372,,,,,
0d - 00:00:00,000585801,-33.5019,166.26,-130.6636,0.03716,4.023,-0.0559,,,,,
0d - 00:00:00,000650890,-38.9597,166.81,-125.4384,0.24156,3.995,-0.0372,,,,,
0d - 00:00:00,000715979,-44.4861,168.25,-121.5883,0.06504,3.986,0,,,,,
0d - 00:00:00,000781068,-48.6738,169.38,-118.5976,0.018581,3.828,-0.0186,,,,,
0d - 00:00:00,000846157,-51.7288,169.48,-115.6756,-0.0186,3.846,-0.0652,,,,,
0d - 00:00:00,000911246,-54.5778,169.34,-112.5130,0,3.753,-0.0372,,,,,
0d - 00:00:00,000976335,-57.9074,169.38,-109.0410,0.009291,3.762,-0.0745,,,,,
0d - 00:00:00,001041424,-61.5460,169.38,-105.3284,0.05574,3.641,0.009311,,,,,
0d - 00:00:00,001106513,-65.7680,169.24,-100.6876,0.027872,3.585,-0.1117,,,,,
0d - 00:00:00,001171602,-70.7109,169.28,-95.9437,0.12078,3.492,-0.0186,,,,,
0d - 00:00:00,001236691,-74.5554,169.48,-92.6092,-0.0465,3.455,-0.0372,,,,,
0d - 00:00:00,001301780,-77.6447,169.55,-89.4810,-0.0186,3.343,0.12104,,,,,
0d - 00:00:00,001366869,-81.1459,169.17,-85.0121,-0.0743,3.269,0.009311,,,,,
0d - 00:00:00,001431958,-85.6426,168.73,-80.1994,-0.0465,3.213,-0.0093,,,,,
0d - 00:00:00,001497047,-89.8990,168.35,-75.9024,0.027872,3.0546,-0.0466,,,,,
0d - 00:00:00,001562136,-93.7778,168.14,-71.5710,-0.0743,3.0826,-0.0559,,,,,
0d - 00:00:00,001627225,-98.0685,167.80,-66.9990,0.08362,2.9987,-0.0372,,,,,
0d - 00:00:00,001692314,-101.8786,167.66,-63.2864,0.009291,2.8684,-0.0466,,,,,
0d - 00:00:00,001757403,-105.3455,167.25,-59.3332,0.018581,2.8870,0.018621,,,,,
0d - 00:00:00,001822492,-109.6362,166.70,-54.1080,-0.0743,2.8125,-0.0559,,,,,
0d - 00:00:00,001887581,-114.2016,166.26,-49.6047,0.07433,2.7007,-0.0279,,,,,
0d - 00:00:00,001952670,-117.6684,165.98,-45.9608,-0.0743,2.6728,-0.0279,,,,,
0d - 00:00:00,002017759,-120.8607,165.57,-42.5232,0,2.6076,-0.1024,,,,,
0d - 00:00:00,002082848,-123.8814,165.05,-39.1200,0.20440,2.5424,-0.0093,,,,,
0d - 00:00:00,002147937,-126.7304,164.51,-35.7511,-0.0093,2.5052,0.018621,,,,,
0d - 00:00:00,002213026,-129.8197,164.09,-32.1760,0.009291,2.4307,-0.0093,,,,,
0d - 00:00:00,002278115,-132.9434,163.37,-28.3947,-0.1022,2.3655,-0.0466,,,,,
0d - 00:00:00,002343204,-136.0670,162.51,-24.8883,0.09291,2.2817,-0.0838,,,,,
0d - 00:00:00,002408293,-139.0190,161.73,-21.2444,-0.0372,2.2444,0,,,,,
0d - 00:00:00,002473382,-141.5248,160.32,-17.3943,0,2.1513,-0.0466,,,,,
0d - 00:00:00,002538471,-144.4082,159.25,-13.5786,0.06504,2.0768,-0.0372,,,,,
0d - 00:00:00,002603560,-147.4632,158.36,-9.8659,-0.1022,2.0023,-0.0279,,,,,
