X-Data,AVValue[Volts],BVValue[Volts],CVValue[Volts],AIValue[Amps],BIValue[Amps],CIValue[Amps],AVrmsValue[Volts],BVrmsValue[Volts],CVrmsValue[Volts],DVrmsValue[Volts],
0d - 00:00:00,000000000,0.5149,152.97,-151.4611,0.009291,-0.0745,-3.3518,,,,,
0d - 00:00:00,000065100,-4.1877,154.76,-149.0204,-0.0186,-0.1118,-3.4077,,,,,
0d - 00:00:00,000130200,-8.0322,157.23,-147.5079,0.009291,-0.1024,-3.5381,,,,,
0d - 00:00:00,000195300,-11.8424,159.60,-145.6172,0.009291,-0.0838,-3.6591,,,,,
0d - 00:00:00,000260400,-16.1331,161.38,-143.0390,0,-0.1304,-3.7522,,,,,
0d - 00:00:00,000325500,-20.0462,162.45,-139.9795,0.009291,-0.0373,-3.8639,,,,,
0d - 00:00:00,000390600,-23.7190,163.65,-137.3669,0.04645,-0.1211,-3.9943,,,,,
0d - 00:00:00,000455700,-26.9800,164.88,-134.8918,0,-0.1583,-4.0781,,,,,
0d - 00:00:00,000520800,-30.1723,165.64,-132.2105,0.018581,-0.1024,-4.2457,,,,,
0d - 00:00:00,000585900,-34.4630,166.39,-128.0510,0.04645,-0.0652,-4.2736,,,,,
0d - 00:00:00,000651000,-40.0581,167.49,-123.5821,0,-0.1583,-4.3853,,,,,
0d - 00:00:00,000716100,-44.9666,169.04,-120.5914,0.027872,-0.0652,-4.4505,,,,,
0d - 00:00:00,000781200,-48.3306,170.00,-118.2538,-0.0093,-0.1304,-4.5622,,,,,
0d - 00:00:00,000846300,-51.0766,169.93,-115.2287,0,-0.1211,-4.6460,,,,,
0d - 00:00:00,000911400,-54.3376,169.59,-111.4129,0.009291,-0.2049,-4.7205,,,,,
0d - 00:00:00,000976500,-57.8731,169.59,-108.0097,0.018581,-0.0093,-4.8509,,,,,
0d - 00:00:00,001041600,-61.2370,169.55,-104.4002,0.009291,-0.0373,-4.9160,,,,,
0d - 00:00:00,001106700,-65.5964,169.65,-99.7251,0.03716,-0.1490,-4.9626,,,,,
0d - 00:00:00,001171800,-70.4363,169.79,-95.2906,0,-0.0559,-5.0650,,,,,
0d - 00:00:00,001236900,-74.1778,170.07,-92.2311,0,-0.0931,-5.1209,,,,,
0d - 00:00:00,001302000,-77.0268,170.13,-89.1716,-0.0186,-0.1024,-5.1954,,,,,
0d - 00:00:00,001367100,-80.8027,169.76,-84.5996,0,-0.0931,-5.2512,,,,,
0d - 00:00:00,001432200,-85.3337,169.38,-79.6494,-0.0186,-0.0931,-5.3164,,,,,
0d - 00:00:00,001497300,-89.4871,169.14,-75.5587,-0.1672,-0.1024,-5.3816,,,,,
0d - 00:00:00,001562400,-93.2286,168.86,-71.5023,-0.0186,-0.1024,-5.4095,,,,,
0d - 00:00:00,001627500,-97.0387,168.45,-67.3772,0.08362,-0.0745,-5.4840,,,,,
0d - 00:00:00,001692600,-100.9518,168.18,-63.0114,-0.0465,-0.0838,-5.5026,,,,,
0d - 00:00:00,001757700,-104.9336,167.70,-58.7144,0.027872,-0.0838,-5.5492,,,,,
0d - 00:00:00,001822800,-108.5378,167.32,-54.6924,0.03716,-0.0931,-5.5585,,,,,
0d - 00:00:00,001887900,-112.3136,166.87,-50.4641,0,-0.1024,-5.6143,,,,,
0d - 00:00:00,001953000,-116.1238,166.39,-46.5796,-0.0093,-0.0931,-5.6423,,,,,
0d - 00:00:00,002018100,-119.1445,165.88,-43.2451,0.13936,-0.0745,-5.5771,,,,,
0d - 00:00:00,002083200,-122.0621,165.40,-39.8763,0.12078,-0.0745,-5.7075,,,,,
0d - 00:00:00,002148300,-124.9112,164.71,-36.3012,0.009291,-0.0931,-5.7913,,,,,
0d - 00:00:00,002213400,-128.0348,163.92,-32.4854,-0.0929,-0.0838,-5.8006,,,,,
0d - 00:00:00,002278500,-131.1584,163.27,-28.9103,-0.1394,-0.0652,-5.7354,,,,,
0d - 00:00:00,002343600,-133.9388,162.48,-25.4039,0,-0.0652,-5.7354,,,,,
0d - 00:00:00,002408700,-136.9938,161.69,-21.7601,0.03716,-0.0745,-5.7819,,,,,
0d - 00:00:00,002473800,-140.0831,160.83,-18.1850,-0.0650,-0.0838,-5.7633,,,,,
0d - 00:00:00,002538900,-142.6232,159.43,-14.5755,-0.0557,-0.0838,-5.7354,,,,,
0d - 00:00:00,002604000,-144.7514,157.44,-10.0722,-0.0186,-0.0745,-5.7726,,,,,
0d - 00:00:00,002669100,-147.9437,155.82,-5.3970,-0.0279,-0.0931,-5.8006,,,,,
0d - 00:00:00,002734200,-151.0673,154.41,-1.3063,-0.0372,-0.0838,-5.7726,,,,,
0d - 00:00:00,002799300,-153.2299,152.18,2.7501,-0.0186,-0.0745,-5.7726,,,,,
0d - 00:00:00,002864400,-154.8775,149.99,6.428,-0.0465,-0.0745,-5.7726,,,,,
0d - 00:00:00,002929500,-156.6967,148.48,9.522,-0.0372,-0.0466,-5.6888,,,,,
0d - 00:00:00,002994600,-158.8593,146.31,13.819,-0.0093,-0.0745,-5.6330,,,,,
