X-Data,AVValue[Volts],BVValue[Volts],CVValue[Volts],AIValue[Amps],BIValue[Amps],CIValue[Amps],AVrmsValue[Volts],BVrmsValue[Volts],CVrmsValue[Volts],DVrmsValue[Volts],
0d - 00:00:00,000000000,0.06865,-151.9780,151.15,-0.0279,-0.7916,0.009311,,,,,
0d - 00:00:00,000065114,4.325,-155.0670,149.98,0,-0.8195,0.027932,,,,,
0d - 00:00:00,000130228,7.414,-156.9890,148.61,0,-0.9872,-0.0186,,,,,
0d - 00:00:00,000195342,11.327,-158.9111,146.34,-0.0186,-1.0524,-0.0186,,,,,
0d - 00:00:00,000260456,16.133,-161.1763,143.35,-0.0093,-1.1455,0,,,,,
0d - 00:00:00,000325570,20.595,-162.4119,140.05,0.03716,-1.1455,-0.0093,,,,,
0d - 00:00:00,000390684,24.097,-163.4072,137.37,-0.0186,-1.3690,0.009311,,,,,
0d - 00:00:00,000455798,27.255,-164.5399,135.30,0.009291,-1.4994,-0.0093,,,,,
0d - 00:00:00,000520912,30.241,-165.2263,132.79,0.009291,-1.5273,0,,,,,
0d - 00:00:00,000586026,33.85,-165.8441,129.08,0.027872,-1.6204,-0.0186,,,,,
0d - 00:00:00,000651140,39.54,-166.9424,124.37,0,-1.7043,0.018621,,,,,
0d - 00:00:00,000716254,44.62,-168.5555,121.24,-0.1672,-1.8160,0.009311,,,,,
0d - 00:00:00,000781368,48.26,-169.4479,118.67,0.07433,-1.9091,0.009311,,,,,
0d - 00:00:00,000846482,51.45,-169.4136,115.06,-0.0186,-1.9930,0.027932,,,,,
0d - 00:00:00,000911596,53.72,-168.0750,111.89,-0.0186,-2.0768,0,,,,,
0d - 00:00:00,000976710,55.99,-167.6289,109.01,0.009291,-2.1699,0.027932,,,,,
0d - 00:00:00,001041824,60.21,-168.3496,104.78,-0.0186,-2.2537,0.08380,,,,,
0d - 00:00:00,001106938,66.08,-169.0017,99.48,0.13007,-2.2910,-0.0931,,,,,
0d - 00:00:00,001172052,71.33,-169.3450,95.22,-0.0186,-2.3841,0.018621,,,,,
0d - 00:00:00,001237166,74.38,-169.7911,92.82,0.009291,-2.4679,0.04655,,,,,
0d - 00:00:00,001302280,77.16,-169.7911,89.76,0,-2.5424,0.009311,,,,,
0d - 00:00:00,001367394,81.01,-169.0704,84.91,-0.0279,-2.6262,-0.0466,,,,,
0d - 00:00:00,001432508,85.40,-168.2810,79.86,-0.0465,-2.6728,-0.0372,,,,,
