X-Data,AVValue[Volts],BVValue[Volts],CVValue[Volts],AIValue[Amps],BIValue[Amps],CIValue[Amps],AVrmsValue[Volts],BVrmsValue[Volts],CVrmsValue[Volts],DVrmsValue[Volts],
0d - 00:00:00,000000000,-0.5835,-152.5615,152.56,-0.0186,-0.0466,-0.0372,,,,,
0d - 00:00:00,000065104,3.536,-154.6894,150.40,-0.0093,-0.0279,-0.0279,,,,,
0d - 00:00:00,000130209,7.140,-156.5085,148.16,-0.0279,-0.0186,-0.0559,,,,,
0d - 00:00:00,000195315,11.465,-158.6022,146.00,-0.0186,-0.0186,-0.0372,,,,,
0d - 00:00:00,000260419,15.687,-160.5585,143.52,-0.0279,-0.0186,-0.0652,,,,,
0d - 00:00:00,000325525,19.257,-161.5882,140.53,0.018581,-0.0186,-0.0466,,,,,
0d - 00:00:00,000390630,22.827,-162.4119,137.54,0.009291,-0.0186,-0.0372,,,,,
0d - 00:00:00,000455735,26.362,-163.5789,135.27,-0.0093,-0.0373,-0.0186,,,,,
0d - 00:00:00,000520839,29.760,-164.7115,132.62,0.009291,0.018626,-0.0466,,,,,
0d - 00:00:00,000585945,33.98,-165.6382,128.67,-0.0279,-0.0186,-0.0466,,,,,
0d - 00:00:00,000651050,39.37,-167.0111,124.58,-0.0186,-0.0093,0,,,,,
0d - 00:00:00,000716155,44.01,-168.5555,121.76,0.027872,0,-0.0186,,,,,
0d - 00:00:00,000781260,47.92,-169.2763,118.63,0.009291,0.009313,-0.0559,,,,,
0d - 00:00:00,000846365,51.35,-169.1733,115.02,0,-0.0093,-0.0093,,,,,
0d - 00:00:00,000911470,54.37,-169.0361,111.89,0,-0.0186,-0.0279,,,,,
0d - 00:00:00,000976574,57.15,-169.1047,109.04,0,0.009313,-0.0372,,,,,
0d - 00:00:00,001041679,60.86,-169.1047,105.02,-0.0093,-0.0279,-0.0372,,,,,
0d - 00:00:00,001106785,65.49,-169.1733,100.34,-0.0279,-0.0093,-0.0372,,,,,
0d - 00:00:00,001171890,69.92,-169.4822,96.29,0.009291,-0.0093,-0.0372,,,,,
0d - 00:00:00,001236995,73.46,-169.5509,92.88,0.018581,0,-0.0186,,,,,
0d - 00:00:00,001302100,76.92,-169.5166,89.24,0.027872,-0.0186,-0.0279,,,,,
0d - 00:00:00,001367205,81.08,-169.1047,84.87,0,-0.0279,-0.0372,,,,,
0d - 00:00:00,001432310,85.06,-168.8301,80.51,0.009291,-0.0373,-0.0559,,,,,
0d - 00:00:00,001497415,88.70,-168.4869,76.31,-0.0093,0.009313,-0.0372,,,,,
0d - 00:00:00,001562520,92.95,-168.1094,71.64,0.009291,0,-0.0838,,,,,
0d - 00:00:00,001627625,97.35,-167.7318,67.21,0.009291,-0.0279,-0.0559,,,,,
0d - 00:00:00,001692730,100.81,-167.3886,63.49,0.009291,-0.0279,-0.0279,,,,,
0d - 00:00:00,001757835,104.62,-166.7708,58.68,0.04645,-0.0093,-0.0186,,,,,
0d - 00:00:00,001822940,108.95,-166.0844,53.83,0.018581,-0.0186,-0.0372,,,,,
0d - 00:00:00,001888045,112.45,-165.2263,49.78,0,-0.0093,-0.0652,,,,,
0d - 00:00:00,001953149,115.88,-165.2263,46.44,0.03716,0.009313,-0.0372,,,,,
0d - 00:00:00,002018255,119.69,-165.3293,42.76,0.009291,0.009313,-0.0093,,,,,
0d - 00:00:00,002083359,123.16,-164.9174,38.91,0.06504,-0.0186,-0.0093,,,,,
0d - 00:00:00,002148465,126.15,-164.4026,35.85,0.027872,0,-0.0466,,,,,
0d - 00:00:00,002213570,128.86,-163.7848,32.59,0.05574,0,-0.0186,,,,,
0d - 00:00:00,002278675,131.88,-162.8238,28.601,0,-0.0279,-0.0652,,,,,
0d - 00:00:00,002343780,134.97,-161.7941,24.579,0.018581,0,-0.0186,,,,,
0d - 00:00:00,002408885,137.75,-160.9704,21.313,0.018581,0.009313,-0.0466,,,,,
0d - 00:00:00,002473990,140.53,-160.3183,18.047,0.018581,-0.0186,-0.0559,,,,,
0d - 00:00:00,002539095,143.69,-159.3572,13.785,-0.0557,0,-0.0279,,,,,
0d - 00:00:00,002604200,146.47,-157.8471,9.832,0.027872,0.009313,-0.0093,,,,,
0d - 00:00:00,002669305,148.60,-156.4399,6.635,0.04645,-0.0093,-0.0466,,,,,
0d - 00:00:00,002734410,150.55,-154.7238,2.8188,0,-0.0093,-0.0186,,,,,
0d - 00:00:00,002799515,152.96,-152.3555,-1.8907,0.03716,-0.0186,-0.0466,,,,,
0d - 00:00:00,002864620,155.15,-149.9530,-5.8439,0.009291,0.018626,-0.0466,,,,,
0d - 00:00:00,002929725,156.49,-148.0653,-9.0409,0.018581,-0.0373,-0.0186,,,,,
0d - 00:00:00,002994830,158.41,-145.9373,-12.9254,0.03716,0.009313,-0.0559,,,,,
0d - 00:00:00,003059935,160.47,-143.2945,-17.1193,0.05574,-0.0186,-0.0466,,,,,
0d - 00:00:00,003125040,161.78,-140.4115,-20.8319,0.05574,0,-0.0372,,,,,
0d - 00:00:00,003190145,163.12,-138.1119,-24.4414,0.018581,0.009313,0,,,,,
0d - 00:00:00,003255250,164.66,-135.4691,-28.6353,0.05574,0.009313,-0.0372,,,,,
0d - 00:00:00,003320355,164.59,-131.0072,-32.4167,0.03716,0,-0.0372,,,,,
0d - 00:00:00,003385460,165.11,-127.0945,-37.0918,0.09291,-0.0093,-0.0559,,,,,
0d - 00:00:00,003450565,167.37,-124.4860,-42.1107,0.07433,-0.0279,-0.0186,,,,,
0d - 00:00:00,003515670,169.64,-122.0149,-46.3390,0.03716,0.009313,-0.0559,,,,,
0d - 00:00:00,003580775,169.67,-118.4110,-49.5016,0.009291,0.018626,-0.0466,,,,,
0d - 00:00:00,003645880,169.23,-114.8759,-52.5954,0.04645,0.009313,-0.0838,,,,,
0d - 00:00:00,003710985,169.26,-111.4780,-56.2737,0.027872,-0.0093,-0.0279,,,,,
0d - 00:00:00,003776090,169.43,-107.8399,-60.0551,0.04645,0.018626,-0.0466,,,,,
0d - 00:00:00,003841195,169.77,-103.9615,-64.1802,0.018581,-0.0186,-0.0559,,,,,
0d - 00:00:00,003906299,170.08,-99.8771,-68.7178,0.05574,-0.0279,-0.0652,,,,,
0d - 00:00:00,003971405,170.36,-95.3123,-73.2555,-0.0186,-0.0186,-0.0372,,,,,
0d - 00:00:00,004036510,169.91,-91.2280,-76.7618,0.009291,-0.0186,-0.0652,,,,,
0d - 00:00:00,004101615,169.19,-87.5899,-79.7182,0.009291,-0.0186,-0.0186,,,,,
0d - 00:00:00,004166719,168.99,-83.3682,-83.8433,0.03716,0.027939,-0.0652,,,,,
0d - 00:00:00,004231825,169.02,-78.4945,-88.7591,0.03716,0.018626,-0.0466,,,,,
0d - 00:00:00,004296930,168.37,-73.7924,-92.5061,0.14865,0.009313,-0.0093,,,,,
0d - 00:00:00,004362035,167.61,-69.2619,-96.5968,0.09291,-0.0186,-0.0186,,,,,
0d - 00:00:00,004427140,167.41,-64.4568,-101.4095,0.04645,0.009313,-0.0186,,,,,
0d - 00:00:00,004492245,167.48,-60.6127,-104.9502,0.07433,0.009313,-0.0186,,,,,
0d - 00:00:00,004557350,166.79,-57.0776,-108.0441,-0.0372,0.009313,-0.0186,,,,,
0d - 00:00:00,004622455,166.14,-52.4784,-112.1005,0.16723,-0.0093,-0.0372,,,,,
0d - 00:00:00,004687560,165.96,-48.0852,-116.1569,0.13936,0.009313,-0.0372,,,,,
0d - 00:00:00,004752665,165.62,-44.3784,-119.2507,0.009291,0.009313,-0.0745,,,,,
0d - 00:00:00,004817770,165.07,-41.1178,-122.1039,0.009291,-0.0093,-0.0186,,,,,
0d - 00:00:00,004882875,164.21,-37.4110,-125.3353,0.04645,-0.0186,-0.0372,,,,,
0d - 00:00:00,004947980,163.97,-34.1161,-128.3260,0.018581,0,-0.0186,,,,,
0d - 00:00:00,005013085,163.63,-30.8898,-131.3167,0.018581,0.009313,-0.0372,,,,,
0d - 00:00:00,005078190,163.08,-27.5606,-134.1699,0.04645,0.009313,0.018621,,,,,
0d - 00:00:00,005143295,162.22,-24.0941,-137.3325,0.04645,-0.0186,0,,,,,
0d - 00:00:00,005208400,161.47,-20.2843,-139.9451,0.06504,0,-0.1490,,,,,
0d - 00:00:00,005273505,160.47,-16.5432,-141.6295,0.21369,0.009313,-0.7262,,,,,
0d - 00:00:00,005338610,158.86,-12.8708,-143.4515,0.05574,-0.0279,-1.5921,,,,,
0d - 00:00:00,005403715,157.35,-9.1297,-145.7547,0.06504,-0.0931,-2.5325,,,,,
0d - 00:00:00,005468820,155.98,-4.9424,-148.4360,0.04645,-0.0745,-3.4077,,,,,
0d - 00:00:00,005533925,153.64,-0.9610,-150.7736,0.19511,-0.1024,-4.0502,,,,,
0d - 00:00:00,005599030,151.51,3.398,-153.6268,0.05574,-0.1024,-4.3481,,,,,
