X-Data,AVValue[Volts],BVValue[Volts],CVValue[Volts],AIValue[Amps],BIValue[Amps],CIValue[Amps],AVrmsValue[Volts],BVrmsValue[Volts],CVrmsValue[Volts],DVrmsValue[Volts],
0d - 00:00:00,000000000,0.7895,152.97,-153.1112,0,0,-0.0093,,,,,
0d - 00:00:00,000065113,-3.3982,155.14,-150.8767,-0.0093,0.03725,0.018621,,,,,
0d - 00:00:00,000130226,-6.8651,157.06,-149.4329,-0.0093,0.027939,-0.0186,,,,,
0d - 00:00:00,000195339,-10.4007,159.01,-147.4391,-0.0093,-0.0279,0,,,,,
0d - 00:00:00,000260452,-14.7600,160.66,-144.1390,-0.0093,0.027939,0.009311,,,,,
0d - 00:00:00,000325565,-19.0851,161.97,-140.9420,-0.0093,-0.0093,-0.0186,,,,,
0d - 00:00:00,000390678,-22.7923,163.48,-138.7763,-0.0279,-0.0093,-0.0186,,,,,
0d - 00:00:00,000455791,-25.9845,164.99,-136.6794,0.08362,0.018626,0,,,,,
0d - 00:00:00,000520904,-29.1082,165.47,-133.9637,0.027872,0,0.018621,,,,,
0d - 00:00:00,000586017,-33.0556,166.08,-130.0792,0.009291,0.009313,0,,,,,
0d - 00:00:00,000651130,-38.6850,167.15,-125.3009,0.08362,-0.0093,0.09311,,,,,
0d - 00:00:00,000716243,-43.6966,168.62,-122.2414,0.14865,0.009313,-0.0093,,,,,
0d - 00:00:00,000781356,-47.0948,169.48,-119.6976,-0.0743,0.018626,-0.0186,,,,,
0d - 00:00:00,000846469,-50.5274,169.45,-115.8818,0.08362,0.018626,0.009311,,,,,
0d - 00:00:00,000911582,-53.5481,168.52,-112.5130,-0.0650,-0.0279,0.009311,,,,,
0d - 00:00:00,000976695,-55.0927,167.25,-109.3848,0.018581,0.03725,-0.0186,,,,,
0d - 00:00:00,001041808,-58.7656,166.94,-104.4346,0,-0.0093,-0.0279,,,,,
0d - 00:00:00,001106921,-65.5277,168.04,-98.6250,-0.0279,0.009313,0.04655,,,,,
0d - 00:00:00,001172034,-71.3288,169.31,-94.8780,0.04645,0,-0.0279,,,,,
0d - 00:00:00,001237147,-74.6584,169.65,-91.9561,0.009291,-0.0093,0.027932,,,,,
0d - 00:00:00,001302260,-78.7431,167.73,-85.0809,-0.0093,0,0.018621,,,,,
0d - 00:00:00,001367373,-83.2398,165.74,-79.5463,0.018581,0.05588,0.009311,,,,,
0d - 00:00:00,001432486,-85.7456,167.01,-79.0994,0.009291,-0.0466,-0.0279,,,,,
0d - 00:00:00,001497599,-88.2857,168.80,-77.3462,0.009291,0.027939,-0.0279,,,,,
0d - 00:00:00,001562712,-93.3659,168.80,-71.3648,-0.0093,-0.0373,0,,,,,
0d - 00:00:00,001627825,-99.1326,168.35,-65.8646,-0.0186,0.027939,0,,,,,
0d - 00:00:00,001692938,-103.0800,168.32,-62.0832,-0.0186,-0.0093,0,,,,,
0d - 00:00:00,001758051,-106.5813,167.49,-57.5800,0.03716,-0.0652,0,,,,,
0d - 00:00:00,001823164,-110.1511,166.02,-52.7673,0.009291,0.12107,0.009311,,,,,
0d - 00:00:00,001888277,-113.3777,165.74,-49.4328,-0.0186,-0.0186,-0.0093,,,,,
0d - 00:00:00,001953390,-116.3984,165.84,-46.6140,-0.0093,0.04656,0.009311,,,,,
0d - 00:00:00,002018503,-119.7623,165.57,-42.7295,-0.0186,-0.0093,0.018621,,,,,
0d - 00:00:00,002083616,-123.3322,165.09,-39.0856,0.027872,0.018626,0.009311,,,,,
0d - 00:00:00,002148729,-126.2842,164.81,-35.7511,-0.1394,0,-0.0186,,,,,
0d - 00:00:00,002213842,-129.4765,164.16,-32.1073,-0.0650,0.009313,-0.0279,,,,,
0d - 00:00:00,002278955,-132.6344,163.13,-27.9821,-0.1208,-0.0186,0.009311,,,,,
0d - 00:00:00,002344068,-135.4835,162.27,-24.6133,0.05574,0,-0.0279,,,,,
0d - 00:00:00,002409181,-137.9549,161.52,-21.5538,0.03716,0.027939,-0.0186,,,,,
0d - 00:00:00,002474294,-140.7010,160.49,-17.7724,-0.0186,0,0.009311,,,,,
0d - 00:00:00,002539407,-143.7560,159.15,-13.4754,0.03716,0,0.07449,,,,,
0d - 00:00:00,002604520,-146.6393,157.74,-9.6597,-0.1487,0.018626,-0.0466,,,,,
0d - 00:00:00,002669633,-148.8362,156.44,-6.2908,0.03716,-0.0279,0,,,,,
0d - 00:00:00,002734746,-151.2733,154.96,-2.4407,-0.0836,0.027939,0.009311,,,,,
0d - 00:00:00,002799859,-153.7104,153.11,1.7532,-0.0557,0.027939,0.027932,,,,,
0d - 00:00:00,002864972,-155.4610,151.05,5.122,-0.0650,0.018626,-0.0279,,,,,
0d - 00:00:00,002930085,-156.5594,149.58,7.494,-0.0186,0.009313,0.03724,,,,,
0d - 00:00:00,002995198,-158.6190,147.48,11.791,-0.0372,0.009313,0.027932,,,,,
0d - 00:00:00,003060311,-160.8845,144.19,17.016,-0.0186,0,-0.0093,,,,,
0d - 00:00:00,003125424,-162.7038,141.03,21.416,0.027872,0,0.03724,,,,,
0d - 00:00:00,003190537,-164.0081,138.83,24.751,-0.0372,0.03725,-0.0186,,,,,
0d - 00:00:00,003255650,-165.2782,136.12,28.532,-0.0650,0.03725,-0.0466,,,,,
0d - 00:00:00,003320763,-166.1020,133.00,32.31,-0.0093,0.027939,-0.0279,,,,,
0d - 00:00:00,003385876,-166.7885,129.74,36.16,-0.0372,-0.0931,0,,,,,
0d - 00:00:00,003450989,-167.5437,125.55,41.11,-0.0279,0.04656,-0.0279,,,,,
0d - 00:00:00,003516102,-168.7107,122.26,45.38,-0.0279,0,-0.0093,,,,,
0d - 00:00:00,003581215,-169.5346,119.72,48.47,-0.0186,0,0,,,,,
0d - 00:00:00,003646328,-169.4316,116.01,51.67,-0.0465,-0.0186,0.009311,,,,,
0d - 00:00:00,003711441,-167.9212,111.72,54.38,-0.0186,-0.0652,0,,,,,
0d - 00:00:00,003776554,-166.9601,108.08,57.55,-0.0557,0.08382,0.03724,,,,,
0d - 00:00:00,003841667,-168.4705,103.86,64.15,0.018581,0.027939,0.009311,,,,,
0d - 00:00:00,003906780,-170.6673,98.47,71.09,-0.0279,-0.0093,0.009311,,,,,
0d - 00:00:00,003971893,-170.8733,94.28,74.49,-0.1301,-0.0093,0.027932,,,,,
0d - 00:00:00,004037006,-168.4018,89.41,76.69,0.06504,0.018626,0.03724,,,,,
0d - 00:00:00,004102119,-165.4841,83.09,81.06,-0.0279,-0.0093,0.04655,,,,,
0d - 00:00:00,004167232,-165.7931,78.46,86.08,-0.1022,-0.0093,0,,,,,
0d - 00:00:00,004232345,-168.2645,77.12,89.86,-0.1022,0,0.027932,,,,,
0d - 00:00:00,004297458,-169.4316,74.62,92.99,0.12078,0,-0.0093,,,,,
0d - 00:00:00,004362571,-168.4018,69.02,97.70,-0.0186,0.027939,0,,,,,
0d - 00:00:00,004427684,-167.7496,64.32,101.82,-0.0186,0,0.04655,,,,,
0d - 00:00:00,004492797,-167.5093,61.06,104.74,-0.0279,-0.0093,0.009311,,,,,
0d - 00:00:00,004557910,-166.7542,56.53,108.59,-0.1208,0,0.05586,,,,,
0d - 00:00:00,004623023,-166.2050,51.76,112.89,-0.0650,0.009313,0,,,,,
0d - 00:00:00,004688136,-166.1706,48.19,116.43,-0.0557,-0.0279,0.027932,,,,,
0d - 00:00:00,004753249,-166.0333,44.79,119.66,-0.0093,0,0.03724,,,,,
0d - 00:00:00,004818362,-165.4841,40.98,122.83,-0.0372,0,-0.0093,,,,,
0d - 00:00:00,004883475,-164.7290,37.62,125.68,-0.0093,-0.0745,0.027932,,,,,
0d - 00:00:00,004948588,-164.4887,34.63,128.46,-0.0372,0.018626,0.009311,,,,,
0d - 00:00:00,005013701,-163.8365,31.302,131.32,-0.0465,0,-0.0093,,,,,
0d - 00:00:00,005078814,-163.3216,27.732,134.51,-0.0650,-0.0186,0.018621,,,,,
0d - 00:00:00,005143927,-162.6008,24.094,137.71,-0.0743,-0.0931,0.009311,,,,,
0d - 00:00:00,005209040,-161.6740,20.525,140.39,0.03716,0.07450,0,,,,,
0d - 00:00:00,005274153,-160.4726,16.818,143.04,-0.0650,-0.0466,-0.0186,,,,,
0d - 00:00:00,005339266,-158.9279,12.665,145.82,-0.0279,0.03725,0.027932,,,,,
0d - 00:00:00,005404379,-157.6236,8.752,148.61,-0.0743,0.018626,0.009311,,,,,
0d - 00:00:00,005469492,-156.1132,5.080,150.81,-0.1579,-0.0186,0.009311,,,,,
0d - 00:00:00,005534605,-154.0537,0.7551,153.11,-0.0093,-0.0093,-0.0466,,,,,
0d - 00:00:00,005599718,-152.2001,-3.5008,155.72,-0.0093,0,0.018621,,,,,
0d - 00:00:00,005664831,-150.7584,-6.5898,157.31,-0.0186,0.018626,0.04655,,,,,
0d - 00:00:00,005729944,-148.8018,-9.7131,158.78,-0.0186,-0.0279,0.018621,,,,,
0d - 00:00:00,005795057,-146.3647,-14.0034,160.78,0.05574,-0.0186,0.05586,,,,,
0d - 00:00:00,005860170,-143.4814,-18.3280,162.29,-0.0186,0.018626,-0.0931,,,,,
0d - 00:00:00,005925283,-140.6323,-22.5153,163.80,-0.0557,0.009313,0.027932,,,,,
0d - 00:00:00,005990396,-137.6460,-26.5996,165.07,0,0.009313,-0.0279,,,,,
0d - 00:00:00,006055509,-134.7626,-30.2377,165.93,-0.0650,0.03725,0.018621,,,,,
0d - 00:00:00,006120622,-131.5360,-34.1161,166.62,-0.0557,-0.0186,0,,,,,
0d - 00:00:00,006185735,-127.5199,-38.7496,167.48,-0.0557,0.018626,-0.0559,,,,,
0d - 00:00:00,006250848,-124.1560,-43.1771,168.75,-0.0279,-0.0186,0.13966,,,,,
0d - 00:00:00,006315961,-121.1353,-46.9869,169.30,-0.0465,0.009313,-0.0559,,,,,
0d - 00:00:00,006381074,-117.1536,-50.8309,169.06,-0.0279,-0.0279,0.04655,,,,,
0d - 00:00:00,006446187,-113.0345,-54.2288,168.17,-0.0186,-0.0093,0.03724,,,,,
0d - 00:00:00,006511300,-109.6706,-56.1852,167.00,-0.0279,0.03725,-0.0093,,,,,
0d - 00:00:00,006576413,-106.2723,-59.6174,167.58,0.009291,-0.0559,0.009311,,,,,
0d - 00:00:00,006641526,-102.3592,-65.4865,169.51,-0.0557,0.018626,0,,,,,
0d - 00:00:00,006706639,-97.7939,-71.2182,170.33,-0.0557,-0.0559,0,,,,,
0d - 00:00:00,006771752,-92.5420,-75.5085,168.51,-0.0372,0,0.03724,,,,,
0d - 00:00:00,006836865,-84.9561,-79.2496,164.87,-0.0372,-0.0279,0.018621,,,,,
0d - 00:00:00,006901978,-79.7042,-83.7801,165.69,-0.0186,-0.0093,0.009311,,,,,
0d - 00:00:00,006967091,-78.9491,-87.9674,169.78,-0.0279,0.027939,0.009311,,,,,
0d - 00:00:00,007032204,-78.7088,-90.6445,171.06,-0.0929,0.018626,0.027932,,,,,
0d - 00:00:00,007097317,-74.7957,-92.6009,168.34,-0.0279,-0.0373,0.009311,,,,,
0d - 00:00:00,007162430,-69.6125,-96.0331,166.83,-0.0372,0,0.03724,,,,,
0d - 00:00:00,007227543,-64.0861,-101.2843,166.59,-0.1208,-0.0559,0.009311,,,,,
0d - 00:00:00,007292656,-58.7312,-106.1581,166.14,0,0,0.018621,,,,,
0d - 00:00:00,007357769,-54.3719,-110.1738,166.31,-0.0743,-0.0186,-0.0093,,,,,
0d - 00:00:00,007422882,-50.9393,-114.5670,167.21,0.027872,0,0.018621,,,,,
0d - 00:00:00,007487995,-47.3351,-118.5140,167.38,-0.0465,0.018626,0.018621,,,,,
0d - 00:00:00,007553108,-43.4906,-121.0882,165.76,0.07433,-0.0093,0.009311,,,,,
0d - 00:00:00,007618221,-40.0581,-123.1475,164.70,-0.0465,-0.0093,-0.0652,,,,,
0d - 00:00:00,007683334,-36.9001,-125.7216,164.11,0.027872,-0.0186,-0.0186,,,,,
0d - 00:00:00,007748447,-33.5362,-128.6733,163.36,-0.1579,0,-0.0186,,,,,
0d - 00:00:00,007813560,-30.2409,-131.6937,162.84,-0.0093,-0.0093,0.027932,,,,,
0d - 00:00:00,007878672,-26.8770,-134.9200,162.46,-0.0093,0,0.05586,,,,,
0d - 00:00:00,007943786,-23.2385,-138.1119,161.77,-0.0279,-0.0186,0.018621,,,,,
0d - 00:00:00,008008899,-19.2567,-141.0979,160.40,-0.0372,0,0.04655,,,,,
0d - 00:00:00,008074012,-15.0690,-143.7064,158.82,-0.0093,-0.0279,0,,,,,
0d - 00:00:00,008139125,-11.5678,-146.1432,157.82,-0.0093,0.027939,0.009311,,,,,
0d - 00:00:00,008204238,-8.4098,-148.3742,156.55,-0.0093,0,-0.0372,,,,,
0d - 00:00:00,008269000,,,,,,,121.87,122.12,122.09,0.07256,
0d - 00:00:00,008269350,-4.6683,-150.8111,155.10,0.009291,-0.0093,0.018621,,,,,
0d - 00:00:00,008333999,-0.7208,-153.0763,153.18,0.018581,-0.0838,0.009311,,,,,
0d - 00:00:00,008399107,3.330,-155.2729,151.01,-0.0279,-0.0559,0.018621,,,,,
0d - 00:00:00,008464214,6.831,-157.0920,149.43,-0.0650,0.027939,0.027932,,,,,
0d - 00:00:00,008529321,10.710,-159.1170,147.16,0.03716,0.09313,0.018621,,,,,
0d - 00:00:00,008594428,14.966,-160.9704,144.48,0.009291,0.009313,0.027932,,,,,
0d - 00:00:00,008659535,18.982,-162.2403,141.53,0,-0.0186,-0.0279,,,,,
0d - 00:00:00,008724642,23.101,-163.7161,138.64,-0.1208,-0.0093,0.009311,,,,,
0d - 00:00:00,008789749,26.465,-164.8488,136.34,-0.1022,0,0.018621,,,,,
0d - 00:00:00,008854856,29.314,-165.4322,133.83,0.06504,-0.0093,0,,,,,
0d - 00:00:00,008919963,33.09,-166.0157,129.91,-0.0279,-0.0093,-0.0372,,,,,
0d - 00:00:00,008985070,38.69,-166.9424,125.16,0.027872,0.009313,-0.0093,,,,,
0d - 00:00:00,009050177,43.39,-168.4183,122.31,0.03716,-0.0093,-0.0093,,,,,
0d - 00:00:00,009115284,46.92,-169.4479,119.63,0.17652,0,0.018621,,,,,
0d - 00:00:00,009180391,50.60,-169.2420,115.64,-0.0743,0.009313,0.027932,,,,,
0d - 00:00:00,009245498,53.03,-168.0064,112.41,0,-0.0093,0,,,,,
0d - 00:00:00,009310605,54.89,-167.1827,109.52,0,-0.0093,-0.0279,,,,,
0d - 00:00:00,009375712,59.14,-167.3543,104.50,0.009291,0,0.06517,,,,,
0d - 00:00:00,009440819,65.87,-168.3496,98.83,0,-0.0093,0,,,,,
0d - 00:00:00,009505926,71.16,-169.3793,95.32,0.027872,0,-0.0279,,,,,
0d - 00:00:00,009571033,74.21,-169.5852,92.20,0,-0.0466,0.009311,,,,,
0d - 00:00:00,009636140,78.33,-167.2856,84.94,-0.0372,-0.0652,0.009311,,,,,
0d - 00:00:00,009701247,83.07,-165.5352,79.72,0.04645,-0.0093,0,,,,,
0d - 00:00:00,009766354,85.30,-167.2170,79.79,-0.0093,-0.0093,-0.0093,,,,,
0d - 00:00:00,009831461,87.70,-168.9331,78.03,-0.0093,0,-0.0093,,,,,
0d - 00:00:00,009896568,93.19,-168.7272,71.54,0,-0.0466,0.009311,,,,,
0d - 00:00:00,009961675,99.17,-168.3153,65.69,0.03716,-0.0559,0.009311,,,,,
0d - 00:00:00,010026782,103.05,-168.2810,62.39,0.03716,0.018626,0,,,,,
0d - 00:00:00,010091889,106.10,-167.4229,58.03,0.009291,-0.0652,-0.0186,,,,,
0d - 00:00:00,010156996,109.81,-165.9471,52.94,-0.0836,-0.0279,-0.0186,,,,,
0d - 00:00:00,010222103,113.41,-165.5695,49.40,0.07433,0,0.027932,,,,,
0d - 00:00:00,010287210,116.30,-165.8098,46.79,0.027872,-0.0093,-0.0093,,,,,
0d - 00:00:00,010352317,119.49,-165.5009,42.94,0.03716,0.027939,0.05586,,,,,
0d - 00:00:00,010417424,123.16,-165.0204,38.95,0.11149,0,-0.0838,,,,,
0d - 00:00:00,010482531,126.35,-164.7458,35.79,0.06504,-0.0373,0.04655,,,,,
0d - 00:00:00,010547638,129.20,-164.1280,32.18,-0.0465,-0.0186,0,,,,,
0d - 00:00:00,010612745,132.39,-162.9954,28.154,0.06504,-0.0093,-0.0372,,,,,
0d - 00:00:00,010677852,135.45,-161.9314,24.510,0.06504,-0.0186,-0.0186,,,,,
0d - 00:00:00,010742959,138.13,-161.2106,21.382,-0.0186,0.018626,-0.0093,,,,,
0d - 00:00:00,010808066,140.70,-160.2839,17.841,-0.0093,0.009313,0.06517,,,,,
0d - 00:00:00,010873173,143.69,-159.0140,13.544,0.05574,0.009313,-0.0372,,,,,
0d - 00:00:00,010938280,146.64,-157.6068,9.488,0.009291,-0.0093,0,,,,,
0d - 00:00:00,011003387,149.04,-156.3712,6.119,0.027872,0.018626,-0.0186,,,,,
0d - 00:00:00,011068494,151.17,-154.8611,2.5095,0.05574,0.03725,-0.0093,,,,,
0d - 00:00:00,011133601,153.64,-152.9390,-1.8219,0.03716,-0.1024,0,,,,,
0d - 00:00:00,011198708,155.53,-150.7767,-5.2939,0.03716,0.018626,-0.0093,,,,,
0d - 00:00:00,011263815,156.63,-149.3352,-7.5627,-0.0743,-0.0373,0.018621,,,,,
0d - 00:00:00,011328922,158.38,-147.3102,-11.6191,0.027872,-0.0093,0,,,,,
0d - 00:00:00,011394029,160.88,-144.2555,-16.8099,0.06504,-0.0745,0.009311,,,,,
0d - 00:00:00,011459136,162.74,-141.2695,-21.0382,0.04645,0.027939,-0.0093,,,,,
0d - 00:00:00,011524243,164.11,-138.5924,-24.7852,0.027872,-0.0373,0,,,,,
0d - 00:00:00,011589350,165.42,-135.8810,-28.6353,0.07433,0.018626,-0.0279,,,,,
0d - 00:00:00,011654457,166.24,-132.9293,-32.1417,0.027872,-0.0093,0.009311,,,,,
0d - 00:00:00,011719564,166.72,-129.4971,-36.0605,-0.0743,0,0,,,,,
0d - 00:00:00,011784671,167.34,-125.5157,-40.8388,0.06504,0,-0.0093,,,,,
0d - 00:00:00,011849778,168.64,-122.3581,-44.8952,0.06504,0.018626,0.009311,,,,,
0d - 00:00:00,011914885,169.64,-119.7839,-48.3672,0.05574,0,0.018621,,,,,
0d - 00:00:00,011979992,169.50,-116.0085,-51.6673,0.05574,-0.0186,0,,,,,
0d - 00:00:00,012045099,167.72,-111.8555,-54.1080,0.03716,0,0.009311,,,,,
0d - 00:00:00,012110206,166.96,-108.2860,-57.2362,0.13007,0.027939,0.018621,,,,,
0d - 00:00:00,012175313,168.33,-103.9958,-63.5958,0.13007,-0.0279,0,,,,,
0d - 00:00:00,012240420,170.50,-98.9161,-70.2991,-0.0743,0.018626,-0.0652,,,,,
0d - 00:00:00,012305527,170.87,-94.3170,-74.3211,0.06504,-0.0093,0.018621,,,,,
0d - 00:00:00,012370634,168.54,-89.4089,-76.5900,0,-0.0093,-0.0279,,,,,
0d - 00:00:00,012435741,165.48,-83.2309,-80.5088,0.07433,-0.0093,0.009311,,,,,
0d - 00:00:00,012500848,165.62,-78.8721,-85.4246,0.027872,0.009313,-0.0186,,,,,
0d - 00:00:00,012565955,168.16,-77.2246,-89.5154,0.03716,0.018626,0.05586,,,,,
0d - 00:00:00,012631062,169.40,-74.8221,-92.7467,0.09291,0.009313,-0.0279,,,,,
0d - 00:00:00,012696169,168.47,-69.6051,-97.0781,0.05574,-0.0279,0.009311,,,,,
0d - 00:00:00,012761276,167.78,-64.6627,-101.3408,0.027872,0,-0.0466,,,,,
0d - 00:00:00,012826383,167.54,-60.9559,-104.8127,0.027872,-0.0093,-0.0186,,,,,
0d - 00:00:00,012891490,166.75,-56.4598,-108.5941,0.027872,0.03725,0.009311,,,,,
0d - 00:00:00,012956597,166.03,-51.9636,-112.5474,0.03716,0.027939,0,,,,,
0d - 00:00:00,013021704,166.03,-48.1538,-116.2944,0.009291,-0.0466,0,,,,,
0d - 00:00:00,013086811,166.00,-44.4127,-119.6976,0.04645,0.009313,0.027932,,,,,
0d - 00:00:00,013151918,165.24,-40.9805,-122.5508,0.07433,-0.0373,0.009311,,,,,
