X-Data,AVValue[Volts],BVValue[Volts],CVValue[Volts],AIValue[Amps],BIValue[Amps],CIValue[Amps],AVrmsValue[Volts],BVrmsValue[Volts],CVrmsValue[Volts],DVrmsValue[Volts],
0d - 00:00:00,000000000,-0.0343,-153.2136,154.93,-0.0186,-0.0838,-2.7560,,,,,
0d - 00:00:00,000065104,3.982,-155.3416,152.77,0.04645,-0.1211,-3.6870,,,,,
0d - 00:00:00,000130209,6.899,-156.8860,150.19,-0.1022,-0.1397,-4.1246,,,,,
0d - 00:00:00,000195315,11.327,-158.6022,147.37,-0.0186,-0.0279,-4.4691,,,,,
0d - 00:00:00,000260419,15.927,-161.0047,144.24,0.03716,-0.1583,-4.6926,,,,,
0d - 00:00:00,000325525,20.149,-162.2403,141.22,0.13936,-0.1397,-4.6926,,,,,
0d - 00:00:00,000390630,23.616,-163.3043,137.99,-0.0279,-0.1211,-4.6088,,,,,
0d - 00:00:00,000455735,26.980,-164.5399,135.13,0,-0.1211,-4.1526,,,,,
0d - 00:00:00,000520839,30.207,-165.3293,132.49,-0.0836,-0.1118,-3.7336,,,,,
0d - 00:00:00,000585945,34.12,-165.7068,129.94,-0.0093,-0.0279,-3.8826,,,,,
0d - 00:00:00,000651050,39.89,-166.9081,126.81,0.03716,-0.1490,-4.9254,,,,,
0d - 00:00:00,000716155,44.52,-168.8301,123.27,-0.1115,-0.1583,-5.6516,,,,,
0d - 00:00:00,000781260,47.71,-168.5555,119.42,0.09291,-0.2049,-5.8564,,,,,
0d - 00:00:00,000846365,48.47,-166.4962,115.50,-0.0186,-0.1397,-5.5585,,,,,
0d - 00:00:00,000911470,50.70,-165.7755,111.89,-0.0650,-0.1304,-5.1395,,,,,
0d - 00:00:00,000976574,55.88,-167.2856,108.53,-0.0465,-0.1397,-4.9998,,,,,
0d - 00:00:00,001041679,61.82,-168.8644,104.92,-0.0279,-0.1304,-5.2233,,,,,
0d - 00:00:00,001106785,67.14,-169.8255,101.20,-0.0372,-0.1211,-5.7726,,,,,
0d - 00:00:00,001171890,71.02,-170.3060,97.22,-0.0093,-0.1211,-5.9495,,,,,
0d - 00:00:00,001236995,73.63,-170.0657,93.37,0,-0.1211,-5.5957,,,,,
0d - 00:00:00,001302100,76.51,-168.9674,89.69,-0.0093,-0.1211,-5.2792,,,,,
0d - 00:00:00,001367205,80.46,-168.2810,85.87,0.018581,-0.1118,-5.5864,,,,,
0d - 00:00:00,001432310,84.92,-168.1780,81.85,0.04645,-0.0745,-6.1357,,,,,
0d - 00:00:00,001497415,89.32,-167.6632,77.38,0.027872,-0.1583,-6.9923,,,,,
0d - 00:00:00,001562520,94.12,-167.0454,72.16,-0.0836,-0.1956,-7.8489,,,,,
0d - 00:00:00,001627625,97.97,-167.7318,66.86,0.027872,-0.2514,-7.7744,,,,,
0d - 00:00:00,001692730,101.67,-167.9721,62.05,0.03716,-0.1769,-6.7689,,,,,
0d - 00:00:00,001757835,105.24,-167.5259,57.85,0.04645,-0.1118,-5.6050,,,,,
0d - 00:00:00,001822940,109.12,-167.2513,54.35,0.009291,-0.1118,-4.8136,,,,,
0d - 00:00:00,001888045,113.27,-166.7022,50.95,0.07433,-0.0838,-4.7112,,,,,
0d - 00:00:00,001953149,116.64,-165.8784,47.65,0.09291,-0.1211,-5.0464,,,,,
