X-Data,AVValue[Volts],BVValue[Volts],CVValue[Volts],AIValue[Amps],BIValue[Amps],CIValue[Amps],AVrmsValue[Volts],BVrmsValue[Volts],CVrmsValue[Volts],DVrmsValue[Volts],
0d - 00:00:00,000000000,-0.6179,-153.0420,153.08,-4.1344,-0.3632,2.4580,,,,,
0d - 00:00:00,000065129,3.364,-155.1700,150.91,-4.1158,-0.4191,2.5977,,,,,
0d - 00:00:00,000130259,6.796,-156.8860,149.33,-4.1158,-0.4563,2.6349,,,,,
0d - 00:00:00,000195390,10.401,-158.8767,147.27,-4.1158,-0.5122,2.7280,,,,,
0d - 00:00:00,000260519,14.760,-160.9017,144.59,-4.1251,-0.5681,2.8305,,,,,
0d - 00:00:00,000325650,19.085,-162.2403,141.46,-4.1158,-0.6333,2.8956,,,,,
0d - 00:00:00,000390780,22.964,-163.4416,138.50,-4.0693,-0.7823,2.9794,,,,,
0d - 00:00:00,000455910,26.328,-164.4712,136.03,-4.0693,-0.8288,3.0539,,,,,
0d - 00:00:00,000521039,29.143,-165.0204,133.79,-4.0229,-0.9406,3.1098,,,,,
0d - 00:00:00,000586170,32.20,-165.5695,130.46,-4.0043,-0.9127,3.194,,,,,
0d - 00:00:00,000651300,37.86,-166.6678,125.40,-3.9764,-0.9685,3.268,,,,,
0d - 00:00:00,000716430,43.42,-168.0064,121.73,-3.9671,-1.0337,3.305,,,,,
0d - 00:00:00,000781560,47.30,-168.9331,118.91,-4.0415,-1.1082,3.389,,,,,
0d - 00:00:00,000846690,49.98,-168.2810,115.88,-3.8835,-1.1734,3.436,,,,,
0d - 00:00:00,000911820,50.36,-165.2263,112.58,-3.8649,-1.2293,3.519,,,,,
0d - 00:00:00,000976950,52.38,-164.6085,109.01,-3.8185,-1.2852,3.501,,,,,
0d - 00:00:00,001042079,58.66,-167.1140,104.37,-3.6977,-1.3504,3.538,,,,,
0d - 00:00:00,001107210,66.35,-169.2763,99.24,-3.6791,-1.3783,3.678,,,,,
0d - 00:00:00,001172340,71.60,-170.2030,95.63,-3.6513,-1.4528,3.808,,,,,
0d - 00:00:00,001237470,74.73,-170.7522,93.26,-3.6327,-1.5087,3.724,,,,,
0d - 00:00:00,001302600,77.23,-170.2717,90.03,-3.5955,-1.5087,3.799,,,,,
0d - 00:00:00,001367730,80.32,-168.7958,85.12,-3.5398,-1.5739,3.836,,,,,
0d - 00:00:00,001432860,84.20,-167.6289,79.89,-3.4840,-1.7043,3.892,,,,,
0d - 00:00:00,001497990,88.80,-167.4572,75.25,-3.4190,-1.7043,3.920,,,,,
0d - 00:00:00,001563120,93.33,-167.6289,70.99,-3.3911,-1.7415,3.966,,,,,
0d - 00:00:00,001628250,97.55,-167.8005,67.03,-3.2889,-1.7881,3.948,,,,,
0d - 00:00:00,001693380,101.47,-167.8348,63.22,-3.2239,-1.8533,4.013,,,,,
0d - 00:00:00,001758510,105.24,-167.5945,59.20,-3.2332,-1.8253,4.013,,,,,
0d - 00:00:00,001823640,108.85,-166.9767,54.83,-3.0845,-1.9930,4.041,,,,,
0d - 00:00:00,001888770,112.79,-166.1530,50.05,-3.0381,-1.9743,4.106,,,,,
0d - 00:00:00,001953900,116.74,-165.5352,45.82,-3.0474,-2.0116,4.041,,,,,
0d - 00:00:00,002019029,120.11,-165.1233,42.04,-2.8615,-2.0488,4.078,,,,,
0d - 00:00:00,002084159,123.13,-164.6085,38.78,-2.7779,-2.0954,4.087,,,,,
0d - 00:00:00,002149290,125.87,-164.0594,35.61,-2.7222,-2.1326,4.125,,,,,
0d - 00:00:00,002214420,128.86,-163.5102,32.24,-2.5271,-2.1978,4.078,,,,,
0d - 00:00:00,002279550,131.84,-162.9611,28.498,-2.6386,-2.2165,4.153,,,,,
0d - 00:00:00,002344680,134.97,-161.9314,24.923,-2.5921,-2.2910,4.115,,,,,
0d - 00:00:00,002409810,137.92,-161.1420,21.279,-2.3413,-2.2817,4.143,,,,,
0d - 00:00:00,002474940,140.80,-160.1467,17.601,-2.3877,-2.3003,4.069,,,,,
0d - 00:00:00,002540070,143.65,-159.1170,13.613,-2.2576,-2.3748,4.171,,,,,
0d - 00:00:00,002605200,146.54,-157.8127,9.694,-2.1462,-2.3748,4.087,,,,,
0d - 00:00:00,002670330,148.94,-156.5428,6.291,-2.0440,-2.4027,4.134,,,,,
0d - 00:00:00,002735460,151.07,-155.0327,2.7501,-1.9603,-2.4493,4.115,,,,,
0d - 00:00:00,002800590,153.47,-153.1106,-1.4094,-1.8860,-2.4307,4.106,,,,,
0d - 00:00:00,002865720,155.39,-150.9483,-5.0533,-1.8024,-2.4865,4.115,,,,,
0d - 00:00:00,002930850,156.70,-149.3009,-7.6315,-1.6537,-2.5983,4.078,,,,,
0d - 00:00:00,002995980,158.38,-147.4475,-11.3785,-1.5608,-2.5052,4.078,,,,,
0d - 00:00:00,003061110,160.51,-144.7017,-16.3286,-1.4958,-2.5890,4.032,,,,,
0d - 00:00:00,003126240,162.64,-141.3382,-21.0038,-1.3936,-2.5424,4.022,,,,,
0d - 00:00:00,003191370,163.94,-138.6267,-24.5445,-1.3750,-2.5797,3.985,,,,,
0d - 00:00:00,003256500,164.97,-135.9496,-28.0165,-1.1335,-2.6914,3.966,,,,,
0d - 00:00:00,003321630,165.69,-132.6204,-31.8666,-1.0777,-2.5331,3.938,,,,,
0d - 00:00:00,003386760,165.86,-128.7420,-35.7855,-1.0406,-2.6449,3.873,,,,,
0d - 00:00:00,003451890,165.86,-124.1428,-41.0107,-0.9198,-2.6355,3.855,,,,,
0d - 00:00:00,003517020,167.99,-120.9166,-46.0984,-0.7990,-2.6728,3.817,,,,,
0d - 00:00:00,003582150,169.60,-118.5827,-49.3985,-0.6782,-2.6914,3.771,,,,,
0d - 00:00:00,003647280,168.30,-115.6310,-49.2953,-0.6411,-2.6635,3.706,,,,,
0d - 00:00:00,003712410,163.49,-112.5077,-48.8828,-0.5760,-2.6728,3.715,,,,,
0d - 00:00:00,003777540,165.24,-108.6636,-57.1331,-0.3252,-2.6914,3.631,,,,,
0d - 00:00:00,003842670,170.87,-103.5496,-66.8271,-0.2973,-2.6914,3.603,,,,,
0d - 00:00:00,003907800,171.90,-98.6415,-71.0898,-0.1951,-2.7007,3.510,,,,,
0d - 00:00:00,003972930,170.05,-94.6602,-73.2211,-0.0836,-2.7100,3.492,,,,,
0d - 00:00:00,004038059,169.19,-90.5759,-76.5900,0.04645,-2.6542,3.426,,,,,
0d - 00:00:00,004103189,168.23,-86.7661,-79.4432,0.13936,-2.6728,3.343,,,,,
0d - 00:00:00,004168319,167.85,-83.2996,-82.8464,0.22298,-2.6449,3.343,,,,,
0d - 00:00:00,004233450,168.40,-79.3182,-87.7622,0.3530,-2.6449,3.231,,,,,
0d - 00:00:00,004298580,169.53,-74.7191,-93.1249,0.4367,-2.6262,3.184,,,,,
0d - 00:00:00,004363710,168.68,-69.2962,-97.3875,0.4924,-2.5983,3.0912,,,,,
0d - 00:00:00,004428840,167.54,-64.3195,-101.3064,0.6039,-2.6076,3.1005,,,,,
