X-Data,AVValue[Volts],BVValue[Volts],CVValue[Volts],AIValue[Amps],BIValue[Amps],CIValue[Amps],AVrmsValue[Volts],BVrmsValue[Volts],CVrmsValue[Volts],DVrmsValue[Volts],
0d - 00:00:00,000000000,0.27461,-153.1450,152.49,2.7872,1.0524,-1.9552,,,,,
0d - 00:00:00,000065116,3.467,-154.4835,150.36,3.0474,0.8568,-2.0204,,,,,
0d - 00:00:00,000130232,7.037,-156.1653,148.09,3.280,0.4843,-1.8901,,,,,
0d - 00:00:00,000195348,10.916,-158.3276,146.13,3.791,0.05588,-1.8156,,,,,
0d - 00:00:00,000260464,15.344,-160.8331,144.10,4.014,-0.1676,-1.9366,,,,,
0d - 00:00:00,000325580,19.806,-163.3043,141.70,4.060,0.3260,-2.3091,,,,,
0d - 00:00:00,000390696,23.994,-165.1920,139.02,3.549,0.8382,-2.5325,,,,,
0d - 00:00:00,000455812,27.632,-166.0500,136.23,2.8615,1.5273,-2.6722,,,,,
0d - 00:00:00,000520928,30.619,-166.1530,133.14,2.3506,2.0675,-2.7560,,,,,
0d - 00:00:00,000586044,33.36,-165.8441,130.04,2.5828,2.0581,-3.1749,,,,,
0d - 00:00:00,000651160,36.80,-165.8098,126.13,3.568,1.5180,-3.7336,,,,,
0d - 00:00:00,000716276,41.33,-166.5992,122.28,4.348,0.7823,-3.5660,,,,,
0d - 00:00:00,000781392,46.58,-168.0750,118.29,4.868,0.3539,-3.4729,,,,,
0d - 00:00:00,000846508,51.80,-169.7568,114.71,4.395,0.4470,-3.0353,,,,,
0d - 00:00:00,000911624,56.26,-170.9238,111.65,3.354,1.1082,-2.6163,,,,,
0d - 00:00:00,000976740,59.42,-171.0267,108.94,2.0997,1.9278,-2.4487,,,,,
0d - 00:00:00,001041856,61.44,-170.2717,106.12,1.5144,2.5145,-2.6815,,,,,
0d - 00:00:00,001106972,63.50,-169.1047,102.72,1.8953,2.5145,-3.5194,,,,,
0d - 00:00:00,001172088,66.39,-168.0407,98.42,3.224,2.1140,-4.3109,,,,,
0d - 00:00:00,001237204,70.47,-167.4229,93.40,3.772,1.7415,-4.4971,,,,,
0d - 00:00:00,001302320,75.10,-167.1827,88.55,4.320,1.2479,-4.3853,,,,,
0d - 00:00:00,001367436,80.25,-167.6632,83.74,4.580,0.9033,-4.1712,,,,,
0d - 00:00:00,001432552,85.51,-168.3839,79.31,4.571,0.6892,-3.7801,,,,,
0d - 00:00:00,001497668,90.35,-169.2077,75.42,4.023,0.7823,-3.3239,,,,,
0d - 00:00:00,001562784,94.60,-169.4822,71.71,3.456,1.3411,-3.5381,,,,,
0d - 00:00:00,001627900,98.34,-169.1733,67.55,3.177,1.8626,-3.9384,,,,,
0d - 00:00:00,001693016,101.91,-168.2123,63.05,2.9730,2.2072,-4.1526,,,,,
0d - 00:00:00,001758132,105.38,-166.9767,58.37,3.205,2.0861,-4.1991,,,,,
0d - 00:00:00,001823248,108.98,-166.1187,53.87,3.177,1.6577,-3.9105,,,,,
0d - 00:00:00,001888364,112.86,-165.6725,49.67,3.410,1.2852,-3.6032,,,,,
0d - 00:00:00,001953480,116.84,-165.7068,45.79,3.354,1.0058,-3.2867,,,,,
