X-Data,AVValue[Volts],BVValue[Volts],CVValue[Volts],AIValue[Amps],BIValue[Amps],CIValue[Amps],AVrmsValue[Volts],BVrmsValue[Volts],CVrmsValue[Volts],DVrmsValue[Volts],
0d - 00:00:00,000000000,0.9611,153.56,-153.5924,-0.1208,0.10244,0.018621,,,,,
0d - 00:00:00,000065104,-2.9863,155.75,-151.4611,-0.3345,0.07450,-0.0372,,,,,
0d - 00:00:00,000130208,-5.6637,157.02,-150.4986,-0.2694,0.10244,0.018621,,,,,
0d - 00:00:00,000195312,-8.8904,158.50,-147.7141,-0.5667,0.13038,0.009311,,,,,
0d - 00:00:00,000260416,-13.7646,160.46,-144.2421,-0.7061,0.03725,0.009311,,,,,
0d - 00:00:00,000325520,-19.0851,162.45,-140.5983,-0.9012,0.07450,-0.0186,,,,,
0d - 00:00:00,000390624,-23.5474,163.96,-137.6763,-1.0870,0.06519,0.009311,,,,,
0d - 00:00:00,000455728,-27.1859,165.09,-135.3387,-1.2078,0.07450,-0.0093,,,,,
0d - 00:00:00,000520832,-30.0693,166.15,-133.1043,-1.2914,0.12107,0,,,,,
0d - 00:00:00,000585936,-33.8451,166.81,-129.3573,-1.4772,0.11175,0.009311,,,,,
0d - 00:00:00,000651040,-39.0626,167.66,-124.8884,-1.5794,0.09313,0.009311,,,,,
0d - 00:00:00,000716144,-43.9369,169.14,-121.3133,-1.7559,0.03725,0.03724,,,,,
0d - 00:00:00,000781248,-48.2619,169.89,-117.9100,-2.0904,0.08382,0.05586,,,,,
0d - 00:00:00,000846352,-51.7975,169.83,-114.4724,-2.1462,0.09313,-0.0652,,,,,
0d - 00:00:00,000911456,-54.9554,169.89,-111.4817,-2.2019,0.07450,0.018621,,,,,
0d - 00:00:00,000976560,-57.8731,169.96,-108.5597,-2.3691,0.10244,0.03724,,,,,
0d - 00:00:00,001041664,-61.4086,170.00,-104.8471,-2.4806,0.10244,0.10242,,,,,
0d - 00:00:00,001106768,-65.5277,169.89,-100.2063,-2.6293,0.12107,0.03724,,,,,
0d - 00:00:00,001171872,-70.4020,170.10,-95.4624,-2.9080,0.10244,0.027932,,,,,
0d - 00:00:00,001236976,-74.4867,170.07,-91.8530,-2.9730,0.09313,0.027932,,,,,
0d - 00:00:00,001302080,-77.4387,170.00,-88.6216,-3.0474,0.09313,0.05586,,,,,
0d - 00:00:00,001367184,-81.0086,169.59,-84.3590,-3.1124,0.11175,0,,,,,
0d - 00:00:00,001432288,-85.2993,169.17,-79.6494,-3.2518,0.08382,0,,,,,
0d - 00:00:00,001497392,-89.2468,169.00,-75.3180,-3.5212,0.17694,0.027932,,,,,
0d - 00:00:00,001562496,-93.3315,168.59,-70.9523,-3.6513,0.13038,0.018621,,,,,
0d - 00:00:00,001627600,-97.6222,168.21,-66.2084,-3.8371,0.11175,0.009311,,,,,
0d - 00:00:00,001692704,-101.8443,167.77,-61.7395,-3.9671,0.09313,0.018621,,,,,
0d - 00:00:00,001757808,-105.5172,167.42,-57.7519,-4.1437,0.10244,0.06517,,,,,
0d - 00:00:00,001822912,-109.1900,167.18,-53.6611,-4.3295,0.12107,0.027932,,,,,
0d - 00:00:00,001888016,-113.4807,166.67,-49.0891,-4.3945,0.15832,0,,,,,
0d - 00:00:00,001953120,-117.1879,166.36,-45.3421,-4.5896,0.07450,0,,,,,
0d - 00:00:00,002018224,-120.5518,166.15,-41.8701,-4.6454,0.12107,0.009311,,,,,
0d - 00:00:00,002083328,-123.5381,165.57,-38.2606,-4.7011,0.10244,0.03724,,,,,
0d - 00:00:00,002148432,-126.4215,164.99,-34.8230,-4.9798,0.05588,0.03724,,,,,
0d - 00:00:00,002213536,-129.7511,164.40,-31.1104,-4.9984,0.13038,0.03724,,,,,
0d - 00:00:00,002278640,-132.8061,163.72,-27.6040,-5.1006,0.11175,0.06517,,,,,
0d - 00:00:00,002343744,-135.8267,163.10,-24.0633,-5.3793,0.13038,0.06517,,,,,
0d - 00:00:00,002408848,-138.7101,162.34,-20.5225,-5.3143,0.13038,0.05586,,,,,
0d - 00:00:00,002473952,-141.6621,161.49,-16.7755,-5.5559,0.11175,0.027932,,,,,
0d - 00:00:00,002539056,-144.5798,160.18,-12.9254,-5.4537,0.09313,0.009311,,,,,
0d - 00:00:00,002604160,-147.0169,158.74,-9.3159,-5.6395,0.13969,0.018621,,,,,
0d - 00:00:00,002669264,-149.0078,157.26,-5.9471,-5.6581,0.13038,0.05586,,,,,
0d - 00:00:00,002734368,-151.2047,155.65,-2.0969,-5.7881,0.13038,-0.0279,,,,,
0d - 00:00:00,002799472,-153.4015,153.63,1.9938,-5.8067,0.12107,0.009311,,,,,
0d - 00:00:00,002864576,-155.0835,151.70,5.019,-5.9089,0.13038,0.027932,,,,,
0d - 00:00:00,002929680,-156.0446,150.30,6.806,-5.8903,0.10244,0.03724,,,,,
0d - 00:00:00,002994784,-157.6236,148.03,11.413,-5.9739,0.11175,0,,,,,
0d - 00:00:00,003059888,-160.5412,144.60,17.772,-6.1412,0.21420,0.009311,,,,,
0d - 00:00:00,003124992,-163.2186,141.44,22.619,-6.1969,0.11175,0.027932,,,,,
0d - 00:00:00,003190096,-164.4887,138.59,26.091,-6.3641,0.13969,-0.0093,,,,,
0d - 00:00:00,003255200,-164.9006,135.33,29.392,-6.0854,0.13969,0.018621,,,,,
0d - 00:00:00,003320304,-165.2095,131.87,33.17,-6.2527,0.15832,-0.0186,,,,,
0d - 00:00:00,003385408,-165.8617,128.50,37.37,-6.2805,0.12107,0,,,,,
0d - 00:00:00,003450512,-167.4064,125.45,42.11,-6.1876,0.12107,-0.0186,,,,,
0d - 00:00:00,003515616,-169.2256,122.01,47.10,-6.4756,0.09313,0.018621,,,,,
0d - 00:00:00,003580720,-169.7748,118.00,51.22,-6.3827,0.11175,0.027932,,,,,
0d - 00:00:00,003645824,-169.5002,114.64,54.07,-6.4013,0.10244,-0.0093,,,,,
0d - 00:00:00,003710928,-169.1570,111.10,57.41,-6.3827,0.11175,0,,,,,
0d - 00:00:00,003776032,-169.2599,107.12,61.64,-6.3641,0.15832,-0.0279,,,,,
0d - 00:00:00,003841136,-169.7405,103.45,65.52,-6.3641,0.09313,0.03724,,,,,
0d - 00:00:00,003906240,-169.9121,99.95,69.44,-6.3641,0.09313,-0.0838,,,,,
0d - 00:00:00,003971344,-170.1181,95.52,73.84,-6.3827,0.03725,0.03724,,,,,
0d - 00:00:00,004036448,-169.7405,90.82,78.10,-6.3641,0.10244,0.018621,,,,,
0d - 00:00:00,004101551,-169.2256,86.83,81.33,-6.3641,0.09313,0.05586,,,,,
0d - 00:00:00,004166656,-168.6764,83.09,84.87,-6.4292,0.10244,0.03724,,,,,
0d - 00:00:00,004231760,-168.5734,78.53,89.24,-6.2991,0.09313,0.027932,,,,,
0d - 00:00:00,004296864,-168.1959,74.03,93.40,-6.3084,0.05588,0.027932,,,,,
0d - 00:00:00,004361968,-168.0242,69.67,97.42,-6.2805,0.10244,0.027932,,,,,
0d - 00:00:00,004427072,-167.5780,65.28,101.44,-6.2619,0.06519,0.018621,,,,,
0d - 00:00:00,004492176,-167.0631,60.89,105.36,-6.2248,0.06519,0.04655,,,,,
0d - 00:00:00,004557280,-166.6512,56.73,109.08,-6.1876,0.10244,0,,,,,
0d - 00:00:00,004622384,-166.1706,52.51,112.79,-6.2248,0.04656,0.018621,,,,,
0d - 00:00:00,004687488,-165.8617,48.57,116.33,-6.1412,0.05588,0.009311,,,,,
0d - 00:00:00,004752592,-165.2782,44.62,120.04,-6.1690,0.018626,-0.0093,,,,,
0d - 00:00:00,004817696,-164.9692,40.84,123.48,-6.1226,0.06519,0.018621,,,,,
0d - 00:00:00,004882800,-164.6946,37.51,126.54,-6.1598,0.027939,0.06517,,,,,
0d - 00:00:00,004947904,-164.2827,34.46,129.15,-6.0483,0.05588,0.04655,,,,,
0d - 00:00:00,005013008,-163.7335,31.199,132.21,-6.0854,0.018626,0.018621,,,,,
0d - 00:00:00,005078112,-163.4246,27.561,135.48,-6.0576,0.06519,0.05586,,,,,
0d - 00:00:00,005143216,-162.6008,24.300,138.16,-6.1133,0.03725,0,,,,,
0d - 00:00:00,005208320,-161.8113,20.971,140.87,-6.0204,0.09313,-0.0279,,,,,
0d - 00:00:00,005273424,-160.8158,17.092,143.93,-5.9368,0.009313,0.009311,,,,,
0d - 00:00:00,005338528,-159.5458,12.871,146.75,-5.8903,0.05588,-0.0279,,,,,
0d - 00:00:00,005403632,-157.9325,8.855,149.09,-5.7510,0.03725,-0.0652,,,,,
0d - 00:00:00,005468736,-155.6670,4.633,151.46,-5.7417,0.08382,0.04655,,,,,
0d - 00:00:00,005533840,-153.8820,0.30890,154.25,-5.6673,-0.0093,0.018621,,,,,
0d - 00:00:00,005598944,-152.3031,-3.4322,156.24,-5.6302,0.018626,0.10242,,,,,
0d - 00:00:00,005664048,-150.7241,-5.6631,156.82,-5.4537,0.018626,0.04655,,,,,
0d - 00:00:00,005729152,-149.1108,-8.0657,158.06,-5.4537,0.009313,-0.0093,,,,,
0d - 00:00:00,005794256,-146.6050,-13.1110,160.71,-5.4722,-0.0186,0.009311,,,,,
0d - 00:00:00,005859360,-143.5157,-18.5682,162.98,-5.2957,0.018626,0.018621,,,,,
0d - 00:00:00,005924464,-139.7742,-23.3390,164.01,-5.2307,0.018626,-0.0559,,,,,
0d - 00:00:00,005989568,-136.0670,-27.9381,165.25,-5.0449,0.06519,0,,,,,
0d - 00:00:00,006054672,-132.8404,-32.0568,166.52,-4.8498,-0.0559,0,,,,,
0d - 00:00:00,006119776,-129.8884,-36.2784,167.45,-4.7197,-0.0093,0,,,,,
0d - 00:00:00,006184880,-125.9066,-40.8432,168.48,-4.4224,0.018626,0.03724,,,,,
0d - 00:00:00,006249984,-122.3711,-45.2365,169.30,-4.4688,0.027939,0.018621,,,,,
0d - 00:00:00,006315088,-119.0415,-49.0462,169.54,-4.3666,0.027939,0.027932,,,,,
0d - 00:00:00,006380192,-115.4373,-52.6843,169.75,-4.1808,0.018626,0.08380,,,,,
0d - 00:00:00,006445296,-111.7644,-56.5970,169.96,-3.8742,-0.0093,0.04655,,,,,
0d - 00:00:00,006510400,-108.4348,-60.1665,170.40,-3.9393,0.03725,0.03724,,,,,
0d - 00:00:00,006575504,-105.4828,-63.2555,170.47,-3.7999,-0.1211,0.009311,,,,,
