X-Data,AVValue[Volts],BVValue[Volts],CVValue[Volts],AIValue[Amps],BIValue[Amps],CIValue[Amps],AVrmsValue[Volts],BVrmsValue[Volts],CVrmsValue[Volts],DVrmsValue[Volts],
0d - 00:00:00,000000000,-0.5149,-152.4928,152.18,0,0,-0.0186,,,,,
0d - 00:00:00,000065116,3.913,-154.8611,149.98,-0.0186,-0.0093,-0.0372,,,,,
0d - 00:00:00,000130233,7.243,-157.0233,148.99,0.11149,-0.0373,-0.0652,,,,,
0d - 00:00:00,000195351,10.916,-159.1170,146.99,0.11149,-0.0279,-0.0745,,,,,
0d - 00:00:00,000260467,15.241,-161.0047,144.31,-0.0186,-0.0186,0.018621,,,,,
0d - 00:00:00,000325585,19.188,-162.5835,141.49,0.08362,0,0.05586,,,,,
0d - 00:00:00,000390702,23.136,-163.9221,138.57,0.018581,-0.0093,0.03724,,,,,
0d - 00:00:00,000455819,26.705,-164.7458,135.85,0.018581,-0.0186,-0.0093,,,,,
0d - 00:00:00,000520935,29.657,-165.4666,133.55,-0.0279,-0.0093,0.03724,,,,,
0d - 00:00:00,000586053,33.30,-166.0844,129.74,-0.0372,-0.0093,-0.0466,,,,,
0d - 00:00:00,000651170,38.82,-166.8738,124.92,0.009291,0,0.09311,,,,,
0d - 00:00:00,000716287,43.52,-168.2810,121.93,-0.0279,-0.0373,-0.0093,,,,,
0d - 00:00:00,000781404,47.13,-169.3450,119.35,0.009291,0,0.018621,,,,,
0d - 00:00:00,000846521,50.60,-169.3450,115.68,0.018581,-0.0093,-0.0093,,,,,
0d - 00:00:00,000911638,53.89,-168.8988,112.17,-0.0372,0.03725,0.018621,,,,,
0d - 00:00:00,000976754,57.19,-168.8301,108.66,0.018581,-0.0559,-0.0279,,,,,
0d - 00:00:00,001041871,61.03,-168.7958,104.30,0.03716,0.03725,0.009311,,,,,
0d - 00:00:00,001106989,66.59,-167.5259,96.67,0.018581,-0.0093,0,,,,,
0d - 00:00:00,001172106,72.43,-166.3589,90.86,0,0.009313,0.018621,,,,,
0d - 00:00:00,001237223,74.90,-168.1780,91.51,-0.0557,-0.0186,-0.0186,,,,,
0d - 00:00:00,001302340,76.37,-170.7522,91.61,0.018581,0,-0.0186,,,,,
0d - 00:00:00,001367457,80.63,-170.7178,86.01,-0.0372,-0.0186,-0.0186,,,,,
0d - 00:00:00,001432574,86.71,-169.7911,79.34,-0.0836,-0.0186,0.018621,,,,,
0d - 00:00:00,001497691,91.34,-169.5509,75.15,-0.0279,-0.0279,0.018621,,,,,
0d - 00:00:00,001562808,94.67,-168.8644,70.95,0.05574,-0.0373,0.018621,,,,,
0d - 00:00:00,001627925,98.24,-167.5259,65.90,-0.0836,-0.0186,0,,,,,
0d - 00:00:00,001693042,101.74,-166.8394,62.19,0.018581,0.027939,-0.0652,,,,,
0d - 00:00:00,001758159,105.00,-167.2856,59.33,-0.0279,-0.0279,0,,,,,
0d - 00:00:00,001823276,108.85,-167.2513,55.14,0.04645,0.027939,0.009311,,,,,
0d - 00:00:00,001888393,113.21,-166.7365,50.33,0.03716,0.018626,0,,,,,
0d - 00:00:00,001953509,116.81,-166.5305,46.68,0.009291,0.009313,-0.0093,,,,,
0d - 00:00:00,002018626,119.87,-166.0157,43.25,0.009291,-0.0186,0.009311,,,,,
0d - 00:00:00,002083743,122.89,-165.1233,39.46,-0.0093,-0.0186,-0.0093,,,,,
0d - 00:00:00,002148861,125.63,-164.1967,35.85,-0.0279,-0.0279,0.009311,,,,,
0d - 00:00:00,002213978,128.52,-163.4416,32.55,-0.0372,0.009313,0,,,,,
0d - 00:00:00,002279095,130.54,-162.0000,29.288,-0.0372,0,0,,,,,
0d - 00:00:00,002344212,133.29,-161.0047,25.473,0,-0.0279,-0.0279,,,,,
0d - 00:00:00,002409329,137.23,-160.9704,21.623,0.018581,-0.0093,-0.0559,,,,,
0d - 00:00:00,002474446,141.01,-160.7988,17.910,0,0,0.10242,,,,,
0d - 00:00:00,002539563,144.10,-159.8034,13.991,0.027872,0.027939,-0.0466,,,,,
0d - 00:00:00,002604680,146.78,-158.3619,10.038,0.06504,-0.0186,0.027932,,,,,
0d - 00:00:00,002669797,148.94,-156.8174,6.703,0,-0.0279,-0.0279,,,,,
0d - 00:00:00,002734914,150.79,-154.9983,3.0595,0.018581,0.07450,0,,,,,
0d - 00:00:00,002800031,152.61,-152.3212,-1.5813,0,-0.0652,-0.0093,,,,,
0d - 00:00:00,002865148,155.01,-150.0560,-5.8783,0.009291,-0.1118,0.027932,,,,,
0d - 00:00:00,002930265,156.90,-148.5458,-8.9378,0.04645,0.027939,-0.0093,,,,,
0d - 00:00:00,002995382,158.76,-146.6924,-12.6848,-0.0279,-0.0279,-0.0093,,,,,
0d - 00:00:00,003060499,160.82,-143.9810,-16.7412,0.009291,-0.0279,-0.0093,,,,,
0d - 00:00:00,003125616,162.60,-141.5441,-20.5569,0.03716,-0.0186,-0.0279,,,,,
0d - 00:00:00,003190733,163.01,-138.0089,-24.1664,0.009291,0.027939,0.009311,,,,,
0d - 00:00:00,003255850,163.77,-134.6454,-28.2228,0,0.04656,-0.0279,,,,,
0d - 00:00:00,003320967,164.28,-131.1788,-32.5542,0,-0.0559,-0.0186,,,,,
0d - 00:00:00,003386084,166.38,-128.2615,-37.2293,0.027872,-0.0466,-0.0186,,,,,
0d - 00:00:00,003451201,168.33,-125.4127,-41.9045,0.03716,0.027939,-0.0093,,,,,
0d - 00:00:00,003516318,169.47,-122.3924,-45.5827,0.018581,-0.0279,0.018621,,,,,
0d - 00:00:00,003581435,169.23,-119.1318,-48.2984,0.009291,0,-0.0093,,,,,
0d - 00:00:00,003646552,168.68,-115.3907,-51.4954,-0.1208,0,0.018621,,,,,
0d - 00:00:00,003711669,167.99,-110.7915,-55.7580,-0.0279,-0.0093,0,,,,,
0d - 00:00:00,003776786,168.13,-106.2610,-60.6394,0.09291,0.009313,0.04655,,,,,
0d - 00:00:00,003841903,169.33,-102.2797,-65.5896,0.05574,0,0,,,,,
0d - 00:00:00,003907019,168.30,-96.5479,-69.9210,0.14865,-0.0186,-0.0093,,,,,
0d - 00:00:00,003972136,167.51,-91.5026,-74.5274,-0.1022,0.009313,0.018621,,,,,
0d - 00:00:00,004037253,168.75,-89.4089,-77.9650,-0.0465,0,-0.0093,,,,,
0d - 00:00:00,004102370,170.46,-88.1733,-80.5432,0.06504,0,0.09311,,,,,
0d - 00:00:00,004167487,170.46,-84.7068,-84.0152,-0.0186,0.018626,-0.0652,,,,,
0d - 00:00:00,004232605,169.77,-79.3182,-88.6560,0.08362,-0.0093,0.027932,,,,,
0d - 00:00:00,004297722,169.33,-74.5132,-92.9874,-0.0372,-0.0093,0.018621,,,,,
0d - 00:00:00,004362839,168.61,-69.6737,-97.2156,0.05574,0.018626,-0.0931,,,,,
0d - 00:00:00,004427956,167.85,-64.2165,-102.0970,0.009291,-0.0279,-0.0279,,,,,
0d - 00:00:00,004493073,167.68,-59.8920,-106.0503,0.07433,0.009313,0.04655,,,,,
0d - 00:00:00,004558190,167.41,-56.8373,-108.8004,0,0.04656,0,,,,,
0d - 00:00:00,004623307,166.82,-53.1305,-112.0317,0.05574,-0.1118,0.009311,,,,,
0d - 00:00:00,004688424,166.24,-49.0462,-115.5725,0.07433,0.04656,-0.0279,,,,,
