X-Data,AVValue[Volts],BVValue[Volts],CVValue[Volts],AIValue[Amps],BIValue[Amps],CIValue[Amps],AVrmsValue[Volts],BVrmsValue[Volts],CVrmsValue[Volts],DVrmsValue[Volts],
0d - 00:00:00,000000000,-0.6179,-152.7674,152.84,-0.0186,-0.0093,-0.0093,,,,,
0d - 00:00:00,000065111,3.330,-154.9640,151.05,0.009291,0.009313,0.03724,,,,,
0d - 00:00:00,000130223,6.728,-156.9204,149.09,-0.0743,-0.0186,0,,,,,
0d - 00:00:00,000195336,10.847,-158.8081,146.75,-0.0093,-0.0093,0.018621,,,,,
0d - 00:00:00,000260447,15.000,-160.7645,144.41,-0.0186,-0.0093,0,,,,,
0d - 00:00:00,000325560,18.742,-161.8971,141.49,-0.0093,0.009313,-0.0093,,,,,
0d - 00:00:00,000390672,22.552,-162.8238,138.33,-0.0186,-0.0093,0.027932,,,,,
0d - 00:00:00,000455784,26.019,-164.0594,135.92,0.027872,-0.0093,0.009311,,,,,
0d - 00:00:00,000520895,28.902,-164.9174,133.65,-0.0093,-0.0093,0.04655,,,,,
0d - 00:00:00,000586008,32.71,-165.6725,129.80,0.018581,0.009313,0,,,,,
0d - 00:00:00,000651120,38.89,-166.7022,124.51,0.018581,0.009313,0.009311,,,,,
0d - 00:00:00,000716232,43.87,-168.2123,121.69,-0.0186,0,-0.0466,,,,,
0d - 00:00:00,000781344,46.92,-169.2077,119.70,-0.0372,0.018626,0.009311,,,,,
0d - 00:00:00,000846456,50.36,-169.0017,115.37,0.009291,-0.0186,0.027932,,,,,
0d - 00:00:00,000911568,54.17,-168.7272,111.72,0.04645,0.009313,-0.0186,,,,,
0d - 00:00:00,000976680,56.71,-168.8988,109.45,-0.0093,-0.0186,0.027932,,,,,
0d - 00:00:00,001041791,60.52,-168.2810,103.82,0.018581,0.009313,-0.0186,,,,,
0d - 00:00:00,001106904,66.04,-167.4229,97.80,-0.0186,0,0.009311,,,,,
0d - 00:00:00,001172016,70.50,-168.4183,95.22,-0.0093,-0.0093,0.027932,,,,,
0d - 00:00:00,001237128,73.66,-169.9628,93.43,-0.0372,0.009313,0.027932,,,,,
