X-Data,AVValue[Volts],BVValue[Volts],CVValue[Volts],AIValue[Amps],BIValue[Amps],CIValue[Amps],AVrmsValue[Volts],BVrmsValue[Volts],CVrmsValue[Volts],DVrmsValue[Volts],
0d - 00:00:00,000000000,-0.3776,-152.7331,152.53,0,-0.0093,0.009311,,,,,
0d - 00:00:00,000065100,3.536,-154.9983,150.77,0,0,0.03724,,,,,
0d - 00:00:00,000130200,6.865,-156.6801,148.85,0,-0.0186,0.009311,,,,,
0d - 00:00:00,000195300,11.019,-158.7051,146.51,-0.0279,-0.0093,0,,,,,
0d - 00:00:00,000260400,15.378,-160.9017,144.17,0.009291,0,-0.0093,,,,,
0d - 00:00:00,000325500,19.188,-162.3433,141.18,0,-0.0093,-0.0093,,,,,
0d - 00:00:00,000390600,23.136,-163.3729,138.16,0.027872,0.018626,0,,,,,
0d - 00:00:00,000455700,26.705,-164.5399,135.82,-0.0093,0.009313,0.009311,,,,,
0d - 00:00:00,000520800,29.692,-165.3293,133.38,-0.0186,0.009313,0.03724,,,,,
0d - 00:00:00,000585900,33.43,-165.8441,129.43,0.03716,-0.0093,0.009311,,,,,
0d - 00:00:00,000651000,38.58,-166.7365,125.13,0.018581,0.009313,0.018621,,,,,
0d - 00:00:00,000716100,43.52,-168.3496,121.93,0.009291,-0.0279,0.027932,,,,,
0d - 00:00:00,000781200,47.75,-169.3450,118.74,0.05574,0.009313,0.027932,,,,,
0d - 00:00:00,000846300,51.18,-169.2763,115.40,-0.0186,0.009313,0.009311,,,,,
0d - 00:00:00,000911400,54.27,-169.0704,112.10,-0.0093,-0.0093,0.018621,,,,,
0d - 00:00:00,000976500,57.15,-169.1733,109.21,0,-0.0186,0.009311,,,,,
0d - 00:00:00,001041600,60.31,-169.1390,105.64,-0.0279,0,0.03724,,,,,
0d - 00:00:00,001106700,64.57,-168.9674,100.96,0.009291,0.009313,-0.0093,,,,,
0d - 00:00:00,001171800,69.65,-169.1390,96.05,0,-0.0279,0.027932,,,,,
0d - 00:00:00,001236900,73.90,-169.4479,92.57,-0.0186,-0.0093,0,,,,,
0d - 00:00:00,001302000,76.89,-169.5852,89.58,0.027872,0.009313,0.018621,,,,,
0d - 00:00:00,001367100,80.60,-169.2763,85.12,0,0,0.009311,,,,,
0d - 00:00:00,001432200,84.51,-168.2466,80.68,0.009291,0.018626,0.009311,,,,,
0d - 00:00:00,001497300,85.88,-165.9814,77.35,-0.0279,-0.0093,-0.0093,,,,,
0d - 00:00:00,001562400,89.11,-165.1920,72.22,-0.0093,0.009313,0,,,,,
0d - 00:00:00,001627500,96.70,-166.4962,65.45,0.018581,0,0.018621,,,,,
0d - 00:00:00,001692600,103.22,-167.7661,61.53,0,0.018626,0.009311,,,,,
0d - 00:00:00,001757700,106.27,-168.1780,58.96,-0.0465,0.009313,0.009311,,,,,
0d - 00:00:00,001822800,109.64,-167.6632,54.66,0.018581,0,-0.0093,,,,,
0d - 00:00:00,001887900,113.86,-166.8394,49.81,0.027872,0,-0.0093,,,,,
0d - 00:00:00,001953000,116.81,-165.7068,46.27,0.009291,-0.0093,0.018621,,,,,
0d - 00:00:00,002018100,119.01,-164.6428,42.87,0,-0.0093,0.018621,,,,,
0d - 00:00:00,002083200,122.20,-163.8878,38.67,0.009291,0.027939,0.027932,,,,,
0d - 00:00:00,002148300,125.91,-163.3729,34.86,-0.0465,-0.0279,-0.0279,,,,,
0d - 00:00:00,002213400,128.96,-163.2013,31.87,-0.0279,0,0.018621,,,,,
0d - 00:00:00,002278500,131.98,-162.8581,28.670,0.07433,0.018626,-0.0093,,,,,
0d - 00:00:00,002343600,134.97,-162.2060,25.060,0.06504,0.009313,-0.0372,,,,,
0d - 00:00:00,002408700,137.82,-161.3479,21.554,0.027872,0,0.018621,,,,,
0d - 00:00:00,002473800,140.63,-160.3869,17.979,0.04645,0.018626,0.009311,,,,,
0d - 00:00:00,002538900,143.31,-159.0827,14.094,0.06504,-0.0186,0,,,,,
0d - 00:00:00,002604000,146.26,-157.5725,9.660,0.027872,0.009313,0.027932,,,,,
0d - 00:00:00,002669100,148.77,-155.8221,5.741,-0.0186,-0.0186,0,,,,,
0d - 00:00:00,002734200,150.83,-154.1060,2.0969,0.018581,0.009313,0,,,,,
0d - 00:00:00,002799300,152.99,-152.2526,-1.8219,0.05574,0.009313,0.009311,,,,,
0d - 00:00:00,002864400,155.05,-150.3306,-5.2939,0,-0.0186,-0.0559,,,,,
0d - 00:00:00,002929500,156.49,-148.8890,-8.2846,0.04645,-0.0373,0,,,,,
0d - 00:00:00,002994600,158.65,-146.6238,-12.5129,0.04645,0.018626,0.027932,,,,,
0d - 00:00:00,003059700,160.78,-143.9466,-16.6724,0.08362,0,-0.0186,,,,,
0d - 00:00:00,003124800,162.46,-141.3038,-20.7288,0.018581,0.018626,0.009311,,,,,
0d - 00:00:00,003189900,163.66,-138.3522,-24.6133,0.04645,0,0,,,,,
0d - 00:00:00,003255000,163.70,-134.4394,-28.4634,0.018581,-0.0186,0.009311,,,,,
0d - 00:00:00,003320100,164.59,-131.1102,-32.5885,0.018581,0.009313,-0.0372,,,,,
0d - 00:00:00,003385200,166.55,-128.4674,-37.3324,0.009291,0,0.027932,,,,,
0d - 00:00:00,003450300,168.23,-125.1038,-41.9732,0.05574,0,0.009311,,,,,
0d - 00:00:00,003515400,169.12,-122.0492,-45.5827,-0.0186,-0.0093,0.018621,,,,,
0d - 00:00:00,003580500,169.26,-118.9945,-48.5391,0.009291,0.009313,0,,,,,
0d - 00:00:00,003645600,169.09,-115.5280,-51.8735,0.009291,-0.0093,-0.0093,,,,,
0d - 00:00:00,003710700,169.09,-111.4780,-56.0330,0.05574,0,0.009311,,,,,
0d - 00:00:00,003775800,169.26,-107.6339,-60.1926,0.027872,-0.0186,-0.0466,,,,,
0d - 00:00:00,003840900,169.57,-103.7555,-64.3521,-0.0465,-0.0093,0.018621,,,,,
0d - 00:00:00,003906000,169.91,-99.6369,-68.5460,0.04645,-0.0279,0.018621,,,,,
0d - 00:00:00,003971100,169.91,-95.4496,-72.7742,0.05574,-0.0093,0.009311,,,,,
0d - 00:00:00,004036200,169.71,-91.4339,-76.3493,0.05574,0.027939,0,,,,,
0d - 00:00:00,004101300,169.57,-87.7958,-79.7526,0.06504,0.018626,0.009311,,,,,
0d - 00:00:00,004166400,169.26,-83.6771,-83.6714,0.04645,0.009313,0.009311,,,,,
0d - 00:00:00,004231500,167.17,-79.0437,-85.5277,0.04645,0,0.027932,,,,,
0d - 00:00:00,004296600,164.80,-75.1653,-87.9341,0,-0.0093,0.03724,,,,,
0d - 00:00:00,004361700,166.34,-70.1543,-95.8750,0.018581,-0.0186,0,,,,,
0d - 00:00:00,004426800,169.36,-64.1822,-104.0908,-0.0186,0.009313,0,,,,,
0d - 00:00:00,004491900,169.40,-59.8576,-107.1159,0.027872,0,-0.0093,,,,,
0d - 00:00:00,004557000,167.34,-56.4941,-108.6285,-0.0186,0,0.018621,,,,,
0d - 00:00:00,004622100,165.76,-52.0322,-112.1005,0.04645,0.027939,0.018621,,,,,
0d - 00:00:00,004687200,164.93,-47.7076,-115.5037,0.018581,0,0,,,,,
0d - 00:00:00,004752300,164.56,-44.6187,-118.5976,0.06504,0,0.009311,,,,,
0d - 00:00:00,004817400,164.83,-41.3581,-122.1383,0.14865,0.009313,-0.0186,,,,,
0d - 00:00:00,004882500,165.14,-37.7199,-125.9197,0.11149,0.009313,0,,,,,
0d - 00:00:00,004947600,164.59,-34.2877,-128.6010,0.009291,0.009313,-0.0186,,,,,
0d - 00:00:00,005012700,163.56,-30.9928,-131.1105,0.04645,-0.0093,0.009311,,,,,
0d - 00:00:00,005077800,162.81,-27.2860,-133.9980,-0.0465,0,-0.0186,,,,,
0d - 00:00:00,005142900,161.85,-23.8538,-136.8857,0.04645,0.009313,0,,,,,
0d - 00:00:00,005208000,160.99,-20.5246,-139.7389,0.06504,-0.0093,0,,,,,
0d - 00:00:00,005273100,160.34,-16.8521,-142.8327,0,-0.0373,0.018621,,,,,
0d - 00:00:00,005338200,159.10,-12.9394,-145.5141,-0.0186,-0.0093,0.03724,,,,,
0d - 00:00:00,005403300,157.38,-9.0267,-147.8172,0.027872,0.018626,0.018621,,,,,
0d - 00:00:00,005468400,155.63,-5.1826,-150.0517,0.04645,0,0,,,,,
0d - 00:00:00,005533500,153.61,-0.5492,-152.6987,-0.0093,0.009313,0,,,,,
0d - 00:00:00,005598600,151.72,3.741,-155.2425,0.09291,0.027939,0.018621,,,,,
0d - 00:00:00,005663700,150.24,6.658,-156.9613,0.03716,0,-0.0186,,,,,
0d - 00:00:00,005728800,148.53,10.091,-158.5770,0.027872,0.027939,0.018621,,,,,
0d - 00:00:00,005793900,146.16,14.347,-160.6739,0.03716,-0.0186,-0.0093,,,,,
0d - 00:00:00,005859000,143.31,18.259,-161.8427,0.05574,0.018626,0.009311,,,,,
0d - 00:00:00,005924100,140.53,22.172,-163.1834,0.04645,-0.0279,0,,,,,
0d - 00:00:00,005989200,137.75,26.394,-164.8678,0.09291,0.009313,0,,,,,
0d - 00:00:00,006054300,134.56,30.581,-165.8991,0.03716,0,0.018621,,,,,
0d - 00:00:00,006119400,130.85,34.77,-166.3803,0.03716,-0.0093,-0.0372,,,,,
0d - 00:00:00,006184500,127.07,39.30,-167.5491,0.06504,-0.0093,0.027932,,,,,
0d - 00:00:00,006249600,123.81,44.04,-169.0617,0.03716,0,0.018621,,,,,
0d - 00:00:00,006314700,120.45,47.88,-169.1304,0.06504,-0.0466,0.018621,,,,,
0d - 00:00:00,006379800,116.43,51.52,-168.8898,0.027872,0.018626,0.027932,,,,,
