X-Data,AVValue[Volts],BVValue[Volts],CVValue[Volts],AIValue[Amps],BIValue[Amps],CIValue[Amps],AVrmsValue[Volts],BVrmsValue[Volts],CVrmsValue[Volts],DVrmsValue[Volts],
0d - 00:00:00,000000000,-0.8581,-152.6644,153.42,-5.8717,0.05588,0,,,,,
0d - 00:00:00,000065126,3.227,-154.8611,151.53,-5.8624,0.10244,0,,,,,
0d - 00:00:00,000130252,6.659,-156.5085,150.02,-5.9554,0.10244,0.027932,,,,,
0d - 00:00:00,000195378,10.057,-158.5678,147.95,-6.0204,0.07450,0,,,,,
0d - 00:00:00,000260504,14.382,-160.4556,145.24,-5.9832,0.09313,0.009311,,,,,
0d - 00:00:00,000325630,18.845,-161.7598,141.87,-5.8439,0.09313,0.03724,,,,,
0d - 00:00:00,000390756,22.586,-162.9611,139.02,-5.8810,0.08382,-0.0466,,,,,
0d - 00:00:00,000455882,26.019,-164.2996,136.99,-5.7231,0.06519,0,,,,,
0d - 00:00:00,000521008,29.108,-165.2263,134.69,-5.5930,0.08382,-0.0372,,,,,
0d - 00:00:00,000586134,32.51,-165.7068,131.01,-5.8160,0.08382,0.018621,,,,,
0d - 00:00:00,000651260,37.83,-166.3246,126.02,-5.6766,0.04656,0.018621,,,,,
0d - 00:00:00,000716386,43.11,-167.9034,122.72,-5.4908,0.04656,0.009311,,,,,
0d - 00:00:00,000781512,46.96,-169.0361,119.97,-5.5466,0.06519,0,,,,,
0d - 00:00:00,000846638,50.32,-169.1047,116.53,-5.5001,0.027939,0.05586,,,,,
0d - 00:00:00,000911764,53.51,-168.8988,113.20,-5.4258,0.03725,-0.0186,,,,,
0d - 00:00:00,000976890,55.99,-168.3496,110.42,-5.4072,0.027939,0.018621,,,,,
0d - 00:00:00,001042016,58.63,-167.4229,106.12,-5.3050,0.07450,0.027932,,,,,
0d - 00:00:00,001107142,63.85,-167.3200,99.73,-5.2771,-0.0186,0,,,,,
0d - 00:00:00,001172268,70.88,-167.6975,93.71,-5.2214,0.08382,0.027932,,,,,
0d - 00:00:00,001237394,75.48,-168.8644,91.37,-5.1564,0.06519,-0.0466,,,,,
0d - 00:00:00,001302520,77.64,-169.9628,90.27,-5.0634,0.03725,0.018621,,,,,
0d - 00:00:00,001367646,80.67,-170.1000,86.39,-4.9612,0.05588,0.009311,,,,,
0d - 00:00:00,001432772,85.37,-169.2763,80.65,-4.9055,0.05588,0.018621,,,,,
0d - 00:00:00,001497898,89.86,-168.6585,75.83,-4.8033,0.05588,-0.0093,,,,,
0d - 00:00:00,001563024,93.78,-168.1094,71.40,-4.6825,0,-0.0186,,,,,
0d - 00:00:00,001628150,98.03,-167.5602,66.59,-4.5989,0.009313,0,,,,,
0d - 00:00:00,001693276,101.88,-167.2513,62.70,-4.6175,0.027939,0.009311,,,,,
0d - 00:00:00,001758402,105.24,-167.1827,59.40,-4.3481,0.018626,0.03724,,,,,
0d - 00:00:00,001823528,108.95,-167.0454,55.28,-4.3202,0.027939,-0.0186,,,,,
0d - 00:00:00,001888654,113.07,-166.6335,50.77,-4.1715,0.009313,-0.0093,,,,,
0d - 00:00:00,001953780,116.50,-166.2216,47.10,-4.0693,0.009313,-0.0466,,,,,
0d - 00:00:00,002018906,119.56,-165.6725,43.42,-4.1344,0,0,,,,,
