X-Data,AVValue[Volts],BVValue[Volts],CVValue[Volts],AIValue[Amps],BIValue[Amps],CIValue[Amps],AVrmsValue[Volts],BVrmsValue[Volts],CVrmsValue[Volts],DVrmsValue[Volts],
0d - 00:00:00,000000000,-0.4806,152.39,-151.1861,0.018581,-0.0373,0.05586,,,,,
0d - 00:00:00,000065127,-4.3937,154.69,-149.6392,-0.0093,0.009313,0.05586,,,,,
0d - 00:00:00,000130254,-7.5173,156.58,-147.7829,0,0.027939,0.04655,,,,,
0d - 00:00:00,000195381,-11.8424,158.77,-145.1703,-0.0186,0.018626,0.04655,,,,,
0d - 00:00:00,000260508,-16.3390,160.66,-142.7296,-0.0186,0.03725,0.05586,,,,,
0d - 00:00:00,000325635,-20.0119,162.27,-140.6326,-0.0093,0.018626,0.009311,,,,,
0d - 00:00:00,000390762,-23.3758,163.58,-138.1232,0.027872,0,0.07449,,,,,
0d - 00:00:00,000455889,-27.0143,165.12,-136.1294,0,0.04656,0.027932,,,,,
0d - 00:00:00,000521016,-29.9320,166.19,-133.7918,0.009291,0.03725,0.018621,,,,,
0d - 00:00:00,000586143,-34.1197,167.01,-129.5979,0.06504,0,0.04655,,,,,
0d - 00:00:00,000651270,-39.8864,167.22,-124.0634,-0.0093,0.03725,0.03724,,,,,
0d - 00:00:00,000716397,-43.7996,168.28,-122.3789,0,0.009313,0.03724,,,,,
0d - 00:00:00,000781524,-46.3740,169.52,-120.5914,0.027872,0,0.05586,,,,,
0d - 00:00:00,000846651,-50.2185,169.59,-115.8818,-0.0093,0.027939,0.06517,,,,,
0d - 00:00:00,000911778,-54.2689,168.73,-111.5848,-0.0650,0.009313,0.03724,,,,,
0d - 00:00:00,000976904,-56.6374,168.62,-109.3848,0.009291,0.009313,0.04655,,,,,
0d - 00:00:00,001042032,-60.4819,168.59,-104.5377,-0.0186,0.009313,0.04655,,,,,
0d - 00:00:00,001107159,-65.4248,168.14,-99.2782,0.06504,0.018626,0.06517,,,,,
0d - 00:00:00,001172286,-69.6125,168.28,-95.6687,0.009291,0,0.009311,,,,,
