X-Data,AVValue[Volts],BVValue[Volts],CVValue[Volts],AIValue[Amps],BIValue[Amps],CIValue[Amps],AVrmsValue[Volts],BVrmsValue[Volts],CVrmsValue[Volts],DVrmsValue[Volts],
0d - 00:00:00,000000000,-0.3433,153.56,-152.2518,-6.9680,0.12107,0.009311,,,,,
0d - 00:00:00,000065104,-4.9429,155.68,-150.1204,-6.3270,0.11175,0,,,,,
0d - 00:00:00,000130208,-9.0620,157.68,-147.9891,-5.4351,0.08382,0.018621,,,,,
0d - 00:00:00,000195312,-12.6319,159.70,-145.7890,-4.9427,0.07450,0.009311,,,,,
0d - 00:00:00,000260416,-16.1331,161.45,-143.2108,-4.7940,0.018626,0,,,,,
0d - 00:00:00,000325520,-19.5313,162.45,-140.3233,-4.7940,0.10244,0.07449,,,,,
0d - 00:00:00,000390624,-22.9982,163.65,-137.5044,-4.8590,0.07450,-0.0093,,,,,
0d - 00:00:00,000455728,0.03433,164.57,-134.8918,-5.1564,0.12107,0.018621,,,,,
0d - 00:00:00,000520832,-30.2066,165.19,-131.9699,-5.1471,0.10244,0.018621,,,,,
0d - 00:00:00,000585936,-33.9481,166.32,-127.8791,-5.2957,0.06519,-0.0372,,,,,
0d - 00:00:00,000651040,-38.0672,167.42,-124.3727,-6.1319,0.11175,0.027932,,,,,
0d - 00:00:00,000716144,-42.6325,168.52,-121.3476,-6.7544,0.13969,-0.0372,,,,,
0d - 00:00:00,000781248,-47.3008,168.14,-118.1163,-6.7172,0.09313,-0.0372,,,,,
0d - 00:00:00,000846352,-51.3856,166.29,-114.5756,-5.3515,0.08382,-0.0093,,,,,
0d - 00:00:00,000911456,-54.5435,167.05,-110.6567,-3.7720,0.018626,0,,,,,
0d - 00:00:00,000976560,-57.2896,168.42,-107.0816,-3.5676,0.03725,-0.0186,,,,,
0d - 00:00:00,001041664,-60.3446,169.14,-102.9221,-4.5432,0.08382,0.009311,,,,,
0d - 00:00:00,001106768,-64.1204,169.86,-99.0376,-6.0018,0.13038,0.009311,,,,,
0d - 00:00:00,001171872,-68.8230,170.20,-95.9093,-7.1631,0.09313,0,,,,,
0d - 00:00:00,001236976,-73.9032,169.96,-92.5405,-7.2468,0.11175,0,,,,,
0d - 00:00:00,001302080,-78.5372,169.31,-87.9685,-6.4663,-0.0186,0,,,,,
0d - 00:00:00,001367184,-82.7936,168.76,-83.0527,-5.5559,0.10244,0.10242,,,,,
0d - 00:00:00,001432288,-86.5694,168.66,-78.6181,-5.1656,0.05588,0.009311,,,,,
0d - 00:00:00,001497392,-90.2422,168.69,-74.9055,-4.8869,0.06519,0,,,,,
0d - 00:00:00,001562496,-93.8808,169.04,-70.8492,-4.9984,0.04656,0.05586,,,,,
0d - 00:00:00,001627600,-97.6222,168.83,-66.7584,-5.3143,0.05588,0.03724,,,,,
0d - 00:00:00,001692704,-101.3637,168.25,-62.5989,-5.5094,0.03725,-0.0093,,,,,
0d - 00:00:00,001757808,-105.3455,167.77,-58.3362,-5.5837,0.11175,0,,,,,
0d - 00:00:00,001822912,-109.3616,167.08,-53.6955,-5.5651,0.04656,-0.0559,,,,,
0d - 00:00:00,001888016,-113.4464,166.39,-49.4328,-5.6395,0.07450,0,,,,,
0d - 00:00:00,001953120,-117.1879,165.91,-45.8921,-5.2400,0.06519,0,,,,,
0d - 00:00:00,002018224,-120.6891,165.67,-42.3170,-4.8033,0.03725,-0.0093,,,,,
0d - 00:00:00,002083328,-123.8471,164.95,-38.8106,-4.2644,0.03725,0.009311,,,,,
0d - 00:00:00,002148432,-126.7304,164.30,-35.2011,-3.7720,-0.0279,0.018621,,,,,
0d - 00:00:00,002213536,-129.4078,163.65,-31.5573,-3.5862,0,0.03724,,,,,
0d - 00:00:00,002278640,-132.0509,162.79,-27.7415,-3.5862,0.05588,0.018621,,,,,
0d - 00:00:00,002343744,-134.7283,161.86,-24.0976,-3.7256,0.027939,-0.0093,,,,,
0d - 00:00:00,002408848,-137.6117,161.04,-20.4882,-3.9857,0.027939,0.009311,,,,,
