X-Data,AVValue[Volts],BVValue[Volts],CVValue[Volts],AIValue[Amps],BIValue[Amps],CIValue[Amps],AVrmsValue[Volts],BVrmsValue[Volts],CVrmsValue[Volts],DVrmsValue[Volts],
0d - 00:00:00,000000000,-0.3776,-153.0763,152.73,-0.0465,-0.0279,0.009311,,,,,
0d - 00:00:00,000065114,3.947,-155.3759,150.53,-0.0372,-0.0279,0,,,,,
0d - 00:00:00,000130228,7.517,-157.1263,148.64,0.04645,0,0.018621,,,,,
0d - 00:00:00,000195342,11.533,-159.2543,146.58,-0.0372,-0.0186,0.018621,,,,,
0d - 00:00:00,000260456,15.653,-161.1420,144.00,-0.0093,-0.0093,0.04655,,,,,
0d - 00:00:00,000325570,19.600,-162.3776,140.98,0.13936,-0.0186,-0.0093,,,,,
0d - 00:00:00,000390684,23.273,-163.4759,138.12,-0.0186,0.009313,-0.0372,,,,,
0d - 00:00:00,000455798,26.877,-164.6085,135.58,-0.0093,-0.0093,-0.0186,,,,,
0d - 00:00:00,000520912,30.069,-165.2606,132.93,-0.0093,0,0.10242,,,,,
0d - 00:00:00,000586026,34.09,-166.2216,129.22,-0.0279,-0.0093,0.027932,,,,,
0d - 00:00:00,000651140,39.71,-167.3200,124.48,0.009291,0.018626,-0.0186,,,,,
0d - 00:00:00,000716254,44.76,-168.8988,121.42,0.027872,0.018626,0.009311,,,,,
0d - 00:00:00,000781368,47.92,-169.7225,119.22,0.05574,0.009313,-0.0093,,,,,
0d - 00:00:00,000846482,50.80,-169.6539,115.85,0.009291,0.009313,0.009311,,,,,
0d - 00:00:00,000911596,53.96,-168.8988,112.34,-0.0186,-0.0745,0.018621,,,,,
0d - 00:00:00,000976710,55.78,-167.7661,109.04,-0.0465,-0.0279,0.009311,,,,,
0d - 00:00:00,001041824,59.56,-167.8348,104.71,0,-0.0186,0.027932,,,,,
0d - 00:00:00,001106938,65.84,-168.9674,99.24,0.04645,-0.0279,0.03724,,,,,
0d - 00:00:00,001172052,71.33,-169.7568,95.26,0.03716,-0.0093,0.03724,,,,,
0d - 00:00:00,001237166,74.62,-170.2030,92.85,-0.0836,0,0.06517,,,,,
0d - 00:00:00,001302280,77.30,-170.1344,89.62,0.13007,0,-0.0466,,,,,
0d - 00:00:00,001367394,81.25,-169.4822,84.74,-0.0372,0.027939,0.009311,,,,,
0d - 00:00:00,001432508,85.54,-168.6585,79.68,0,0.027939,0,,,,,
0d - 00:00:00,001497622,89.66,-168.1780,75.32,-0.0372,-0.0186,-0.0559,,,,,
0d - 00:00:00,001562736,93.67,-168.1094,71.12,0.009291,-0.0279,-0.0559,,,,,
0d - 00:00:00,001627850,97.86,-168.0064,66.86,0,-0.0093,0,,,,,
0d - 00:00:00,001692964,101.78,-167.7318,62.87,0,-0.0093,0,,,,,
0d - 00:00:00,001758078,105.52,-167.5945,58.85,0.04645,0.04656,-0.0093,,,,,
0d - 00:00:00,001823192,109.33,-167.1483,54.62,0.027872,-0.0093,-0.0279,,,,,
0d - 00:00:00,001888306,113.24,-166.5992,50.19,0.018581,-0.0466,0,,,,,
0d - 00:00:00,001953420,116.78,-166.2216,46.41,0.018581,-0.0093,-0.0186,,,,,
