X-Data,AVValue[Volts],BVValue[Volts],CVValue[Volts],AIValue[Amps],BIValue[Amps],CIValue[Amps],AVrmsValue[Volts],BVrmsValue[Volts],CVrmsValue[Volts],DVrmsValue[Volts],
0d - 00:00:00,000000000,0.30893,152.94,-152.3549,8.083,0.5867,-4.9533,,,,,
0d - 00:00:00,000065119,-3.6728,155.03,-150.4298,8.074,0.6892,-5.0929,,,,,
0d - 00:00:00,000130238,-7.0711,156.78,-149.0548,8.083,0.9220,-5.2419,,,,,
0d - 00:00:00,000195357,-10.7439,158.88,-146.9235,8.027,0.9220,-5.3630,,,,,
0d - 00:00:00,000260476,-14.9317,160.76,-144.0703,8.036,1.0803,-5.5399,,,,,
0d - 00:00:00,000325595,-19.2567,162.14,-140.9764,8.027,1.2386,-5.6888,,,,,
0d - 00:00:00,000390714,-23.1698,163.54,-138.2263,7.953,1.3597,-5.8192,,,,,
0d - 00:00:00,000455833,-26.9457,164.81,-135.7169,7.916,1.5739,-5.9495,,,,,
0d - 00:00:00,000520952,-29.9320,165.36,-133.1730,7.925,1.5925,-6.0799,,,,,
0d - 00:00:00,000586071,-33.6392,165.95,-129.2542,7.832,1.7322,-6.2382,,,,,
0d - 00:00:00,000651190,-39.4059,166.81,-124.1665,7.693,1.8067,-6.3033,,,,,
0d - 00:00:00,000716309,-44.7264,168.42,-120.9008,7.776,1.9278,-6.4523,,,,,
0d - 00:00:00,000781428,-48.4679,169.52,-118.3569,7.702,2.0861,-6.5733,,,,,
0d - 00:00:00,000846547,-51.4885,169.45,-114.9881,7.628,2.1606,-6.6292,,,,,
0d - 00:00:00,000911666,-54.7151,169.17,-111.5848,7.395,2.2817,-6.7968,,,,,
0d - 00:00:00,000976785,-57.7358,169.28,-108.6972,7.451,2.3934,-6.9272,,,,,
0d - 00:00:00,001041904,-61.1340,169.34,-104.9159,7.414,2.5052,-6.9644,,,,,
0d - 00:00:00,001107023,-65.9740,169.28,-99.7595,7.312,2.5890,-7.1134,,,,,
0d - 00:00:00,001172142,-70.7796,169.45,-95.3593,7.191,2.7007,-7.0668,,,,,
0d - 00:00:00,001237261,-74.3494,169.76,-92.4030,7.172,2.7939,-7.2996,,,,,
0d - 00:00:00,001302380,-77.3358,169.79,-89.2060,7.061,2.8963,-7.3368,,,,,
0d - 00:00:00,001367499,-81.5235,169.38,-84.4277,6.949,2.9894,-7.4020,,,,,
0d - 00:00:00,001432618,-85.9172,169.00,-79.8901,6.847,3.0546,-7.4765,,,,,
0d - 00:00:00,001497737,-89.6930,168.86,-76.0399,6.745,3.1571,-7.5510,,,,,
0d - 00:00:00,001562856,-93.6405,168.56,-71.3648,6.624,3.260,-7.6348,,,,,
0d - 00:00:00,001627975,-97.9998,168.08,-66.6553,6.494,3.362,-7.6627,,,,,
0d - 00:00:00,001693094,-102.0846,167.66,-62.5645,6.401,3.464,-7.6906,,,,,
0d - 00:00:00,001758213,-105.4828,167.22,-58.6113,6.243,3.567,-7.7651,,,,,
0d - 00:00:00,001823332,-109.1900,166.74,-54.3486,6.141,3.641,-7.7931,,,,,
0d - 00:00:00,001888451,-113.3777,166.22,-49.8110,5.974,3.669,-7.8210,,,,,
0d - 00:00:00,001953570,-116.8103,165.78,-46.2702,5.705,3.790,-7.8582,,,,,
0d - 00:00:00,002018689,-119.7623,165.40,-42.9014,5.742,3.893,-7.8862,,,,,
0d - 00:00:00,002083808,-122.8516,164.68,-39.0513,5.547,3.921,-7.8768,,,,,
0d - 00:00:00,002148927,-126.0096,164.06,-35.4418,5.398,4.014,-7.9420,,,,,
0d - 00:00:00,002214046,-128.8929,163.37,-32.1073,5.361,4.032,-7.8768,,,,,
0d - 00:00:00,002279165,-131.8450,162.69,-28.3603,5.008,4.163,-7.9793,,,,,
0d - 00:00:00,002344284,-134.8999,161.76,-24.5102,4.933,4.209,-7.9793,,,,,
0d - 00:00:00,002409403,-137.9549,161.00,-20.9694,4.785,4.275,-7.9420,,,,,
0d - 00:00:00,002474522,-140.8726,160.15,-17.5662,4.599,4.349,-8.0072,,,,,
0d - 00:00:00,002539641,-143.6873,159.01,-13.5098,4.422,4.396,-7.8396,,,,,
0d - 00:00:00,002604760,-146.7080,157.64,-9.3847,4.283,4.479,-7.9141,,,,,
0d - 00:00:00,002669879,-148.8705,156.23,-5.9814,4.125,4.554,-7.8955,,,,,
0d - 00:00:00,002734998,-150.9300,154.52,-2.2001,3.911,4.628,-7.8862,,,,,
0d - 00:00:00,002800117,-153.1269,152.36,2.0282,3.679,4.638,-7.8582,,,,,
0d - 00:00:00,002865236,-155.3924,150.33,5.844,3.530,4.675,-7.8489,,,,,
0d - 00:00:00,002930355,-156.7997,148.85,8.594,3.354,4.740,-7.8210,,,,,
0d - 00:00:00,002995474,-158.7220,146.76,12.616,3.205,4.722,-7.7186,,,,,
0d - 00:00:00,003060593,-161.0218,143.95,17.257,2.9916,4.871,-7.7093,,,,,
0d - 00:00:00,003125712,-162.7038,141.30,21.210,2.7965,4.852,-7.6255,,,,,
0d - 00:00:00,003190831,-163.9395,138.59,24.785,2.6014,4.880,-7.5789,,,,,
0d - 00:00:00,003255950,-165.1752,135.74,28.738,2.3970,4.927,-7.5417,,,,,
0d - 00:00:00,003321069,-165.2782,131.63,32.55,2.2205,4.992,-7.4765,,,,,
0d - 00:00:00,003386188,-165.2439,127.23,37.33,2.0161,5.001,-7.4206,,,,,
0d - 00:00:00,003451307,-167.0974,124.35,42.25,1.8674,5.048,-7.3182,,,,,
0d - 00:00:00,003516426,-169.7748,121.71,47.06,1.6723,5.010,-7.2530,,,,,
0d - 00:00:00,003581545,-170.0838,118.00,50.40,1.6166,5.029,-7.2251,,,,,
0d - 00:00:00,003646664,-169.2599,114.26,53.39,1.1892,5.066,-7.0854,,,,,
0d - 00:00:00,003711783,-169.0883,110.89,56.69,1.0127,5.076,-6.9737,,,,,
0d - 00:00:00,003776902,-169.2943,107.36,60.43,0.8733,5.038,-6.9085,,,,,
0d - 00:00:00,003842021,-169.5346,103.65,64.46,0.6504,5.057,-6.7968,,,,,
0d - 00:00:00,003907140,-169.9465,99.57,69.03,0.4924,5.076,-6.7875,,,,,
0d - 00:00:00,003972258,-170.4957,95.14,73.84,0.27872,5.076,-6.5920,,,,,
0d - 00:00:00,004037378,-170.2211,90.95,77.31,0.11149,5.057,-6.4989,,,,,
0d - 00:00:00,004102497,-169.5689,87.45,80.30,-0.1115,5.057,-6.4151,,,,,
0d - 00:00:00,004167616,-169.1570,83.27,84.50,-0.2973,4.982,-6.2382,,,,,
0d - 00:00:00,004232735,-169.2256,78.49,89.14,-0.5110,4.992,-6.1637,,,,,
0d - 00:00:00,004297854,-169.0197,74.44,92.82,-0.6782,4.973,-6.0147,,,,,
0d - 00:00:00,004362973,-168.7107,70.36,96.67,-0.8826,4.899,-5.9030,,,,,
0d - 00:00:00,004428092,-168.2302,64.97,101.62,-1.0684,4.927,-5.7447,,,,,
0d - 00:00:00,004493211,-167.8526,60.54,105.47,-1.2914,4.917,-5.6050,,,,,
0d - 00:00:00,004558330,-167.0631,56.97,108.28,-1.4679,4.852,-5.4654,,,,,
0d - 00:00:00,004623449,-166.2736,52.82,111.79,-1.7838,4.805,-5.2978,,,,,
0d - 00:00:00,004688568,-165.9647,48.43,115.95,-1.7559,4.759,-5.1767,,,,,
0d - 00:00:00,004753687,-165.5528,44.76,119.11,-1.9882,4.759,-5.0092,,,,,
0d - 00:00:00,004818806,-165.0379,41.53,121.93,-2.2205,4.684,-4.8416,,,,,
0d - 00:00:00,004883925,-164.4544,38.10,124.75,-2.3691,4.628,-4.7671,,,,,
0d - 00:00:00,004949044,-163.9738,34.49,128.12,-2.6200,4.601,-4.5157,,,,,
0d - 00:00:00,005014163,-163.5276,30.993,131.18,-2.8523,4.535,-4.3760,,,,,
0d - 00:00:00,005079282,-162.7038,27.664,133.96,-2.9637,4.442,-4.2177,,,,,
0d - 00:00:00,005144401,-161.9486,24.266,136.95,-3.1124,4.405,-4.0688,,,,,
0d - 00:00:00,005209520,-161.1591,20.422,140.05,-3.3261,4.386,-3.9198,,,,,
0d - 00:00:00,005274639,-160.1980,16.681,142.83,-3.4933,4.247,-3.6591,,,,,
0d - 00:00:00,005339758,-158.8250,12.905,145.58,-3.6884,4.247,-3.4822,,,,,
0d - 00:00:00,005404877,-157.3146,8.786,148.16,-3.8278,4.191,-3.3425,,,,,
0d - 00:00:00,005469996,-155.5297,4.805,150.53,-4.0508,4.070,-3.1470,,,,,
0d - 00:00:00,005535115,-153.2642,0.20593,152.87,-4.2180,4.005,-2.9794,,,,,
0d - 00:00:00,005600234,-151.2047,-4.1186,155.24,-4.4410,3.939,-2.7839,,,,,
0d - 00:00:00,005665353,-149.7630,-7.2076,157.10,-4.5432,3.753,-2.6070,,,,,
0d - 00:00:00,005730472,-148.2526,-10.3309,158.75,-4.7383,3.865,-2.4022,,,,,
0d - 00:00:00,005795591,-145.9528,-14.3123,160.64,-4.9148,3.753,-2.1973,,,,,
0d - 00:00:00,005860710,-143.1381,-18.3280,161.98,-5.0356,3.651,-2.0297,,,,,
0d - 00:00:00,005925829,-140.2547,-22.5153,163.42,-5.2678,3.548,-1.8435,,,,,
0d - 00:00:00,005990948,-137.0281,-26.9428,164.80,-5.3515,3.474,-1.6201,,,,,
0d - 00:00:00,006056067,-134.1448,-30.7526,165.83,-5.5466,3.381,-1.4338,,,,,
0d - 00:00:00,006121186,-130.9182,-34.7682,166.48,-5.6952,3.297,-1.2290,,,,,
0d - 00:00:00,006186305,-126.5931,-39.6420,167.38,-5.8067,3.241,-0.9776,,,,,
0d - 00:00:00,006251424,-122.9203,-44.3441,168.72,-6.0576,3.1384,-0.9124,,,,,
0d - 00:00:00,006316543,-119.5220,-48.4627,169.23,-6.1226,3.0174,-0.6797,,,,,
0d - 00:00:00,006381662,-115.7462,-52.1009,169.03,-6.2527,2.9336,-0.4842,,,,,
0d - 00:00:00,006446781,-112.1420,-55.5331,169.03,-6.3363,2.8311,-0.3445,,,,,
0d - 00:00:00,006511900,-109.1900,-58.7250,169.44,-6.4663,2.7007,-0.0745,,,,,
0d - 00:00:00,006577019,-106.0664,-61.9856,169.41,-6.6150,2.5704,0.13966,,,,,
0d - 00:00:00,006642138,-101.9473,-66.1043,169.41,-6.7358,2.5052,0.29794,,,,,
0d - 00:00:00,006707257,-97.4849,-70.4975,169.34,-6.8566,2.4493,0.4842,,,,,
0d - 00:00:00,006772376,-92.9196,-74.9937,169.51,-6.9402,2.3375,0.6704,,,,,
0d - 00:00:00,006837495,-88.7662,-79.2496,169.37,-7.0331,2.1885,0.8752,,,,,
0d - 00:00:00,006902614,-84.5442,-83.2653,169.27,-7.1631,2.0768,1.0614,,,,,
0d - 00:00:00,006967733,-80.4251,-87.0750,169.06,-7.2282,2.0488,1.2569,,,,,
0d - 00:00:00,007032852,-76.7522,-90.4729,168.79,-7.3304,1.8439,1.4432,,,,,
0d - 00:00:00,007097971,-73.4913,-93.3216,168.41,-7.3675,1.7322,1.6201,,,,,
0d - 00:00:00,007163090,-70.1617,-96.3763,168.03,-7.5162,1.6204,1.8063,,,,,
0d - 00:00:00,007228209,-65.4591,-100.7352,167.51,-7.5534,1.4807,1.9739,,,,,
0d - 00:00:00,007293328,-60.3446,-105.0941,166.86,-7.6463,1.3690,2.1694,,,,,
0d - 00:00:00,007358447,-55.8136,-109.2127,166.45,-7.6648,1.2945,2.3556,,,,,
0d - 00:00:00,007423566,-51.5572,-113.3657,166.55,-7.7113,1.1548,2.6070,,,,,
0d - 00:00:00,007488685,-47.3694,-117.4844,166.24,-7.7392,1.0337,2.6442,,,,,
0d - 00:00:00,007553804,-43.5593,-120.5733,165.59,-7.8042,0.8940,2.8211,,,,,
0d - 00:00:00,007618923,-40.1611,-123.2505,164.73,-7.8692,0.7637,3.0725,,,,,
0d - 00:00:00,007684042,-36.9001,-125.7560,163.91,-7.9529,0.6985,3.203,,,,,
0d - 00:00:00,007749161,-33.5705,-128.3644,163.11,-7.9343,0.4843,3.417,,,,,
0d - 00:00:00,007814280,-30.1380,-131.3848,162.29,-8.0179,0.4098,3.631,,,,,
0d - 00:00:00,007879399,-26.6711,-134.4738,161.81,-7.9993,0.26076,3.771,,,,,
0d - 00:00:00,007944517,-23.1698,-137.5627,161.12,-7.9900,0.15832,3.901,,,,,
0d - 00:00:00,008009637,-19.5313,-140.4801,160.23,-8.0551,0.03725,4.087,,,,,
0d - 00:00:00,008074756,-15.6182,-143.4661,159.06,-8.0272,-0.1024,4.246,,,,,
0d - 00:00:00,008139875,-11.5334,-146.1776,157.58,-8.0272,-0.2328,4.469,,,,,
0d - 00:00:00,008204994,-7.9636,-148.2026,155.93,-8.0829,-0.2887,4.599,,,,,
0d - 00:00:00,008270000,,,,,,,121.89,122.12,122.07,0.07411,
0d - 00:00:00,008270113,-4.1877,-150.4678,154.18,-8.0829,-0.4936,4.776,,,,,
0d - 00:00:00,008335000,-0.2403,-152.9047,152.39,-8.0736,-0.6333,4.897,,,,,
0d - 00:00:00,008400111,3.913,-155.0670,150.40,-8.0922,-0.7171,5.093,,,,,
0d - 00:00:00,008465222,7.071,-156.8517,148.88,-8.0272,-0.8661,5.233,,,,,
0d - 00:00:00,008530333,10.744,-158.8081,146.96,-8.1201,-0.9592,5.372,,,,,
0d - 00:00:00,008595444,15.138,-160.9017,144.07,-7.9807,-1.1082,5.503,,,,,
