X-Data,AVValue[Volts],BVValue[Volts],CVValue[Volts],AIValue[Amps],BIValue[Amps],CIValue[Amps],AVrmsValue[Volts],BVrmsValue[Volts],CVrmsValue[Volts],DVrmsValue[Volts],
0d - 00:00:00,000000000,0.7208,152.63,-152.7330,-0.0093,0.018626,0,,,,,
0d - 00:00:00,000065116,-3.3982,154.90,-150.6017,-0.0279,-0.0093,0,,,,,
0d - 00:00:00,000130232,-6.6592,156.54,-148.6079,-0.0465,0.009313,0.03724,,,,,
0d - 00:00:00,000195348,-10.9499,158.50,-146.1672,-0.0372,0.009313,-0.0186,,,,,
0d - 00:00:00,000260464,-15.3779,160.46,-143.5546,-0.0279,0.03725,-0.0279,,,,,
0d - 00:00:00,000325580,-19.2224,161.79,-140.7358,-0.0279,-0.0373,-0.0093,,,,,
0d - 00:00:00,000390696,-22.7579,162.86,-138.0888,-0.0279,0.009313,0.009311,,,,,
0d - 00:00:00,000455812,-26.2591,164.03,-135.5793,0,0.03725,0.009311,,,,,
0d - 00:00:00,000520928,-29.4514,164.85,-132.9668,-0.0465,0.009313,-0.0093,,,,,
0d - 00:00:00,000586044,-32.9870,165.67,-129.5292,-0.0279,0.009313,-0.0093,,,,,
0d - 00:00:00,000651160,-38.7880,166.84,-124.7509,-0.0465,0,-0.0093,,,,,
0d - 00:00:00,000716276,-44.1772,168.28,-121.3133,-0.0279,0,0.018621,,,,,
0d - 00:00:00,000781392,-47.5067,169.21,-118.9069,-0.0372,-0.0093,0.018621,,,,,
0d - 00:00:00,000846508,-50.6304,169.31,-115.6756,-0.0650,0.05588,0.027932,,,,,
0d - 00:00:00,000911624,-54.0286,169.07,-112.3067,0,-0.0093,0.009311,,,,,
0d - 00:00:00,000976740,-56.8433,169.17,-109.4879,-0.1115,0.027939,0.018621,,,,,
0d - 00:00:00,001041856,-60.0013,169.17,-105.7409,-0.0186,0.018626,-0.0093,,,,,
0d - 00:00:00,001106972,-64.5323,169.17,-100.9626,-0.0093,0.018626,-0.0186,,,,,
0d - 00:00:00,001172088,-69.5095,169.24,-96.3906,-0.0279,0.009313,0.009311,,,,,
0d - 00:00:00,001237204,-73.3197,169.34,-92.8499,-0.0557,0.018626,-0.0093,,,,,
0d - 00:00:00,001302320,-76.4090,169.17,-89.4466,-0.0279,0.03725,0.027932,,,,,
0d - 00:00:00,001367436,-80.1505,168.83,-85.2871,-0.0186,0.018626,0.04655,,,,,
0d - 00:00:00,001432552,-84.6128,168.52,-80.5432,-0.0186,0.018626,0.03724,,,,,
0d - 00:00:00,001497668,-88.7319,168.28,-75.9712,-0.0372,0.009313,0,,,,,
0d - 00:00:00,001562784,-92.9540,168.08,-71.6054,-0.0093,-0.0093,0,,,,,
0d - 00:00:00,001627900,-97.4163,167.83,-67.0334,-0.0279,0.027939,-0.0372,,,,,
0d - 00:00:00,001693016,-101.4324,167.46,-62.6333,-0.0372,0.018626,0.027932,,,,,
0d - 00:00:00,001758132,-105.1739,166.91,-58.5081,-0.0465,0,0.018621,,,,,
0d - 00:00:00,001823248,-109.0527,166.67,-54.3486,-0.0279,0.009313,-0.0186,,,,,
0d - 00:00:00,001888364,-113.2748,166.32,-49.8453,-0.0557,0.027939,0.018621,,,,,
0d - 00:00:00,001953480,-116.8103,166.02,-46.1671,-0.0465,0.027939,0.009311,,,,,
0d - 00:00:00,002018596,-119.9339,165.60,-42.6951,-0.0279,0,0.009311,,,,,
0d - 00:00:00,002083712,-123.1606,165.05,-39.2575,-0.0372,0,0,,,,,
0d - 00:00:00,002148828,-126.0439,164.47,-35.7511,-0.0557,0.009313,-0.0186,,,,,
0d - 00:00:00,002213944,-128.8586,163.75,-32.2792,-0.0557,-0.0093,0,,,,,
0d - 00:00:00,002279060,-131.9136,163.10,-28.7728,-0.0465,0.018626,0.03724,,,,,
0d - 00:00:00,002344176,-134.9686,162.31,-25.1633,0,0.018626,0,,,,,
0d - 00:00:00,002409292,-137.8176,161.49,-21.5194,-0.1208,-0.0093,0.018621,,,,,
0d - 00:00:00,002474408,-140.3577,160.59,-17.8068,-0.1487,0.03725,0.018621,,,,,
0d - 00:00:00,002539524,-142.1427,159.32,-13.8879,-0.7990,0.018626,-0.0093,,,,,
0d - 00:00:00,002604640,-144.0306,157.81,-10.2785,-1.7095,0.05588,0.04655,,,,,
0d - 00:00:00,002669756,-146.2617,156.37,-6.6002,-2.7036,0.06519,0.04655,,,,,
0d - 00:00:00,002734872,-148.6646,154.86,-2.6813,-3.5305,0.13969,0,,,,,
0d - 00:00:00,002799988,-150.9987,152.73,1.2375,-4.3481,0.11175,0.03724,,,,,
0d - 00:00:00,002865104,-153.9507,150.57,5.225,-4.5432,0.12107,0.027932,,,,,
0d - 00:00:00,002930220,-156.5594,148.92,8.903,-4.5432,0.10244,0,,,,,
0d - 00:00:00,002995336,-158.8936,146.56,13.097,-4.3202,0.08382,0.018621,,,,,
0d - 00:00:00,003060452,-160.9531,143.81,17.154,-3.9393,0.09313,0.03724,,,,,
0d - 00:00:00,003125568,-162.6008,141.17,20.901,-3.5305,0.08382,0.009311,,,,,
0d - 00:00:00,003190684,-164.0768,138.56,24.648,-3.0752,0.08382,0,,,,,
0d - 00:00:00,003255800,-165.2439,135.85,28.498,-2.6943,0.08382,-0.0186,,,,,
0d - 00:00:00,003320916,-166.4109,132.55,32.69,-2.3320,0.027939,0.009311,,,,,
0d - 00:00:00,003386032,-167.3720,128.91,37.06,-1.9696,0.04656,0.027932,,,,,
0d - 00:00:00,003451148,-167.9899,124.83,41.80,-1.6166,0.03725,0,,,,,
0d - 00:00:00,003516264,-168.9510,121.47,46.24,-1.4122,0.05588,0.018621,,,,,
0d - 00:00:00,003581380,-169.5346,118.45,49.47,-1.3007,0.027939,0.027932,,,,,
0d - 00:00:00,003646496,-169.6032,115.18,52.42,-1.0499,0.027939,0.009311,,,,,
0d - 00:00:00,003711612,-169.6032,111.82,56.03,-0.7061,0.009313,0.018621,,,,,
0d - 00:00:00,003776728,-169.9465,108.25,60.06,-0.5296,-0.0093,-0.0093,,,,,
0d - 00:00:00,003841844,-170.0838,104.48,63.84,-0.4088,-0.0093,0.009311,,,,,
0d - 00:00:00,003906960,-170.0494,100.60,67.86,-0.3159,0.009313,-0.0186,,,,,
0d - 00:00:00,003972075,-170.0494,96.20,72.33,-0.2601,-0.0093,0.04655,,,,,
0d - 00:00:00,004037192,-169.8435,91.74,76.11,-0.1394,0,0,,,,,
0d - 00:00:00,004102308,-169.4316,87.97,79.44,-0.0093,-0.0186,0.009311,,,,,
0d - 00:00:00,004167424,-168.7107,83.71,83.47,-0.0093,-0.0745,0.009311,,,,,
0d - 00:00:00,004232540,-168.5391,78.77,88.38,0,-0.0093,0,,,,,
0d - 00:00:00,004297656,-168.4705,74.51,92.37,0.027872,-0.0093,0,,,,,
0d - 00:00:00,004362772,-168.2645,70.50,96.18,0,-0.0093,-0.0093,,,,,
0d - 00:00:00,004427888,-167.7840,65.28,100.89,0.018581,-0.0279,0.027932,,,,,
0d - 00:00:00,004493004,-167.3377,60.78,104.95,0.009291,0.009313,-0.0186,,,,,
0d - 00:00:00,004558120,-166.8228,57.01,108.35,0,-0.0186,0.009311,,,,,
0d - 00:00:00,004623236,-166.4109,52.82,111.93,0.027872,-0.0093,0.03724,,,,,
0d - 00:00:00,004688352,-166.0333,48.50,115.98,0.018581,-0.0186,0,,,,,
0d - 00:00:00,004753468,-165.7244,44.79,119.42,0,-0.0466,0.009311,,,,,
0d - 00:00:00,004818584,-165.3811,41.39,122.31,-0.0650,-0.0186,-0.0093,,,,,
0d - 00:00:00,004883700,-164.9692,38.06,125.27,0.027872,-0.0093,0.027932,,,,,
0d - 00:00:00,004948816,-164.3857,34.73,128.29,0.027872,-0.0093,0.03724,,,,,
0d - 00:00:00,005013932,-163.8708,31.336,131.35,-0.0279,-0.0373,0.018621,,,,,
0d - 00:00:00,005079048,-163.3216,28.144,134.10,0,-0.0373,0.027932,,,,,
0d - 00:00:00,005144164,-162.5321,24.678,136.99,0.05574,0.027939,0.027932,,,,,
0d - 00:00:00,005209280,-161.5023,21.005,139.95,0,0.009313,0.009311,,,,,
0d - 00:00:00,005274396,-160.4382,17.367,142.63,-0.0650,0,-0.0093,,,,,
0d - 00:00:00,005339512,-159.2368,13.317,145.20,0.027872,-0.0093,0.018621,,,,,
0d - 00:00:00,005404628,-157.5206,9.267,147.89,0.009291,-0.0186,0.009311,,,,,
0d - 00:00:00,005469744,-155.4610,4.977,150.15,0,-0.0093,0,,,,,
0d - 00:00:00,005534860,-153.2642,0.4119,152.66,0.027872,-0.0279,-0.0093,,,,,
0d - 00:00:00,005599976,-151.4106,-3.5695,155.04,0.05574,0.009313,0,,,,,
0d - 00:00:00,005665092,-149.7630,-6.7958,156.65,0.009291,-0.0279,0.03724,,,,,
0d - 00:00:00,005730208,-147.9094,-10.1250,158.23,0.009291,0.009313,0.009311,,,,,
0d - 00:00:00,005795324,-145.5752,-14.1407,160.09,0.027872,-0.0186,0.009311,,,,,
0d - 00:00:00,005860440,-142.7948,-18.2936,161.57,-0.0093,-0.0093,0.018621,,,,,
0d - 00:00:00,005925556,-139.7399,-22.3436,162.84,0,0,-0.0466,,,,,
0d - 00:00:00,005990672,-136.8565,-26.5309,164.28,0.03716,-0.0186,0.009311,,,,,
0d - 00:00:00,006055788,-134.1791,-30.4780,165.45,0.03716,-0.0559,0.018621,,,,,
0d - 00:00:00,006120904,-130.8495,-34.6996,166.59,0,0,0,,,,,
0d - 00:00:00,006186020,-126.8677,-39.3331,167.48,-0.0093,-0.0279,0.018621,,,,,
0d - 00:00:00,006251136,-123.1606,-44.1038,168.55,0.027872,0,0.009311,,,,,
0d - 00:00:00,006316252,-119.7966,-48.3254,169.34,0.05574,-0.0186,0.04655,,,,,
0d - 00:00:00,006381368,-116.2954,-51.5860,169.20,0.018581,-0.0186,-0.0745,,,,,
0d - 00:00:00,006446484,-113.2404,-54.6064,169.13,0.027872,-0.0279,0,,,,,
0d - 00:00:00,006511600,-110.1511,-57.7983,169.44,0,-0.0093,0.018621,,,,,
0d - 00:00:00,006576716,-106.8215,-61.1962,169.47,0.027872,0,0,,,,,
0d - 00:00:00,006641832,-102.9427,-64.9373,169.37,0.018581,0,0.009311,,,,,
0d - 00:00:00,006706948,-98.4804,-69.3648,169.13,-0.0372,-0.0093,0.027932,,,,,
0d - 00:00:00,006772064,-93.7778,-74.0670,169.16,0.018581,-0.0279,0.027932,,,,,
0d - 00:00:00,006837180,-89.3154,-78.2886,168.99,0.018581,0,-0.0093,,,,,
0d - 00:00:00,006902296,-85.0247,-82.2356,168.72,-0.0093,-0.0093,0,,,,,
0d - 00:00:00,006967412,-80.7340,-86.3886,168.55,0.05574,-0.0279,0,,,,,
0d - 00:00:00,007032528,-76.6493,-90.1297,168.34,0.009291,0.018626,0,,,,,
0d - 00:00:00,007097644,-73.2167,-93.0814,168.10,0.018581,-0.0466,0.027932,,,,,
0d - 00:00:00,007162760,-70.0244,-96.1360,167.65,0.07433,-0.0093,0.009311,,,,,
0d - 00:00:00,007227876,-65.1158,-100.8038,167.14,0.05574,-0.0093,0.027932,,,,,
0d - 00:00:00,007292992,-59.6580,-105.5746,166.62,0.027872,-0.0093,0,,,,,
0d - 00:00:00,007358108,-55.1271,-109.6246,166.48,0.009291,-0.0186,0.027932,,,,,
