X-Data,AVValue[Volts],BVValue[Volts],CVValue[Volts],AIValue[Amps],BIValue[Amps],CIValue[Amps],AVrmsValue[Volts],BVrmsValue[Volts],CVrmsValue[Volts],DVrmsValue[Volts],
0d - 00:00:00,000000000,-1.2357,-153.1106,153.39,0.018581,0.009313,-0.0093,,,,,
0d - 00:00:00,000065117,3.398,-155.3416,151.22,-0.0279,0.009313,0.009311,,,,,
0d - 00:00:00,000130235,6.041,-156.8174,150.09,0.009291,-0.0186,-0.0372,,,,,
0d - 00:00:00,000195354,9.783,-158.3962,147.20,-0.1765,-0.0093,0.018621,,,,,
0d - 00:00:00,000260471,14.966,-160.5585,143.73,-0.0279,-0.0373,-0.0186,,,,,
0d - 00:00:00,000325590,19.978,-162.5149,140.63,0.009291,0.027939,0.09311,,,,,
0d - 00:00:00,000390708,24.028,-163.5445,137.37,-0.1208,-0.0279,0.04655,,,,,
0d - 00:00:00,000455826,27.426,-164.2310,134.72,0.06504,-0.0279,0.018621,,,,,
0d - 00:00:00,000520943,30.516,-165.2950,132.42,0.05574,0.018626,0.027932,,,,,
0d - 00:00:00,000586062,34.26,-166.1187,128.94,-0.0093,0.009313,-0.0093,,,,,
0d - 00:00:00,000651180,39.54,-167.2856,124.58,0.04645,0.04656,0.009311,,,,,
0d - 00:00:00,000716298,44.83,-168.6928,120.80,-0.0093,0.13038,0.009311,,,,,
0d - 00:00:00,000781416,48.91,-169.3793,117.50,0.03716,-0.0093,0.06517,,,,,
0d - 00:00:00,000846534,51.93,-169.4822,114.85,-0.0186,0.027939,-0.0745,,,,,
0d - 00:00:00,000911652,54.65,-169.4822,111.93,0,-0.0186,0,,,,,
0d - 00:00:00,000976770,58.15,-169.5852,108.25,0.06504,-0.0466,0,,,,,
0d - 00:00:00,001041887,61.82,-169.5509,104.74,-0.0650,0.009313,0.04655,,,,,
0d - 00:00:00,001107006,65.77,-169.6882,100.48,-0.0650,0.009313,-0.0838,,,,,
0d - 00:00:00,001172124,70.47,-169.8941,95.91,-0.0743,-0.0279,0.04655,,,,,
0d - 00:00:00,001237242,74.42,-169.8598,92.51,0,-0.0186,-0.0093,,,,,
0d - 00:00:00,001302360,77.30,-169.8941,89.41,0.018581,0.009313,-0.0093,,,,,
0d - 00:00:00,001367478,81.04,-169.5509,84.94,-0.0186,0.009313,-0.0559,,,,,
0d - 00:00:00,001432596,85.51,-169.0361,79.99,-0.0650,-0.0186,0.009311,,,,,
0d - 00:00:00,001497714,89.49,-168.6585,75.94,0,-0.0745,0.018621,,,,,
0d - 00:00:00,001562832,93.33,-168.3153,71.81,0.03716,0.027939,0.018621,,,,,
0d - 00:00:00,001627950,97.62,-167.9034,67.00,0.03716,0.009313,-0.0093,,,,,
0d - 00:00:00,001693068,101.26,-167.4572,63.22,0.04645,-0.0745,0.018621,,,,,
0d - 00:00:00,001758186,104.73,-167.0111,59.09,-0.0650,0.04656,0.018621,,,,,
0d - 00:00:00,001823304,108.98,-166.4619,54.00,0.07433,0,-0.0186,,,,,
0d - 00:00:00,001888422,113.24,-165.8784,49.54,0.05574,-0.0186,0.04655,,,,,
0d - 00:00:00,001953540,116.64,-165.6039,46.10,-0.0372,0.04656,0,,,,,
0d - 00:00:00,002018658,119.80,-165.3636,42.63,0.009291,0.018626,0.009311,,,,,
0d - 00:00:00,002083775,122.92,-164.8488,39.12,-0.0093,0.009313,0.009311,,,,,
0d - 00:00:00,002148894,126.18,-164.3683,35.79,-0.0186,-0.0093,0.018621,,,,,
0d - 00:00:00,002214012,129.00,-163.8878,32.31,0.07433,0,0.018621,,,,,
0d - 00:00:00,002279130,132.36,-163.3386,28.704,0.018581,0,0,,,,,
0d - 00:00:00,002344248,135.48,-162.6178,25.026,0.10220,-0.0186,0.06517,,,,,
0d - 00:00:00,002409366,138.50,-161.9657,21.554,-0.0743,-0.0373,0.027932,,,,,
0d - 00:00:00,002474484,141.35,-161.1763,18.082,0.018581,-0.0279,-0.0093,,,,,
0d - 00:00:00,002539602,143.96,-160.1810,14.575,0.027872,0,-0.0372,,,,,
0d - 00:00:00,002604720,146.36,-158.6022,10.691,0.09291,-0.0186,0.03724,,,,,
0d - 00:00:00,002669838,148.87,-156.7488,6.463,0.018581,-0.0186,0.009311,,,,,
0d - 00:00:00,002734956,151.34,-155.2043,2.7157,0.027872,0.04656,0,,,,,
0d - 00:00:00,002800074,153.44,-152.9047,-1.6844,0.009291,0.009313,-0.0093,,,,,
0d - 00:00:00,002865192,155.56,-150.6394,-5.3970,0.03716,0,0.06517,,,,,
0d - 00:00:00,002930310,156.22,-149.0263,-7.3909,0.027872,-0.0093,0.04655,,,,,
0d - 00:00:00,002995428,157.90,-146.4865,-11.9629,0.009291,0.03725,0,,,,,
0d - 00:00:00,003060546,159.82,-142.4708,-17.5318,0.09291,0.018626,-0.0186,,,,,
0d - 00:00:00,003125664,162.19,-139.7594,-22.0695,-0.1208,0.05588,0.009311,,,,,
0d - 00:00:00,003190782,164.11,-137.5284,-25.8852,0.04645,0.027939,0.018621,,,,,
0d - 00:00:00,003255900,163.70,-133.4098,-29.4259,0.05574,-0.0093,0.027932,,,,,
0d - 00:00:00,003321018,164.21,-129.8403,-33.6198,0.06504,0.009313,0,,,,,
0d - 00:00:00,003386136,166.55,-127.6437,-38.0200,0.03716,-0.0279,0,,,,,
0d - 00:00:00,003451254,168.54,-125.1725,-42.3170,0.009291,0.08382,-0.0093,,,,,
0d - 00:00:00,003516372,169.53,-121.2598,-46.8546,-0.0465,0.03725,0,,,,,
0d - 00:00:00,003581490,169.47,-117.0725,-50.6360,0.08362,-0.0093,-0.0279,,,,,
0d - 00:00:00,003646608,169.29,-114.0178,-53.4892,0.018581,-0.0652,0.018621,,,,,
0d - 00:00:00,003711726,169.19,-110.5856,-57.1331,0.027872,0,-0.0372,,,,,
0d - 00:00:00,003776844,169.60,-106.1581,-61.9114,0.10220,0.04656,0.027932,,,,,
0d - 00:00:00,003841962,170.12,-102.6572,-65.7271,-0.0557,0.05588,-0.0093,,,,,
0d - 00:00:00,003907080,170.29,-99.5339,-69.1303,0.027872,0.027939,-0.0093,,,,,
0d - 00:00:00,003972197,170.36,-95.2093,-73.5305,-0.0279,0,0.009311,,,,,
0d - 00:00:00,004037316,170.12,-90.7475,-77.4494,0.12078,-0.0279,0.027932,,,,,
0d - 00:00:00,004102434,169.57,-87.2810,-80.2682,0.018581,-0.0652,0.027932,,,,,
0d - 00:00:00,004167551,169.19,-83.3339,-84.1871,0.07433,0.07450,-0.0186,,,,,
0d - 00:00:00,004232670,169.12,-78.1856,-89.2747,0.04645,0.009313,0.027932,,,,,
0d - 00:00:00,004297788,168.99,-73.5865,-93.2967,0.07433,0.04656,-0.0279,,,,,
