X-Data,AVValue[Volts],BVValue[Volts],CVValue[Volts],AIValue[Amps],BIValue[Amps],CIValue[Amps],AVrmsValue[Volts],BVrmsValue[Volts],CVrmsValue[Volts],DVrmsValue[Volts],
0d - 00:00:00,000000000,0.6522,-153.5225,152.25,0.027872,0.009313,0,,,,,
0d - 00:00:00,000065116,4.050,-154.9640,150.29,0.05574,-0.0186,-0.0186,,,,,
0d - 00:00:00,000130232,6.522,-156.2683,149.05,-0.0093,0.018626,0.009311,,,,,
0d - 00:00:00,000195348,10.229,-158.3276,146.92,0,0.009313,0.009311,,,,,
0d - 00:00:00,000260464,14.554,-160.0780,143.93,-0.0372,-0.0186,0.009311,,,,,
0d - 00:00:00,000325580,18.605,-161.1420,140.60,-0.0557,0,0.009311,,,,,
0d - 00:00:00,000390696,22.655,-162.5149,137.81,0.009291,-0.0186,0.018621,,,,,
0d - 00:00:00,000455812,26.568,-163.9907,135.41,-0.0186,0,-0.0093,,,,,
0d - 00:00:00,000520928,29.760,-164.8831,132.79,-0.0186,-0.0186,0,,,,,
0d - 00:00:00,000586044,33.50,-165.5352,129.22,-0.0557,-0.0186,0,,,,,
0d - 00:00:00,000651160,38.86,-166.7365,124.75,0,0.027939,0,,,,,
0d - 00:00:00,000716276,43.77,-168.2810,121.73,-0.0093,0,-0.0093,,,,,
0d - 00:00:00,000781392,47.54,-168.9331,118.60,0.03716,0,0.009311,,,,,
0d - 00:00:00,000846508,50.94,-168.8988,114.99,-0.0186,0.018626,0.018621,,,,,
0d - 00:00:00,000911624,54.23,-168.7615,111.83,0.009291,0,-0.0093,,,,,
0d - 00:00:00,000976740,56.36,-168.2466,109.08,-0.0186,-0.0093,0,,,,,
0d - 00:00:00,001041856,59.66,-167.9377,104.95,-0.0186,0.009313,0.009311,,,,,
0d - 00:00:00,001106972,65.01,-168.4183,99.79,0.018581,0.018626,-0.0093,,,,,
0d - 00:00:00,001172088,70.50,-169.2763,95.57,0.018581,0,0.03724,,,,,
0d - 00:00:00,001237204,74.01,-169.5509,92.61,0.05574,0,0.009311,,,,,
0d - 00:00:00,001302320,76.75,-169.4479,89.62,-0.0279,-0.0279,-0.0279,,,,,
0d - 00:00:00,001367436,80.56,-169.1047,85.01,-0.0372,-0.0279,0.018621,,,,,
0d - 00:00:00,001432552,84.92,-168.5212,80.30,-0.0279,0.009313,0.009311,,,,,
0d - 00:00:00,001497668,88.73,-168.2466,76.21,0.03716,-0.0186,0.027932,,,,,
0d - 00:00:00,001562784,92.65,-167.9034,71.74,-0.0093,0,0,,,,,
0d - 00:00:00,001627900,97.04,-167.6289,67.07,0.009291,-0.0186,0.018621,,,,,
0d - 00:00:00,001693016,100.92,-167.4229,63.36,-0.0186,0.018626,0,,,,,
0d - 00:00:00,001758132,104.38,-167.0454,59.44,-0.0093,0.009313,0,,,,,
0d - 00:00:00,001823248,108.33,-166.6335,54.90,0.05574,0.009313,0.018621,,,,,
0d - 00:00:00,001888364,112.69,-166.1187,50.33,0.03716,-0.0093,0.009311,,,,,
0d - 00:00:00,001953480,116.09,-165.7755,46.79,0.08362,-0.0093,-0.0093,,,,,
0d - 00:00:00,002018596,119.08,-165.1920,43.38,0.04645,0.018626,0.009311,,,,,
0d - 00:00:00,002083712,122.23,-164.6085,39.67,0.027872,-0.0093,-0.0279,,,,,
0d - 00:00:00,002148828,125.22,-164.0250,36.30,0.027872,0.009313,-0.0186,,,,,
0d - 00:00:00,002213944,128.10,-163.4072,32.93,-0.0186,0.009313,0.009311,,,,,
0d - 00:00:00,002279060,131.16,-162.6178,29.254,0.027872,0,0.009311,,,,,
0d - 00:00:00,002344176,132.94,-160.3183,25.645,0.05574,0.009313,0.027932,,,,,
0d - 00:00:00,002409292,134.21,-158.1560,21.863,-0.0093,-0.0093,0.018621,,,,,
0d - 00:00:00,002474408,138.37,-158.3276,17.635,0.03716,0.009313,0.018621,,,,,
0d - 00:00:00,002539524,143.69,-158.8767,13.166,0.05574,0,0.009311,,,,,
0d - 00:00:00,002604640,147.57,-158.1903,9.110,0.03716,-0.0373,0.018621,,,,,
0d - 00:00:00,002669756,149.59,-156.6801,5.947,0.009291,-0.0093,-0.0186,,,,,
0d - 00:00:00,002734872,151.03,-154.9983,2.7501,0.018581,0.009313,0,,,,,
0d - 00:00:00,002799988,152.78,-152.7331,-1.1688,0.03716,0.018626,0.009311,,,,,
0d - 00:00:00,002865104,154.57,-150.1933,-5.0533,0.03716,0,0.018621,,,,,
0d - 00:00:00,002930220,156.01,-148.4428,-8.2846,0.07433,-0.0186,0.018621,,,,,
0d - 00:00:00,002995336,158.21,-146.2462,-12.3066,0.027872,-0.0745,0.018621,,,,,
0d - 00:00:00,003060452,160.51,-143.6377,-17.0162,0.06504,0.009313,0.018621,,,,,
0d - 00:00:00,003125568,162.02,-140.5831,-20.8319,0.08362,0,0.009311,,,,,
0d - 00:00:00,003190684,160.23,-135.4005,-23.5476,-0.0093,0.027939,0.009311,,,,,
