X-Data,AVValue[Volts],BVValue[Volts],CVValue[Volts],AIValue[Amps],BIValue[Amps],CIValue[Amps],AVrmsValue[Volts],BVrmsValue[Volts],CVrmsValue[Volts],DVrmsValue[Volts],
0d - 00:00:00,000000000,1.4074,152.80,-153.4205,-9.4208,1.5180,3.659,,,,,
0d - 00:00:00,000065109,-3.7758,156.23,-151.3924,-9.5880,1.2852,3.994,,,,,
0d - 00:00:00,000130218,-8.8217,159.19,-149.2267,-8.8726,0.4377,4.143,,,,,
0d - 00:00:00,000195327,-13.4213,161.73,-146.8891,-7.9900,-0.5960,4.376,,,,,
0d - 00:00:00,000260436,-17.5404,163.51,-144.3109,-6.9680,-1.6484,4.814,,,,,
0d - 00:00:00,000325545,-21.2133,164.54,-141.5608,-6.3549,-2.6355,5.261,,,,,
0d - 00:00:00,000390654,-24.4742,165.26,-138.5701,-5.9182,-3.1664,5.605,,,,,
0d - 00:00:00,000455763,-27.7008,165.43,-135.5106,-5.5559,-3.5482,5.605,,,,,
0d - 00:00:00,000520872,-30.6528,165.67,-132.6230,-5.1749,-3.5203,5.251,,,,,
0d - 00:00:00,000585981,-33.5705,165.67,-129.6667,-5.3515,-3.1291,5.372,,,,,
0d - 00:00:00,000651090,-36.9688,166.22,-126.5728,-6.5407,-2.5610,6.126,,,,,
0d - 00:00:00,000716199,-40.9849,167.11,-123.1352,-8.0272,-1.7508,6.750,,,,,
0d - 00:00:00,000781308,-45.8248,168.25,-119.2507,-9.2536,-1.2293,7.421,,,,,
0d - 00:00:00,000846417,-51.0080,169.62,-115.1943,-9.4672,-1.3038,7.365,,,,,
0d - 00:00:00,000911526,-55.9165,170.61,-111.3442,-8.1015,-2.2537,6.881,,,,,
0d - 00:00:00,000976635,-59.8983,170.82,-107.7347,-6.4013,-3.2968,6.424,,,,,
0d - 00:00:00,001041744,-63.1593,170.58,-104.3659,-5.2121,-4.0325,6.350,,,,,
0d - 00:00:00,001106853,-66.1456,169.93,-100.8251,-5.1378,-4.1815,6.843,,,,,
0d - 00:00:00,001171962,-69.3036,169.34,-96.9062,-5.9925,-3.7810,7.290,,,,,
0d - 00:00:00,001237071,-72.8734,169.07,-92.9874,-6.6893,-3.2316,7.374,,,,,
0d - 00:00:00,001302180,-76.8209,168.97,-88.9310,-7.0517,-2.7380,7.300,,,,,
0d - 00:00:00,001367289,-80.6997,169.07,-84.9090,-7.2189,-2.6542,7.374,,,,,
0d - 00:00:00,001432398,-84.9904,169.17,-80.8182,-7.4419,-2.6914,7.672,,,,,
0d - 00:00:00,001497507,-89.2125,169.17,-76.4525,-7.6091,-2.8684,8.175,,,,,
0d - 00:00:00,001562616,-93.5032,168.93,-71.8804,-7.7020,-3.0174,8.445,,,,,
0d - 00:00:00,001627725,-97.8625,168.59,-67.3084,-7.6741,-3.1198,8.398,,,,,
0d - 00:00:00,001692834,-102.1189,168.28,-62.7708,-7.2653,-3.1571,8.268,,,,,
0d - 00:00:00,001757943,-106.1350,167.66,-58.3706,-6.8566,-3.3526,7.849,,,,,
0d - 00:00:00,001823052,-109.8079,167.15,-54.1424,-6.3641,-3.2968,7.458,,,,,
0d - 00:00:00,001888161,-113.2748,166.60,-50.1547,-5.9925,-3.3061,7.216,,,,,
0d - 00:00:00,001953270,-116.7073,166.02,-46.3046,-5.7045,-3.2874,6.890,,,,,
0d - 00:00:00,002018378,-119.9339,165.43,-42.5576,-5.4722,-3.1198,6.639,,,,,
0d - 00:00:00,002083488,-123.0233,164.95,-39.0856,-5.2493,-3.0360,6.182,,,,,
0d - 00:00:00,002148597,-125.9753,164.40,-35.7855,-4.9612,-2.8870,5.931,,,,,
0d - 00:00:00,002213706,-128.8586,163.96,-32.6229,-4.7940,-2.9242,5.903,,,,,
0d - 00:00:00,002278815,-131.7420,163.48,-29.4259,-4.8590,-2.8497,6.061,,,,,
0d - 00:00:00,002343924,-134.5224,162.79,-25.9883,-4.9148,-3.0081,6.406,,,,,
0d - 00:00:00,002409033,-137.5773,162.00,-22.4476,-5.0170,-3.1291,6.657,,,,,
0d - 00:00:00,002474142,-140.4264,161.07,-18.7350,-5.0077,-3.3154,6.955,,,,,
0d - 00:00:00,002539251,-143.3784,159.98,-14.8849,-4.9705,-3.5948,7.262,,,,,
0d - 00:00:00,002604360,-146.2274,158.71,-10.7597,-4.8590,-3.8555,7.616,,,,,
0d - 00:00:00,002669469,-149.1451,157.19,-6.5315,-4.7569,-4.2001,7.895,,,,,
0d - 00:00:00,002734578,-151.8568,155.41,-2.1657,-4.5710,-4.4702,8.100,,,,,
0d - 00:00:00,002799687,-154.4313,153.39,2.4407,-4.2087,-4.7589,8.063,,,,,
0d - 00:00:00,002864796,-156.7311,151.15,6.566,-3.5212,-4.9638,7.560,,,,,
0d - 00:00:00,002929905,-158.6190,148.79,10.553,-2.6664,-5.0290,6.834,,,,,
0d - 00:00:00,002995014,-160.1980,146.35,14.163,-2.1369,-5.1035,6.629,,,,,
0d - 00:00:00,003060123,-161.6396,143.81,17.704,-1.8953,-5.1780,6.583,,,,,
0d - 00:00:00,003125232,-162.7724,141.06,21.382,-1.8303,-5.2525,6.676,,,,,
0d - 00:00:00,003190341,-163.8022,138.21,25.026,-1.3472,-5.4853,6.676,,,,,
0d - 00:00:00,003255450,-164.7290,135.19,28.773,-1.2264,-5.6436,6.955,,,,,
0d - 00:00:00,003320559,-165.7244,132.24,32.66,-1.4494,-5.6064,7.179,,,,,
0d - 00:00:00,003385668,-166.6169,128.84,36.75,-1.2542,-6.1279,7.653,,,,,
0d - 00:00:00,003450777,-167.2691,125.10,41.11,-0.6689,-6.6960,7.942,,,,,
0d - 00:00:00,003515886,-167.8869,121.16,45.65,-1.0127,-6.6401,8.352,,,,,
0d - 00:00:00,003580995,-168.6764,117.21,50.36,-1.2728,-6.5283,8.501,,,,,
0d - 00:00:00,003646104,-169.3286,113.61,54.66,-1.0591,-5.6529,7.011,,,,,
0d - 00:00:00,003711213,-169.9808,110.31,58.16,-0.3716,-4.9638,5.810,,,,,
0d - 00:00:00,003776322,-170.1181,107.36,61.29,0.12078,-4.6844,5.084,,,,,
0d - 00:00:00,003841431,-170.2554,104.27,64.32,0.20440,-4.7868,5.540,,,,,
0d - 00:00:00,003906540,-170.3584,100.87,67.69,0.14865,-5.3642,6.490,,,,,
0d - 00:00:00,003971649,-170.3584,97.06,71.67,0.14865,-6.1837,7.365,,,,,
0d - 00:00:00,004036757,-170.2897,92.70,75.90,0.3623,-6.8543,7.951,,,,,
0d - 00:00:00,004101867,-170.1181,88.07,80.44,0.7247,-6.9381,7.858,,,,,
0d - 00:00:00,004166976,-169.6375,83.27,84.74,0.9384,-6.8822,7.774,,,,,
0d - 00:00:00,004232085,-169.3629,78.53,89.10,0.9755,-6.5470,7.570,,,,,
0d - 00:00:00,004297194,-169.0197,74.07,93.33,0.7990,-6.0906,7.262,,,,,
