X-Data,AVValue[Volts],BVValue[Volts],CVValue[Volts],AIValue[Amps],BIValue[Amps],CIValue[Amps],AVrmsValue[Volts],BVrmsValue[Volts],CVrmsValue[Volts],DVrmsValue[Volts],
0d - 00:00:00,000000000,-0.0687,154.48,-152.9737,-0.0186,0.5960,-0.0186,,,,,
0d - 00:00:00,000065102,-3.8788,157.19,-151.0142,0.07433,-0.2421,0.009311,,,,,
0d - 00:00:00,000130204,-7.1741,159.22,-149.1923,0.027872,-1.1920,0,,,,,
0d - 00:00:00,000195306,-11.4648,160.49,-146.6485,0.027872,-1.8533,-0.0279,,,,,
0d - 00:00:00,000260408,-15.6182,161.52,-143.7265,-0.0093,-2.1978,0.009311,,,,,
0d - 00:00:00,000325510,-19.3254,162.27,-140.9077,0.018581,-2.3562,0,,,,,
0d - 00:00:00,000390612,-23.2042,163.03,-138.2607,0.03716,-2.1513,-0.0931,,,,,
0d - 00:00:00,000455714,-26.9113,164.06,-135.1668,-0.1022,-1.9091,0.018621,,,,,
0d - 00:00:00,000520816,-30.3439,164.92,-132.2105,0.009291,-1.8905,0.009311,,,,,
0d - 00:00:00,000585918,-34.8062,165.91,-128.4635,0.018581,-1.7601,-0.0186,,,,,
0d - 00:00:00,000651020,-39.8521,167.11,-124.7165,-0.0557,-1.5925,0.009311,,,,,
0d - 00:00:00,000716122,-44.0742,168.32,-122.0008,0,-1.4342,-0.0186,,,,,
0d - 00:00:00,000781224,-48.0903,169.52,-118.1850,-0.0279,-1.4342,-0.0372,,,,,
0d - 00:00:00,000846326,-52.0377,170.44,-114.4380,0.12078,-1.9091,0,,,,,
0d - 00:00:00,000911428,-55.1614,170.92,-111.6192,-0.0186,-2.5145,0,,,,,
0d - 00:00:00,000976530,-57.7701,170.89,-108.4222,-0.0186,-3.1291,0.018621,,,,,
0d - 00:00:00,001041632,-61.7862,170.44,-104.2627,0.07433,-3.5482,0,,,,,
0d - 00:00:00,001106734,-66.1799,169.72,-100.0001,-0.0279,-3.6320,-0.0093,,,,,
0d - 00:00:00,001171836,-70.4020,169.21,-96.0812,-0.0093,-3.3247,0.027932,,,,,
0d - 00:00:00,001236938,-74.2808,168.86,-92.2998,0.05574,-2.8404,0,,,,,
0d - 00:00:00,001302040,-77.3701,168.73,-88.9654,-0.0557,-2.4400,0,,,,,
0d - 00:00:00,001367142,-78.5715,168.59,-85.6653,-0.0186,-2.8218,0.018621,,,,,
0d - 00:00:00,001432244,-81.9697,168.01,-81.0589,-0.0093,-3.4365,0.027932,,,,,
0d - 00:00:00,001497346,-88.7662,167.32,-74.5618,0.009291,-3.3247,0,,,,,
0d - 00:00:00,001562448,-95.0135,166.77,-69.6804,0.018581,-2.7100,0.018621,,,,,
0d - 00:00:00,001627550,-99.0639,166.91,-67.2397,-0.0186,-1.7136,0.027932,,,,,
0d - 00:00:00,001692652,-101.6727,167.66,-64.0083,-0.0279,-0.9965,-0.0186,,,,,
0d - 00:00:00,001757754,-105.3455,168.49,-59.1957,0.009291,-1.1082,-0.0093,,,,,
0d - 00:00:00,001822856,-109.3616,169.07,-54.5549,0.009291,-1.8719,-0.0093,,,,,
0d - 00:00:00,001887958,-112.8285,168.66,-50.2922,0.018581,-2.9522,0.027932,,,,,
0d - 00:00:00,001953060,-116.1238,167.56,-46.3046,-0.1301,-3.9021,0,,,,,
0d - 00:00:00,002018162,-119.6593,165.84,-42.4889,0.018581,-4.2280,0.018621,,,,,
0d - 00:00:00,002083264,-122.7830,164.30,-39.3263,-0.0093,-3.9021,0,,,,,
0d - 00:00:00,002148366,-125.4947,163.10,-36.1637,-0.0093,-3.1571,-0.0093,,,,,
