X-Data,AVValue[Volts],BVValue[Volts],CVValue[Volts],AIValue[Amps],BIValue[Amps],CIValue[Amps],AVrmsValue[Volts],BVrmsValue[Volts],CVrmsValue[Volts],DVrmsValue[Volts],
0d - 00:00:00,000000000,-0.1716,150.61,-151.4955,0.018581,3.427,-0.0559,,,,,
0d - 00:00:00,000065128,-4.0848,153.25,-149.5704,0.03716,3.781,0,,,,,
0d - 00:00:00,000130256,-7.7576,156.03,-147.8172,0.027872,3.744,0,,,,,
0d - 00:00:00,000195384,-11.6364,158.50,-145.8578,0,3.567,-0.0186,,,,,
0d - 00:00:00,000260512,-15.5839,160.63,-143.4859,-0.0465,3.232,-0.0279,,,,,
0d - 00:00:00,000325640,-19.3254,162.41,-141.0795,0.018581,2.8032,0.009311,,,,,
0d - 00:00:00,000390768,-22.9639,163.82,-138.5013,0.027872,2.3468,0.009311,,,,,
0d - 00:00:00,000455896,-26.4308,165.23,-136.1294,-0.0279,2.0023,-0.0279,,,,,
0d - 00:00:00,000521024,-29.8290,166.29,-133.4824,0.018581,1.6111,-0.0093,,,,,
0d - 00:00:00,000586152,-33.8451,167.11,-130.0448,-0.0186,1.2572,0.009311,,,,,
0d - 00:00:00,000651280,-38.4104,167.80,-125.6790,0.018581,0.9127,0,,,,,
0d - 00:00:00,000716408,-42.8385,168.52,-122.2758,0.027872,0.6053,-0.0466,,,,,
0d - 00:00:00,000781536,-46.7516,169.31,-119.7320,-0.0372,0.4750,-0.0559,,,,,
0d - 00:00:00,000846664,-49.8409,169.48,-116.3975,0.09291,0.3818,0,,,,,
0d - 00:00:00,000911792,-53.1018,169.31,-112.9599,0.009291,0.12107,0.009311,,,,,
0d - 00:00:00,000976920,-56.0882,169.28,-109.5566,-0.0186,-0.1956,0.03724,,,,,
0d - 00:00:00,001042048,-59.8640,169.04,-105.1221,-0.0186,-0.4563,0,,,,,
0d - 00:00:00,001107176,-64.5323,168.38,-100.2407,-0.0186,-0.5960,0.009311,,,,,
0d - 00:00:00,001172304,-68.8573,168.42,-96.1500,-0.0372,-0.6146,-0.0093,,,,,
0d - 00:00:00,001237432,-72.7361,168.49,-92.5748,-0.0186,-0.5495,-0.0186,,,,,
0d - 00:00:00,001302560,-76.1000,168.08,-88.8279,-0.0093,-0.5681,0.027932,,,,,
0d - 00:00:00,001367688,-79.6699,167.39,-84.1527,0,-0.5681,0.009311,,,,,
0d - 00:00:00,001432816,-84.7501,167.46,-79.0650,0.009291,-0.5495,0.009311,,,,,
0d - 00:00:00,001497944,-90.0706,167.83,-74.3555,0,-0.5588,-0.0093,,,,,
0d - 00:00:00,001563072,-94.2927,168.18,-70.5398,-0.0372,-0.5122,0.027932,,,,,
0d - 00:00:00,001628200,-98.0342,168.04,-66.7584,0,-0.4843,0,,,,,
0d - 00:00:00,001693328,-101.6727,167.87,-62.8739,-0.0186,-0.4563,0.009311,,,,,
0d - 00:00:00,001758456,-105.6201,167.53,-58.2675,-0.0279,-0.5029,-0.0186,,,,,
0d - 00:00:00,001823584,-109.8422,166.87,-53.6955,-0.0186,-0.5029,0.009311,,,,,
0d - 00:00:00,001888712,-113.9956,166.22,-49.1578,0,-0.4936,0.009311,,,,,
0d - 00:00:00,001953840,-117.4625,166.22,-45.6858,0.04645,-0.4563,0.009311,,,,,
0d - 00:00:00,002018968,-120.5861,166.08,-42.6951,0.03716,-0.4936,0.018621,,,,,
0d - 00:00:00,002084096,-123.2635,165.29,-39.4294,-0.0836,-0.4563,0,,,,,
0d - 00:00:00,002149224,-125.5977,164.37,-36.1293,-0.0186,-0.4191,0,,,,,
0d - 00:00:00,002214352,-128.5154,163.75,-32.5198,-0.0279,-0.4470,-0.0279,,,,,
0d - 00:00:00,002279480,-131.4674,162.58,-28.5665,-0.0186,-0.4284,0.027932,,,,,
0d - 00:00:00,002344608,-134.3164,161.24,-24.7164,-0.0093,-0.4005,-0.0093,,,,,
0d - 00:00:00,002409736,-137.2341,160.49,-21.1413,0.018581,-0.4377,0.018621,,,,,
0d - 00:00:00,002474864,-140.0831,159.46,-17.4287,-0.0465,-0.4098,-0.0186,,,,,
0d - 00:00:00,002539992,-142.9322,158.19,-13.3379,-0.0093,-0.3818,0.018621,,,,,
0d - 00:00:00,002605120,-145.8155,156.92,-9.5222,-0.0557,-0.4005,0.009311,,,,,
0d - 00:00:00,002670248,-148.1497,155.44,-5.8783,-0.0557,-0.4284,0,,,,,
0d - 00:00:00,002735376,-150.2435,153.56,-1.7532,-0.0093,-0.3725,0.009311,,,,,
0d - 00:00:00,002800504,-152.6120,151.50,2.4063,0,-0.3725,0.018621,,,,,
0d - 00:00:00,002865632,-154.6372,149.61,5.810,-0.0279,-0.3539,-0.0093,,,,,
0d - 00:00:00,002930760,-156.1819,147.89,9.110,-0.0279,-0.3166,0,,,,,
0d - 00:00:00,002995888,-158.3101,145.87,13.029,-0.0372,-0.3632,0.03724,,,,,
0d - 00:00:00,003061016,-160.6442,143.64,17.291,-0.0093,-0.3539,0.027932,,,,,
0d - 00:00:00,003126144,-162.2575,140.96,20.935,-0.0186,-0.3353,0.009311,,,,,
0d - 00:00:00,003191272,-163.5619,138.70,24.545,0,-0.3166,0.018621,,,,,
0d - 00:00:00,003256400,-164.3514,135.43,28.120,-0.0279,-0.3539,0,,,,,
0d - 00:00:00,003321528,-165.6214,131.83,33.10,0,-0.2980,0.03724,,,,,
0d - 00:00:00,003386656,-167.1661,128.98,37.40,-0.0186,-0.2980,0.009311,,,,,
0d - 00:00:00,003451784,-168.3332,126.00,41.05,-0.0093,-0.3260,-0.0372,,,,,
0d - 00:00:00,003516912,-168.2988,122.36,44.83,0.009291,-0.2794,0.027932,,,,,
0d - 00:00:00,003582040,-168.8481,119.17,48.44,-0.0465,-0.2701,0.018621,,,,,
0d - 00:00:00,003647168,-169.2599,116.11,51.63,-0.0650,-0.2701,0.009311,,,,,
0d - 00:00:00,003712296,-168.8137,112.23,55.21,0,-0.2794,-0.0186,,,,,
0d - 00:00:00,003777424,-168.6421,107.98,59.13,-0.0279,-0.2235,-0.0186,,,,,
0d - 00:00:00,003842552,-168.8481,103.82,63.77,-0.0465,-0.2701,0,,,,,
0d - 00:00:00,003907680,-169.1227,99.36,68.27,-0.0372,-0.3073,-0.0093,,,,,
0d - 00:00:00,003972808,-168.7794,95.07,72.26,0,-0.2514,-0.0093,,,,,
0d - 00:00:00,004037936,-168.3675,91.33,75.15,0,-0.2514,0.03724,,,,,
0d - 00:00:00,004103064,-167.4750,87.52,78.41,-0.0557,-0.2701,-0.0093,,,,,
0d - 00:00:00,004168192,-166.8572,82.03,84.02,-0.0465,-0.2701,0,,,,,
0d - 00:00:00,004233320,-167.7840,76.57,90.03,-0.0279,-0.2421,0,,,,,
0d - 00:00:00,004298448,-168.5734,73.14,93.64,-0.0465,-0.2608,0.018621,,,,,
0d - 00:00:00,004363576,-168.5048,69.54,97.39,-0.0093,-0.1769,0,,,,,
0d - 00:00:00,004428704,-167.8183,64.77,101.44,-0.0743,-0.2608,-0.0093,,,,,
0d - 00:00:00,004493832,-167.5093,61.02,104.64,-0.0372,-0.2235,0.018621,,,,,
0d - 00:00:00,004558960,-167.0974,57.39,108.01,0.03716,-0.1956,0,,,,,
0d - 00:00:00,004624088,-166.4796,52.75,112.48,-0.0465,-0.2235,0.027932,,,,,
0d - 00:00:00,004689216,-166.4109,48.22,116.84,-0.0557,-0.2235,0,,,,,
0d - 00:00:00,004754344,-166.2736,44.52,120.11,-0.0650,-0.1956,0.04655,,,,,
0d - 00:00:00,004819472,-165.5184,41.29,122.69,-0.1115,-0.1956,0,,,,,
0d - 00:00:00,004884600,-164.6603,37.96,125.23,-0.0093,-0.2142,-0.0093,,,,,
0d - 00:00:00,004949728,-163.9738,34.60,127.95,-0.0186,-0.2142,0.009311,,,,,
0d - 00:00:00,005014856,-163.2530,31.473,130.56,-0.0557,-0.1769,-0.0186,,,,,
0d - 00:00:00,005079984,-162.5321,28.110,133.48,0.027872,-0.2142,0.009311,,,,,
0d - 00:00:00,005145112,-161.7426,24.266,136.68,-0.0186,-0.2235,0,,,,,
0d - 00:00:00,005210240,-160.6099,20.250,139.77,-0.0093,-0.1490,0.03724,,,,,
0d - 00:00:00,005275368,-159.3398,16.475,142.28,-0.0186,-0.1769,-0.0093,,,,,
0d - 00:00:00,005340496,-157.9325,12.459,145.10,0.009291,-0.1676,0,,,,,
0d - 00:00:00,005405624,-156.2162,8.100,147.78,-0.0093,-0.1676,-0.0186,,,,,
0d - 00:00:00,005470752,-154.5342,4.222,149.91,-0.0465,-0.1676,0.03724,,,,,
0d - 00:00:00,005535880,-151.9255,-0.3089,152.25,-0.0372,-0.2049,0.05586,,,,,
0d - 00:00:00,005601008,-150.2092,-4.5648,154.86,-0.1115,-0.1304,0.018621,,,,,
0d - 00:00:00,005666136,-148.9735,-7.2763,156.45,-0.0465,-0.1024,0,,,,,
0d - 00:00:00,005731264,-147.4288,-10.3309,157.99,-0.0279,-0.1863,0.027932,,,,,
0d - 00:00:00,005796392,-145.1633,-14.6898,160.23,-0.0557,-0.1397,0.03724,,,,,
0d - 00:00:00,005861520,-142.5546,-18.5339,161.71,-0.0557,-0.1211,0.009311,,,,,
0d - 00:00:00,005926648,-140.1861,-22.1034,163.15,-0.0279,-0.2235,0.027932,,,,,
0d - 00:00:00,005991776,-137.5773,-26.3250,164.90,-0.0372,-0.1211,0.018621,,,,,
0d - 00:00:00,006056904,-134.8656,-30.2034,166.11,-0.0465,-0.1211,0.018621,,,,,
0d - 00:00:00,006122032,-131.6390,-33.9445,166.45,-0.0650,-0.1769,0.018621,,,,,
0d - 00:00:00,006187160,-127.2110,-38.5780,167.00,0,-0.1397,0.009311,,,,,
0d - 00:00:00,006252288,-123.9844,-42.9712,168.48,-0.0093,-0.1024,0.027932,,,,,
0d - 00:00:00,006317416,-121.0667,-46.9869,169.37,-0.0372,-0.1397,0.009311,,,,,
0d - 00:00:00,006382544,-117.0506,-50.7966,168.92,-0.0093,-0.1397,0.027932,,,,,
0d - 00:00:00,006447672,-113.2061,-54.0572,168.61,-0.0372,-0.0745,0.018621,,,,,
0d - 00:00:00,006512800,-110.1854,-57.0432,168.68,-0.0186,-0.1118,0.05586,,,,,
0d - 00:00:00,006577928,-106.5469,-60.8873,168.75,0.009291,-0.1304,0.009311,,,,,
0d - 00:00:00,006643056,-102.2219,-65.2119,168.65,0,-0.1304,0.018621,,,,,
0d - 00:00:00,006708184,-97.5879,-69.5021,168.61,0,-0.1024,0,,,,,
0d - 00:00:00,006773312,-93.0913,-74.1356,168.61,-0.0650,-0.1304,-0.0093,,,,,
0d - 00:00:00,006838440,-88.3543,-77.9110,167.48,-0.0465,-0.0838,0.018621,,,,,
0d - 00:00:00,006903568,-83.9263,-81.4805,166.90,-0.0465,-0.0931,0,,,,,
0d - 00:00:00,006968696,-79.8072,-86.4229,167.89,-0.0465,-0.1211,0.027932,,,,,
0d - 00:00:00,007033824,-75.9284,-90.9191,168.51,-0.0186,-0.0745,0,,,,,
0d - 00:00:00,007098952,-72.8391,-93.5962,168.03,0.07433,-0.0931,0.018621,,,,,
0d - 00:00:00,007164080,-69.3722,-96.4106,167.34,-0.0186,-0.0838,0.009311,,,,,
0d - 00:00:00,007229208,-64.8755,-100.7695,167.10,0.018581,-0.1211,0.009311,,,,,
0d - 00:00:00,007294336,-60.2416,-104.8882,166.55,-0.0186,-0.0838,0.03724,,,,,
0d - 00:00:00,007359464,-55.7792,-108.8695,166.11,0,-0.1211,0.027932,,,,,
0d - 00:00:00,007424592,-51.2139,-113.7432,166.52,-0.0093,-0.0838,0.018621,,,,,
0d - 00:00:00,007489720,-46.8889,-118.3081,166.90,0.027872,-0.1024,0,,,,,
0d - 00:00:00,007554848,-43.4220,-121.3971,166.31,-0.0186,-0.0931,0.03724,,,,,
0d - 00:00:00,007619976,-40.1267,-123.8682,165.42,0.05574,-0.0931,0,,,,,
0d - 00:00:00,007685104,-36.9001,-126.4767,164.49,-0.0372,-0.0652,-0.0372,,,,,
0d - 00:00:00,007750232,-33.7421,-128.5360,163.36,-0.0372,-0.1024,0.03724,,,,,
0d - 00:00:00,007815360,-30.5155,-131.0415,162.43,-0.0650,-0.0931,-0.0186,,,,,
0d - 00:00:00,007880488,-27.0830,-134.0276,161.77,-0.0279,-0.0373,0,,,,,
0d - 00:00:00,007945616,-23.4444,-137.0822,160.98,0,-0.0559,0.009311,,,,,
0d - 00:00:00,008010744,-19.6000,-139.9996,160.02,-0.0743,-0.1490,0.027932,,,,,
0d - 00:00:00,008075872,-15.2406,-141.8530,158.61,-0.0372,-0.6612,0.027932,,,,,
0d - 00:00:00,008141000,-11.5334,-143.7750,156.96,-0.0186,-1.3969,0.03724,,,,,
0d - 00:00:00,008206128,-7.7919,-145.9030,155.35,0.027872,-2.1513,0.009311,,,,,
0d - 00:00:00,008271000,,,,,,,121.59,121.85,121.85,0.10081,
0d - 00:00:00,008271255,-3.7758,-148.4085,153.56,0.08362,-2.8684,0.027932,,,,,
0d - 00:00:00,008336000,0.27461,-150.8797,151.56,-0.0650,-3.4458,0.03724,,,,,
0d - 00:00:00,008401126,4.119,-153.3166,149.78,-0.0093,-3.6600,0.018621,,,,,
0d - 00:00:00,008466252,7.517,-156.2339,148.20,0.04645,-3.6041,0.04655,,,,,
0d - 00:00:00,008531378,11.499,-158.4649,146.00,-0.0186,-3.3806,0.06517,,,,,
0d - 00:00:00,008596504,15.584,-160.4212,143.31,-0.0650,-3.0639,0.027932,,,,,
0d - 00:00:00,008661630,19.291,-162.1030,140.74,0.018581,-2.6635,0.018621,,,,,
0d - 00:00:00,008726756,23.067,-163.5789,138.40,0,-2.1792,0.03724,,,,,
0d - 00:00:00,008791882,26.431,-164.9174,136.06,0,-1.8812,0.009311,,,,,
0d - 00:00:00,008857008,29.692,-165.8441,133.28,0.009291,-1.4621,0.009311,,,,,
0d - 00:00:00,008922134,33.47,-166.6678,130.04,-0.0372,-1.1734,0.018621,,,,,
0d - 00:00:00,008987260,38.38,-167.3886,125.58,0.03716,-0.8475,0.027932,,,,,
0d - 00:00:00,009052386,43.25,-168.4183,121.97,0.018581,-0.6333,0.009311,,,,,
0d - 00:00:00,009117512,47.20,-169.1047,119.39,0.009291,-0.5774,0,,,,,
0d - 00:00:00,009182638,50.15,-169.4822,116.47,-0.0093,-0.4750,0.03724,,,,,
0d - 00:00:00,009247764,53.27,-169.5852,113.03,0.04645,-0.2514,0,,,,,
0d - 00:00:00,009312890,56.26,-169.3793,109.80,-0.0372,0.05588,0.018621,,,,,
0d - 00:00:00,009378016,59.69,-169.0361,105.50,0.018581,0.3632,0,,,,,
0d - 00:00:00,009443142,64.43,-168.8988,100.38,-0.0093,0.6053,0.009311,,,,,
0d - 00:00:00,009508268,69.20,-168.5555,96.15,-0.0186,0.6146,0.009311,,,,,
0d - 00:00:00,009573394,72.84,-168.5899,92.78,-0.0465,0.5867,0,,,,,
0d - 00:00:00,009638520,75.93,-168.2123,89.10,0.009291,0.5681,0.018621,,,,,
0d - 00:00:00,009703646,79.77,-167.5602,84.26,0.018581,0.5681,0.027932,,,,,
0d - 00:00:00,009768772,84.68,-167.3200,79.03,0.08362,0.5495,0.018621,,,,,
0d - 00:00:00,009833898,89.56,-167.5602,74.56,0.009291,0.5681,-0.0372,,,,,
0d - 00:00:00,009899024,94.19,-167.8348,70.54,0.027872,0.5215,0.009311,,,,,
0d - 00:00:00,009964150,97.93,-167.6975,66.52,-0.0093,0.5122,-0.0279,,,,,
0d - 00:00:00,010029276,101.40,-167.3200,62.77,0.018581,0.5029,-0.0093,,,,,
0d - 00:00:00,010094402,105.45,-167.1483,58.34,0.018581,0.5401,0,,,,,
0d - 00:00:00,010159528,109.81,-166.4962,53.39,0,0.5029,0.009311,,,,,
0d - 00:00:00,010224654,113.96,-166.0157,48.99,0.027872,0.4750,0.027932,,,,,
0d - 00:00:00,010289780,117.43,-166.0157,45.65,0.018581,0.4656,-0.0186,,,,,
0d - 00:00:00,010354906,120.55,-165.9814,42.63,-0.0836,0.4936,0,,,,,
0d - 00:00:00,010420032,123.30,-165.2606,39.29,0.06504,0.3911,0.018621,,,,,
0d - 00:00:00,010485158,125.80,-164.6085,36.23,0.009291,0.4191,-0.0186,,,,,
0d - 00:00:00,010550284,128.72,-163.9221,32.69,0.05574,0.4470,0,,,,,
0d - 00:00:00,010615410,131.74,-162.7894,28.670,-0.0093,0.4191,0.009311,,,,,
0d - 00:00:00,010680536,134.63,-161.6911,24.888,0.07433,0.4098,-0.0093,,,,,
0d - 00:00:00,010745662,137.47,-160.9361,21.416,0.018581,0.4470,0.06517,,,,,
0d - 00:00:00,010810788,140.22,-159.8034,17.738,0.05574,0.4191,0.018621,,,,,
0d - 00:00:00,010875914,143.04,-158.3962,13.613,0,0.3911,-0.0186,,,,,
0d - 00:00:00,010941040,145.88,-157.1606,9.797,0.018581,0.4098,0.018621,,,,,
