X-Data,AVValue[Volts],BVValue[Volts],CVValue[Volts],AIValue[Amps],BIValue[Amps],CIValue[Amps],AVrmsValue[Volts],BVrmsValue[Volts],CVrmsValue[Volts],DVrmsValue[Volts],
0d - 00:00:00,000000000,0.4119,152.80,-152.5611,0.03716,-0.0093,0,,,,,
0d - 00:00:00,000065128,-3.1923,155.07,-151.0486,0.018581,0.018626,0.009311,,,,,
0d - 00:00:00,000130256,-6.4189,156.78,-149.3642,-0.0093,0.018626,-0.0186,,,,,
0d - 00:00:00,000195384,-10.6066,158.67,-146.6828,0.009291,0.027939,-0.0093,,,,,
0d - 00:00:00,000260512,-14.8630,160.59,-144.1734,-0.0372,0.04656,-0.0093,,,,,
0d - 00:00:00,000325640,-18.5702,162.03,-141.5264,0.027872,0.009313,-0.0186,,,,,
0d - 00:00:00,000390768,-22.1744,163.20,-138.8795,-0.0093,-0.0093,-0.0279,,,,,
0d - 00:00:00,000455896,-25.7099,164.23,-136.4731,0.009291,0.018626,0.03724,,,,,
0d - 00:00:00,000521024,-28.6276,164.81,-133.8262,0,0.018626,0.009311,,,,,
0d - 00:00:00,000586152,-32.4378,165.40,-129.9417,0.018581,0.04656,0,,,,,
0d - 00:00:00,000651280,-37.9299,166.22,-124.9571,-0.0279,0.027939,0,,,,,
0d - 00:00:00,000716408,-43.2160,167.70,-121.4852,-0.0372,0.027939,0,,,,,
0d - 00:00:00,000781536,-47.4038,168.80,-118.6663,0.018581,0.027939,-0.0186,,,,,
0d - 00:00:00,000846664,-50.6647,168.66,-115.1256,0,0,0.018621,,,,,
0d - 00:00:00,000911792,-54.0630,168.42,-111.3786,0.018581,0.009313,-0.0279,,,,,
0d - 00:00:00,000976920,-57.2209,168.56,-108.2847,0.08362,0.009313,-0.0186,,,,,
0d - 00:00:00,001042048,-60.7565,168.52,-104.5034,0.009291,-0.0186,0.018621,,,,,
0d - 00:00:00,001107176,-65.1845,168.66,-99.8970,0.009291,0.027939,-0.0093,,,,,
0d - 00:00:00,001172304,-69.8871,169.00,-95.5999,0.009291,0.009313,0,,,,,
0d - 00:00:00,001237432,-74.2121,169.41,-92.1623,-0.0650,0.009313,-0.0093,,,,,
0d - 00:00:00,001302560,-77.7477,169.59,-88.5872,0.009291,0.018626,0.009311,,,,,
0d - 00:00:00,001367688,-81.2832,169.45,-84.9777,0.03716,0.009313,0.009311,,,,,
0d - 00:00:00,001432816,-85.0934,169.24,-80.7151,0,0.027939,0.03724,,,,,
0d - 00:00:00,001497944,-89.3154,169.00,-76.3149,-0.0279,0.03725,0.009311,,,,,
0d - 00:00:00,001563072,-93.3315,168.62,-71.9836,0.027872,0,0.027932,,,,,
0d - 00:00:00,001628200,-96.1119,167.35,-67.8241,-0.0186,0,0.009311,,,,,
0d - 00:00:00,001693328,-99.9221,166.63,-63.1145,0.018581,0.03725,0.018621,,,,,
0d - 00:00:00,001758456,-105.0366,166.56,-58.0956,0,0.009313,0.009311,,,,,
0d - 00:00:00,001823584,-109.3960,166.50,-54.0736,0.009291,-0.0093,0,,,,,
0d - 00:00:00,001888712,-112.8629,166.26,-50.3266,-0.0093,0,-0.0372,,,,,
0d - 00:00:00,001953840,-116.2268,165.81,-46.5452,0,-0.0186,0,,,,,
0d - 00:00:00,002018968,-119.3161,165.09,-42.8326,-0.0279,-0.0093,-0.0186,,,,,
0d - 00:00:00,002084096,-122.3024,164.27,-39.0513,-0.0279,0.018626,0.018621,,,,,
0d - 00:00:00,002149224,-125.0828,163.17,-35.4074,0.018581,0,0.009311,,,,,
0d - 00:00:00,002214352,-128.1721,162.34,-31.4198,-0.0186,0.009313,0.018621,,,,,
0d - 00:00:00,002279480,-131.5017,161.66,-27.7071,-0.0372,0,-0.0186,,,,,
0d - 00:00:00,002344608,-134.6253,161.07,-24.2352,-0.0093,0.009313,-0.0186,,,,,
0d - 00:00:00,002409736,-137.5430,160.42,-20.7975,-0.0093,0,0.009311,,,,,
0d - 00:00:00,002474864,-140.3921,159.77,-17.2568,-0.0279,0.018626,0,,,,,
0d - 00:00:00,002539992,-143.5157,158.53,-13.0629,-0.0465,0.009313,0.018621,,,,,
0d - 00:00:00,002605120,-146.3647,157.16,-9.1784,-0.0279,-0.0093,0.009311,,,,,
0d - 00:00:00,002670248,-148.6302,155.65,-5.7752,0.018581,0.009313,0,,,,,
0d - 00:00:00,002735376,-150.6898,154.11,-1.8907,0.009291,0.009313,0,,,,,
0d - 00:00:00,002800504,-153.1612,152.22,2.0969,-0.0279,0.018626,-0.0186,,,,,
0d - 00:00:00,002865632,-155.0835,150.64,5.191,-0.0743,-0.0093,-0.0372,,,,,
0d - 00:00:00,002930760,-156.3878,149.20,8.010,-0.0372,0.018626,0,,,,,
0d - 00:00:00,002995888,-158.6190,147.04,12.135,-0.0557,0,0.018621,,,,,
0d - 00:00:00,003061016,-160.8502,144.46,16.569,-0.0279,-0.0186,-0.0093,,,,,
0d - 00:00:00,003126144,-162.4291,141.82,20.351,-0.0279,0.018626,0,,,,,
0d - 00:00:00,003191272,-162.6008,138.52,23.479,-0.0743,0,0.018621,,,,,
0d - 00:00:00,003256400,-163.4932,135.40,27.604,-0.0650,0.018626,0,,,,,
0d - 00:00:00,003321528,-165.2095,132.45,32.28,-0.0557,0,0,,,,,
0d - 00:00:00,003386656,-166.5826,129.39,36.51,-0.0465,0.009313,-0.0279,,,,,
0d - 00:00:00,003451784,-167.3034,125.69,40.84,-0.0279,0.018626,0,,,,,
0d - 00:00:00,003516912,-168.1959,121.81,45.38,-0.0372,-0.0279,-0.0186,,,,,
0d - 00:00:00,003582040,-168.9167,118.34,49.19,-0.0465,0.018626,-0.0186,,,,,
0d - 00:00:00,003647168,-168.6078,114.67,52.35,-0.0093,0.03725,0.018621,,,,,
0d - 00:00:00,003712296,-168.2302,110.76,56.07,-0.0093,0.009313,0.018621,,,,,
0d - 00:00:00,003777424,-168.4361,106.95,60.23,-0.0836,0.018626,-0.0093,,,,,
0d - 00:00:00,003842552,-169.1570,103.58,64.28,-0.0279,0,0.009311,,,,,
0d - 00:00:00,003907680,-169.5689,99.71,68.61,0,0.009313,-0.0279,,,,,
0d - 00:00:00,003972808,-169.9121,95.42,73.19,0.06504,0.009313,-0.0093,,,,,
0d - 00:00:00,004037936,-169.9808,91.19,77.00,-0.0279,0.018626,0,,,,,
0d - 00:00:00,004103064,-169.5346,87.73,80.13,-0.0279,0,-0.0093,,,,,
0d - 00:00:00,004168192,-169.2599,83.54,84.15,0,0.018626,0.009311,,,,,
0d - 00:00:00,004233320,-169.2599,78.98,88.86,-0.1208,-0.0093,0.05586,,,,,
0d - 00:00:00,004298448,-169.1570,75.10,92.40,-0.0650,0.009313,0.018621,,,,,
