X-Data,AVValue[Volts],BVValue[Volts],CVValue[Volts],AIValue[Amps],BIValue[Amps],CIValue[Amps],AVrmsValue[Volts],BVrmsValue[Volts],CVrmsValue[Volts],DVrmsValue[Volts],
0d - 00:00:00,000000000,-0.4806,-152.0810,151.46,-0.0557,-0.0186,0.018621,,,,,
0d - 00:00:00,000065122,4.531,-154.0373,148.68,-0.0279,0.027939,-0.0186,,,,,
0d - 00:00:00,000130244,8.307,-157.1606,148.13,-0.0279,-0.0559,0.009311,,,,,
0d - 00:00:00,000195366,12.323,-159.9750,146.41,0.027872,-0.0652,0.009311,,,,,
0d - 00:00:00,000260488,16.511,-161.3822,143.31,-0.0279,0.009313,0.009311,,,,,
0d - 00:00:00,000325610,20.355,-162.3089,140.01,-0.0465,-0.0093,-0.0093,,,,,
0d - 00:00:00,000390732,24.303,-163.7848,137.37,0.027872,-0.0745,-0.0093,,,,,
0d - 00:00:00,000455854,27.804,-164.6428,134.62,0.018581,0.009313,0.009311,,,,,
0d - 00:00:00,000520976,30.996,-165.1577,131.63,-0.0186,0.009313,0.009311,,,,,
0d - 00:00:00,000586098,35.12,-165.9814,127.81,-0.1765,-0.0279,0.018621,,,,,
0d - 00:00:00,000651220,40.40,-167.1140,123.86,0.018581,-0.0279,0.018621,,,,,
0d - 00:00:00,000716342,44.76,-168.6585,121.31,0,-0.0093,0,,,,,
0d - 00:00:00,000781464,48.06,-169.5852,118.87,-0.0557,-0.0093,0.009311,,,,,
0d - 00:00:00,000846586,51.56,-169.5509,115.13,-0.1301,-0.0373,0.027932,,,,,
0d - 00:00:00,000911708,54.75,-169.3793,111.79,0.009291,-0.0279,-0.0186,,,,,
0d - 00:00:00,000976829,57.87,-169.3450,108.63,-0.0186,0.018626,-0.0186,,,,,
0d - 00:00:00,001041952,61.61,-169.3450,104.43,-0.0279,-0.0093,0.018621,,,,,
0d - 00:00:00,001107074,66.08,-169.3450,100.03,0.018581,0.009313,0.018621,,,,,
0d - 00:00:00,001172196,70.23,-169.6195,96.42,0.03716,-0.1211,0.018621,,,,,
0d - 00:00:00,001237318,73.73,-169.9971,93.19,0.018581,-0.0093,0,,,,,
0d - 00:00:00,001302440,77.27,-169.8255,89.34,0.04645,-0.0186,0.009311,,,,,
0d - 00:00:00,001367562,81.08,-169.4822,85.12,0,0,0.009311,,,,,
0d - 00:00:00,001432684,85.13,-169.2077,80.61,-0.0093,0.027939,-0.0372,,,,,
0d - 00:00:00,001497806,89.42,-168.8988,76.31,0.018581,0,-0.0372,,,,,
0d - 00:00:00,001562928,93.23,-168.6585,72.05,-0.0186,0.027939,-0.0093,,,,,
0d - 00:00:00,001628050,97.07,-168.3496,68.00,0.12078,0,0.018621,,,,,
0d - 00:00:00,001693172,100.85,-168.0064,63.84,0.018581,-0.0279,-0.0186,,,,,
0d - 00:00:00,001758294,104.76,-167.4916,59.44,0.018581,0,-0.0372,,,,,
0d - 00:00:00,001823416,108.68,-166.9767,55.10,0.13007,-0.0279,-0.0931,,,,,
0d - 00:00:00,001888538,112.49,-166.6335,51.08,0.03716,0.03725,0.018621,,,,,
0d - 00:00:00,001953659,116.09,-166.2560,47.30,0.04645,-0.0093,0.027932,,,,,
0d - 00:00:00,002018782,119.04,-165.7068,43.73,-0.0465,0.009313,-0.0279,,,,,
0d - 00:00:00,002083904,121.99,-165.1920,40.39,0.027872,-0.0093,-0.0186,,,,,
0d - 00:00:00,002149026,124.84,-164.5056,36.99,0.13936,0,-0.0186,,,,,
0d - 00:00:00,002214148,127.90,-163.7848,33.24,0.009291,0.03725,-0.0093,,,,,
0d - 00:00:00,002279270,131.02,-162.9611,29.598,0.03716,0.009313,0.009311,,,,,
0d - 00:00:00,002344392,133.94,-162.1716,26.091,0.09291,0.018626,-0.0093,,,,,
0d - 00:00:00,002409514,136.93,-161.4166,22.516,0,-0.0279,-0.0093,,,,,
0d - 00:00:00,002474636,140.08,-160.3869,18.597,0.027872,0.08382,-0.0466,,,,,
