X-Data,AVValue[Volts],BVValue[Volts],CVValue[Volts],AIValue[Amps],BIValue[Amps],CIValue[Amps],AVrmsValue[Volts],BVrmsValue[Volts],CVrmsValue[Volts],DVrmsValue[Volts],
0d - 00:00:00,000000000,-0.7208,-152.4242,152.42,-0.0093,0,-0.0093,,,,,
0d - 00:00:00,000065110,3.741,-154.6894,150.09,-0.0279,-0.0186,0.018621,,,,,
0d - 00:00:00,000130220,7.174,-156.7144,148.71,0.009291,-0.0373,0.04655,,,,,
0d - 00:00:00,000195330,10.847,-158.8424,146.72,-0.0093,-0.0279,0.04655,,,,,
0d - 00:00:00,000260440,15.378,-160.6615,143.73,0,-0.0466,-0.0093,,,,,
0d - 00:00:00,000325550,19.463,-161.8971,140.63,0.009291,0,0.03724,,,,,
0d - 00:00:00,000390660,22.930,-163.3729,138.43,-0.1394,-0.0373,0.027932,,,,,
0d - 00:00:00,000455770,26.293,-164.4712,135.99,-0.0093,0.10244,0.027932,,,,,
0d - 00:00:00,000520880,29.417,-164.9861,133.04,-0.0186,-0.0186,-0.0093,,,,,
0d - 00:00:00,000585990,33.36,-165.6725,129.29,0.05574,-0.0093,0.018621,,,,,
0d - 00:00:00,000651100,38.55,-166.9767,125.51,-0.0093,-0.0279,0.009311,,,,,
0d - 00:00:00,000716210,43.32,-168.5555,122.38,0,0.03725,0.03724,,,,,
0d - 00:00:00,000781320,47.85,-169.4136,118.36,0.018581,0.009313,-0.0745,,,,,
0d - 00:00:00,000846430,51.63,-169.4479,114.85,-0.0929,0.027939,0,,,,,
0d - 00:00:00,000911540,54.51,-169.3793,112.27,0.018581,-0.0093,0.009311,,,,,
0d - 00:00:00,000976649,57.12,-169.3106,109.08,0.018581,-0.0186,0.018621,,,,,
0d - 00:00:00,001041760,61.61,-167.4572,101.79,0.03716,0,0,,,,,
0d - 00:00:00,001106870,66.83,-166.3589,96.46,0,-0.0093,0.009311,,,,,
0d - 00:00:00,001171980,70.54,-168.6928,95.77,0,-0.0093,0,,,,,
0d - 00:00:00,001237090,73.39,-170.9238,94.64,-0.0557,-0.0186,0.009311,,,,,
0d - 00:00:00,001302200,76.99,-170.8208,90.17,-0.0093,0.12107,0.018621,,,,,
0d - 00:00:00,001367310,81.90,-170.2030,84.70,0,-0.0186,0.018621,,,,,
0d - 00:00:00,001432420,86.47,-169.8941,80.23,-0.1208,-0.0093,0.009311,,,,,
0d - 00:00:00,001497530,90.00,-169.0704,75.87,0.009291,-0.0466,-0.0093,,,,,
0d - 00:00:00,001562640,93.37,-167.9034,71.16,0.018581,0,0.03724,,,,,
0d - 00:00:00,001627750,97.24,-167.5602,67.10,-0.0186,-0.0093,0.05586,,,,,
0d - 00:00:00,001692860,101.09,-167.7318,63.56,-0.0186,-0.0466,0,,,,,
0d - 00:00:00,001757970,105.00,-167.4916,59.33,0.009291,0.05588,-0.0372,,,,,
0d - 00:00:00,001823080,109.05,-167.1140,54.69,0.009291,-0.0186,-0.0372,,,,,
0d - 00:00:00,001888190,113.24,-166.8051,50.43,0.05574,-0.0186,0,,,,,
0d - 00:00:00,001953299,116.81,-166.3933,46.72,0.009291,0.027939,0.027932,,,,,
0d - 00:00:00,002018410,119.80,-165.6039,43.00,0.05574,-0.0093,0.018621,,,,,
0d - 00:00:00,002083520,122.71,-164.7801,39.40,0.03716,-0.0093,-0.0186,,,,,
0d - 00:00:00,002148630,125.67,-164.2310,36.13,-0.0279,0.018626,-0.0186,,,,,
0d - 00:00:00,002213740,128.55,-163.5445,32.55,0.018581,0,0,,,,,
0d - 00:00:00,002278850,131.64,-162.9611,29.013,0.06504,-0.0093,0.009311,,,,,
0d - 00:00:00,002343960,134.66,-162.1716,25.266,0,-0.0559,0.009311,,,,,
0d - 00:00:00,002409070,137.85,-161.4509,21.657,0.03716,0.009313,0.13966,,,,,
0d - 00:00:00,002474180,140.67,-160.5928,18.116,-0.0372,0.018626,0.027932,,,,,
0d - 00:00:00,002539290,143.52,-159.4602,14.300,0.009291,-0.0373,0.05586,,,,,
0d - 00:00:00,002604400,146.16,-157.9157,10.313,0.018581,0,0,,,,,
0d - 00:00:00,002669510,148.63,-156.4055,6.566,-0.0372,0.027939,0.04655,,,,,
0d - 00:00:00,002734620,150.55,-154.4835,2.8532,0.05574,-0.0186,-0.0186,,,,,
0d - 00:00:00,002799730,152.75,-152.2869,-1.7188,-0.0093,-0.0373,0.009311,,,,,
0d - 00:00:00,002864840,154.91,-150.0903,-5.7064,-0.0186,-0.0093,0,,,,,
0d - 00:00:00,002929950,156.59,-148.5458,-8.5253,0.06504,-0.0279,-0.0279,,,,,
0d - 00:00:00,002995060,158.48,-146.6238,-12.3066,0.04645,0.018626,0.018621,,,,,
0d - 00:00:00,003060170,160.51,-143.5348,-17.0849,0.04645,0.018626,-0.0093,,,,,
0d - 00:00:00,003125280,162.22,-140.7547,-21.0382,0.10220,0.018626,-0.0186,,,,,
0d - 00:00:00,003190390,163.53,-138.6267,-24.2352,0.009291,0.009313,-0.0093,,,,,
0d - 00:00:00,003255500,163.73,-134.6797,-28.2228,-0.0093,0.009313,0.06517,,,,,
0d - 00:00:00,003320610,164.42,-130.9043,-32.6573,0.027872,-0.0093,0.009311,,,,,
0d - 00:00:00,003385720,166.58,-128.6390,-37.0918,0.09291,-0.0931,-0.0186,,,,,
0d - 00:00:00,003450830,168.44,-125.6187,-41.7670,0.07433,-0.0093,0.11173,,,,,
0d - 00:00:00,003515940,169.29,-122.2551,-45.6515,0.15794,-0.0559,-0.0186,,,,,
0d - 00:00:00,003581050,169.43,-118.6170,-49.1235,0.07433,0.08382,0.03724,,,,,
0d - 00:00:00,003646160,168.68,-114.4640,-52.6298,0.09291,-0.0186,-0.0466,,,,,
0d - 00:00:00,003711270,168.64,-110.7572,-56.3424,-0.0465,0.018626,0.009311,,,,,
0d - 00:00:00,003776380,168.68,-106.2954,-60.6394,0.08362,-0.0279,0,,,,,
0d - 00:00:00,003841490,167.51,-100.3577,-65.6927,-0.0093,0,0,,,,,
0d - 00:00:00,003906599,168.44,-96.8568,-70.1616,-0.0186,-0.0373,0.04655,,,,,
0d - 00:00:00,003971710,170.63,-95.1064,-74.0805,0.14865,-0.0093,0.018621,,,,,
0d - 00:00:00,004036820,171.25,-92.3949,-77.0368,-0.0093,0.07450,0.027932,,,,,
0d - 00:00:00,004101930,170.32,-88.6195,-79.8213,0.07433,-0.0373,-0.0559,,,,,
0d - 00:00:00,004167040,169.57,-84.2949,-83.6027,-0.0929,0.009313,-0.0093,,,,,
0d - 00:00:00,004232150,169.19,-78.6661,-89.0341,0.08362,-0.0838,0.018621,,,,,
0d - 00:00:00,004297260,168.92,-73.4835,-93.6405,0.04645,-0.0093,0.018621,,,,,
0d - 00:00:00,004362370,168.57,-69.1589,-97.5938,0.12078,-0.0186,-0.0093,,,,,
0d - 00:00:00,004427480,168.26,-64.9030,-101.6845,0.05574,0.009313,-0.0186,,,,,
0d - 00:00:00,004492590,167.99,-60.7500,-105.4659,0.05574,0,0,,,,,
0d - 00:00:00,004557700,167.48,-57.2148,-108.3535,-0.0093,-0.0093,-0.0279,,,,,
0d - 00:00:00,004622810,166.58,-53.3021,-111.5505,0.04645,-0.0559,-0.0186,,,,,
0d - 00:00:00,004687920,166.03,-49.0462,-115.3662,0.03716,0.009313,0.04655,,,,,
0d - 00:00:00,004753030,165.59,-45.0992,-118.9757,0.05574,-0.0466,-0.0559,,,,,
0d - 00:00:00,004818140,165.24,-41.3581,-122.1383,0.07433,0,-0.0372,,,,,
0d - 00:00:00,004883250,164.93,-37.8915,-125.1290,0.06504,-0.0093,0.009311,,,,,
0d - 00:00:00,004948360,163.97,-34.5966,-128.0854,-0.0186,0.018626,0.009311,,,,,
0d - 00:00:00,005013470,163.60,-31.2331,-131.0761,0.03716,-0.0373,0.027932,,,,,
0d - 00:00:00,005078580,163.18,-27.8352,-133.9637,-0.0186,-0.0093,-0.0559,,,,,
0d - 00:00:00,005143690,162.29,-24.7119,-136.6450,0.027872,-0.0093,0,,,,,
0d - 00:00:00,005208800,161.50,-21.2797,-139.5670,0.009291,-0.0559,-0.0093,,,,,
0d - 00:00:00,005273910,160.61,-17.3670,-142.5577,0.04645,0.027939,0.10242,,,,,
0d - 00:00:00,005339020,159.31,-13.2826,-145.4453,0.13007,0,-0.0186,,,,,
0d - 00:00:00,005404130,157.76,-9.6102,-147.6110,0.03716,0.08382,0,,,,,
0d - 00:00:00,005469240,155.94,-5.5258,-149.9829,0,-0.0093,0.09311,,,,,
0d - 00:00:00,005534350,153.57,-1.0297,-152.1143,0.11149,0.009313,-0.0186,,,,,
0d - 00:00:00,005599460,151.44,3.398,-154.7956,0.06504,0.06519,0.009311,,,,,
0d - 00:00:00,005664570,150.07,6.796,-156.7207,0.03716,0,-0.0372,,,,,
0d - 00:00:00,005729680,148.36,9.953,-158.2676,-0.0372,-0.0186,0,,,,,
0d - 00:00:00,005794790,146.09,13.935,-160.1926,0.04645,0,-0.0093,,,,,
0d - 00:00:00,005859900,143.07,18.362,-161.8427,0.03716,-0.0186,0,,,,,
0d - 00:00:00,005925010,140.19,22.584,-163.3552,0.09291,0.009313,-0.0279,,,,,
0d - 00:00:00,005990120,137.27,26.531,-164.6959,0.03716,-0.0186,0.009311,,,,,
0d - 00:00:00,006055230,134.25,30.512,-165.6241,0.018581,0.027939,-0.0093,,,,,
0d - 00:00:00,006120340,131.26,34.43,-166.5866,0.06504,0.018626,0.05586,,,,,
0d - 00:00:00,006185450,127.38,38.99,-167.4460,-0.0650,-0.0093,-0.0186,,,,,
0d - 00:00:00,006250560,123.98,43.45,-168.6492,0.03716,0,0.018621,,,,,
0d - 00:00:00,006315670,120.62,47.74,-169.3711,0.009291,0.009313,-0.0279,,,,,
0d - 00:00:00,006380780,116.47,51.76,-169.2679,0.12078,-0.0373,-0.0093,,,,,
0d - 00:00:00,006445890,112.86,55.12,-169.1992,0.018581,0,-0.0093,,,,,
0d - 00:00:00,006511000,109.74,58.45,-169.4054,0.018581,0,0.018621,,,,,
0d - 00:00:00,006576110,105.17,61.54,-166.9647,0.07433,-0.0093,-0.0093,,,,,
0d - 00:00:00,006641220,99.61,65.49,-166.4491,0.05574,0.027939,0,,,,,
0d - 00:00:00,006706330,96.39,71.15,-169.7836,0.04645,0.018626,0.06517,,,,,
0d - 00:00:00,006771440,94.22,76.16,-172.1212,0.03716,-0.0186,0,,,,,
0d - 00:00:00,006836550,90.38,79.42,-170.7117,0.03716,0,0.018621,,,,,
0d - 00:00:00,006901660,85.47,82.44,-168.9585,0.018581,0,-0.0372,,,,,
0d - 00:00:00,006966770,80.70,86.46,-168.4085,-0.1208,0,-0.0186,,,,,
0d - 00:00:00,007031880,76.75,89.92,-168.1679,0.027872,-0.0559,-0.0372,,,,,
0d - 00:00:00,007096990,73.56,92.81,-167.9960,0.009291,0,-0.0093,,,,,
0d - 00:00:00,007162100,70.40,96.51,-168.4085,0,-0.0093,0.05586,,,,,
0d - 00:00:00,007227210,65.80,101.35,-168.2710,0.04645,-0.0466,0,,,,,
0d - 00:00:00,007292320,60.86,105.27,-167.4116,0.027872,-0.0652,0.03724,,,,,
0d - 00:00:00,007357430,56.64,108.59,-166.5866,-0.0186,0,-0.0652,,,,,
0d - 00:00:00,007422540,52.28,112.82,-166.3460,0.05574,0.018626,0,,,,,
0d - 00:00:00,007487650,47.88,116.97,-166.1741,0.009291,0.04656,0,,,,,
0d - 00:00:00,007552760,44.14,120.06,-165.6584,0.027872,0.009313,-0.0372,,,,,
0d - 00:00:00,007617870,40.85,123.01,-165.0397,0,0.027939,-0.0186,,,,,
0d - 00:00:00,007682980,37.45,125.89,-164.4209,0.03716,0.018626,-0.0093,,,,,
