X-Data,AVValue[Volts],BVValue[Volts],CVValue[Volts],AIValue[Amps],BIValue[Amps],CIValue[Amps],AVrmsValue[Volts],BVrmsValue[Volts],CVrmsValue[Volts],DVrmsValue[Volts],
0d - 00:00:00,000000000,0.06865,-151.6348,151.19,-0.0372,-0.0093,0,,,,,
0d - 00:00:00,000065129,3.982,-154.9640,150.26,0.06504,0.009313,0.018621,,,,,
0d - 00:00:00,000130258,7.071,-156.6115,148.47,-0.0186,0,0.018621,,,,,
0d - 00:00:00,000195387,11.327,-158.8767,146.37,-0.0093,0,0.04655,,,,,
0d - 00:00:00,000260516,16.064,-161.6225,143.86,-0.0279,-0.0093,0,,,,,
0d - 00:00:00,000325645,20.184,-162.6865,140.53,-0.0093,0,0.009311,,,,,
0d - 00:00:00,000390774,23.856,-163.5445,137.78,-0.0093,0.009313,0.009311,,,,,
0d - 00:00:00,000455903,27.014,-164.8831,135.75,-0.0093,-0.0186,0.018621,,,,,
0d - 00:00:00,000521032,30.619,-165.7755,132.62,0.009291,-0.0373,-0.0186,,,,,
0d - 00:00:00,000586161,34.70,-166.0500,128.60,0.009291,-0.0186,0,,,,,
0d - 00:00:00,000651290,39.20,-166.9767,125.03,0.05574,0.009313,0.13035,,,,,
0d - 00:00:00,000716419,43.42,-168.7272,122.55,-0.0465,0.018626,0.009311,,,,,
0d - 00:00:00,000781548,47.75,-169.6195,118.80,0.009291,-0.0186,0.03724,,,,,
0d - 00:00:00,000846677,51.66,-169.5509,115.13,0.018581,-0.0931,0.009311,,,,,
0d - 00:00:00,000911806,54.44,-169.4822,112.34,0.018581,0.009313,0.05586,,,,,
0d - 00:00:00,000976935,57.39,-169.5509,109.11,-0.0186,0,0.009311,,,,,
0d - 00:00:00,001042064,61.24,-169.3793,104.85,-0.0186,-0.0931,0.009311,,,,,
0d - 00:00:00,001107193,65.53,-169.3450,100.52,-0.0372,-0.0093,-0.0745,,,,,
0d - 00:00:00,001172322,70.02,-169.6882,96.32,-0.0557,0,-0.0093,,,,,
0d - 00:00:00,001237451,74.04,-169.7225,92.88,-0.0186,-0.0093,-0.0372,,,,,
0d - 00:00:00,001302580,77.16,-169.7225,89.48,-0.0093,-0.0652,-0.0093,,,,,
0d - 00:00:00,001367709,81.08,-169.5509,85.08,0.009291,-0.0279,0.03724,,,,,
0d - 00:00:00,001432838,85.47,-169.3450,80.44,0.05574,-0.0186,-0.0186,,,,,
0d - 00:00:00,001497967,89.45,-169.0017,76.42,0.009291,-0.0373,0.018621,,,,,
0d - 00:00:00,001563096,93.33,-168.7958,72.02,0.009291,-0.0186,0.13966,,,,,
0d - 00:00:00,001628225,97.66,-168.3839,67.41,-0.0929,-0.0186,0.04655,,,,,
0d - 00:00:00,001693354,101.60,-168.0064,63.22,0,-0.0093,-0.0279,,,,,
0d - 00:00:00,001758483,104.97,-167.4916,59.40,0.027872,-0.0093,0.027932,,,,,
0d - 00:00:00,001823612,108.68,-166.9767,54.93,0.027872,0.018626,0.009311,,,,,
0d - 00:00:00,001888741,112.86,-166.5305,50.53,-0.0372,0,-0.0279,,,,,
0d - 00:00:00,001953870,116.54,-166.3246,47.03,0.018581,0.05588,-0.0279,,,,,
0d - 00:00:00,002018999,119.52,-165.9814,43.55,0.027872,0,0.027932,,,,,
0d - 00:00:00,002084128,122.58,-165.2263,39.88,0.03716,-0.0186,-0.0745,,,,,
0d - 00:00:00,002149257,125.53,-164.5399,36.44,-0.1208,-0.0373,-0.0279,,,,,
0d - 00:00:00,002214386,128.45,-163.6818,32.97,-0.0093,-0.0186,0.009311,,,,,
0d - 00:00:00,002279515,131.19,-162.8924,29.254,0.06504,-0.0279,-0.0186,,,,,
0d - 00:00:00,002344644,134.28,-162.1030,25.473,0.06504,0.009313,-0.0093,,,,,
0d - 00:00:00,002409773,137.34,-161.2449,21.794,0.05574,-0.0373,-0.0279,,,,,
0d - 00:00:00,002474902,140.25,-160.5242,18.391,-0.0186,-0.0373,-0.0279,,,,,
0d - 00:00:00,002540031,143.21,-159.3916,14.335,-0.0279,-0.0186,0.027932,,,,,
0d - 00:00:00,002605160,146.06,-157.8814,9.935,-0.0650,0.018626,-0.0093,,,,,
0d - 00:00:00,002670289,147.09,-154.6894,6.669,-0.0372,0.027939,-0.0093,,,,,
0d - 00:00:00,002735418,148.80,-152.5272,2.4063,-0.0093,0.009313,-0.0186,,,,,
0d - 00:00:00,002800547,152.23,-150.9483,-2.9563,0.06504,-0.0186,-0.0372,,,,,
0d - 00:00:00,002865676,155.32,-148.9577,-7.2190,0,-0.0093,0.018621,,,,,
0d - 00:00:00,002930805,156.87,-147.6877,-9.7284,0.04645,-0.0093,-0.0279,,,,,
0d - 00:00:00,002995934,158.89,-146.3835,-12.9942,0.009291,-0.0093,-0.0093,,,,,
0d - 00:00:00,003061063,161.02,-143.6721,-17.1193,0.03716,0.018626,-0.0093,,,,,
0d - 00:00:00,003126192,161.23,-139.7937,-20.6600,0.06504,-0.0652,0.009311,,,,,
0d - 00:00:00,003191321,162.43,-137.5627,-24.3383,0.027872,-0.0186,0.009311,,,,,
0d - 00:00:00,003256450,165.04,-135.1945,-29.2884,-0.1022,0,-0.0279,,,,,
0d - 00:00:00,003321579,167.10,-131.5564,-34.7542,0.07433,-0.0279,0,,,,,
0d - 00:00:00,003386708,167.89,-127.7810,-38.7762,0.05574,-0.0093,-0.0093,,,,,
0d - 00:00:00,003451837,167.72,-124.5547,-41.6638,0.009291,0.009313,-0.0372,,,,,
