X-Data,AVValue[Volts],BVValue[Volts],CVValue[Volts],AIValue[Amps],BIValue[Amps],CIValue[Amps],AVrmsValue[Volts],BVrmsValue[Volts],CVrmsValue[Volts],DVrmsValue[Volts],
0d - 00:00:00,000000000,1.8536,152.60,-153.5924,-0.0743,4.181,-5.4654,,,,,
0d - 00:00:00,000065116,-2.3685,154.90,-151.5642,-0.2601,4.200,-5.4561,,,,,
0d - 00:00:00,000130233,-5.4578,156.37,-150.4986,-0.3995,4.191,-5.3257,,,,,
0d - 00:00:00,000195351,-7.9979,157.85,-148.4360,-0.5017,4.144,-5.2512,,,,,
0d - 00:00:00,000260467,-12.6319,159.29,-144.3453,-0.6225,4.023,-5.0929,,,,,
0d - 00:00:00,000325585,-18.4672,158.64,-137.4357,-0.8176,4.023,-4.8509,,,,,
0d - 00:00:00,000390702,-23.4101,160.15,-135.0637,-0.9569,4.014,-4.7578,,,,,
0d - 00:00:00,000455819,-26.6367,164.51,-136.3013,-1.1242,4.135,-4.7578,,,,,
0d - 00:00:00,000520935,-29.3141,167.08,-135.4075,-1.1985,4.032,-4.7019,,,,,
0d - 00:00:00,000586053,-32.7467,166.81,-130.8354,-1.3472,3.995,-4.6181,,,,,
0d - 00:00:00,000651170,-38.4448,166.60,-124.7165,-1.4679,3.874,-4.3295,,,,,
0d - 00:00:00,000716287,-43.8682,167.87,-121.0039,-1.7002,3.893,-4.1991,,,,,
0d - 00:00:00,000781404,-47.7470,168.83,-118.0475,-1.9046,3.818,-3.9850,,,,,
0d - 00:00:00,000846521,-51.1109,168.66,-114.4380,-2.0254,3.781,-3.9570,,,,,
0d - 00:00:00,000911638,-54.4062,168.18,-110.7598,-2.0440,3.651,-3.7895,,,,,
0d - 00:00:00,000976754,-57.6328,168.08,-107.4253,-2.2019,3.613,-3.6963,,,,,
0d - 00:00:00,001041871,-61.5803,169.00,-104.2627,-2.3506,3.567,-3.5474,,,,,
0d - 00:00:00,001106989,-65.6994,169.62,-100.5157,-2.4063,3.539,-3.4636,,,,,
0d - 00:00:00,001172106,-70.4020,169.96,-96.2875,-2.6386,3.418,-3.2587,,,,,
0d - 00:00:00,001237223,-74.2121,169.93,-92.5405,-2.7686,3.436,-3.1470,,,,,
0d - 00:00:00,001302340,-77.5417,169.76,-88.9654,-2.8615,3.362,-3.0167,,,,,
0d - 00:00:00,001367457,-81.1459,169.28,-84.7715,-2.9637,3.278,-2.8491,,,,,
0d - 00:00:00,001432574,-85.0934,168.59,-80.0619,-3.1310,3.1384,-2.6815,,,,,
0d - 00:00:00,001497691,-89.2125,168.38,-75.7993,-3.3168,3.166,-2.5977,,,,,
0d - 00:00:00,001562808,-93.0226,168.35,-71.7429,-3.4004,3.1384,-2.3556,,,,,
0d - 00:00:00,001627925,-97.4163,168.11,-67.2397,-3.6513,3.0453,-2.2253,,,,,
0d - 00:00:00,001693042,-101.3981,167.87,-63.4239,-3.7720,2.9708,-2.0670,,,,,
0d - 00:00:00,001758159,-104.6590,167.46,-59.4707,-3.7813,2.9242,-1.9552,,,,,
