X-Data,AVValue[Volts],BVValue[Volts],CVValue[Volts],AIValue[Amps],BIValue[Amps],CIValue[Amps],AVrmsValue[Volts],BVrmsValue[Volts],CVrmsValue[Volts],DVrmsValue[Volts],
0d - 00:00:00,000000000,-0.4806,-153.3509,153.08,-0.0093,-0.0373,-0.0186,,,,,
0d - 00:00:00,000065128,4.050,-155.4102,150.50,-0.0186,-0.0466,0.018621,,,,,
0d - 00:00:00,000130256,7.792,-156.9890,148.47,-0.0093,0.009313,-0.0093,,,,,
0d - 00:00:00,000195384,11.465,-159.0140,146.44,0,0.009313,-0.0372,,,,,
0d - 00:00:00,000260512,15.790,-161.0047,143.76,0.04645,-0.0093,0.018621,,,,,
0d - 00:00:00,000325640,19.943,-162.2060,140.46,-0.0650,-0.0093,0,,,,,
0d - 00:00:00,000390768,23.444,-163.3729,138.12,-0.1208,0.018626,0.027932,,,,,
0d - 00:00:00,000455896,26.328,-164.5742,136.16,-0.0186,0.03725,0.018621,,,,,
0d - 00:00:00,000521024,29.280,-165.1233,133.59,-0.0186,0.04656,0.03724,,,,,
0d - 00:00:00,000586152,33.06,-165.7068,129.80,-0.0279,0,0.009311,,,,,
0d - 00:00:00,000651280,38.51,-166.8051,124.99,-0.0186,-0.0093,0,,,,,
0d - 00:00:00,000716408,43.97,-168.2466,121.28,-0.0093,0.009313,0.009311,,,,,
0d - 00:00:00,000781536,47.78,-168.9674,118.56,0.018581,0.009313,0.10242,,,,,
0d - 00:00:00,000846664,50.63,-168.7615,115.57,-0.0186,-0.0093,0.03724,,,,,
0d - 00:00:00,000911792,52.07,-167.0797,112.51,-0.0836,0.009313,0.018621,,,,,
0d - 00:00:00,000976920,54.10,-165.8441,108.80,-0.0650,-0.0093,-0.0093,,,,,
0d - 00:00:00,001042048,58.83,-166.8738,104.23,0.03716,0.009313,0,,,,,
0d - 00:00:00,001107176,66.21,-168.0407,97.73,0.027872,-0.0093,-0.0279,,,,,
0d - 00:00:00,001172304,72.56,-168.8644,93.12,0.009291,-0.0279,-0.0093,,,,,
0d - 00:00:00,001237432,75.55,-169.8255,91.92,0.03716,0,0.009311,,,,,
0d - 00:00:00,001302560,77.40,-170.3060,89.89,-0.0186,-0.0093,-0.0186,,,,,
0d - 00:00:00,001367688,80.94,-169.2077,84.67,-0.0093,-0.0093,-0.0093,,,,,
0d - 00:00:00,001432816,85.37,-167.9034,78.93,-0.0093,-0.0745,0.009311,,,,,
0d - 00:00:00,001497944,89.66,-167.6289,74.70,0.03716,-0.0652,0.07449,,,,,
0d - 00:00:00,001563072,93.88,-167.5945,70.40,0.07433,-0.0186,-0.0093,,,,,
0d - 00:00:00,001628200,98.24,-167.3886,65.83,0.04645,0,0.009311,,,,,
0d - 00:00:00,001693328,102.08,-167.2856,62.22,-0.0650,0.07450,0.027932,,,,,
0d - 00:00:00,001758456,105.65,-167.3200,58.51,0.009291,0.018626,0.07449,,,,,
0d - 00:00:00,001823584,109.50,-166.9081,53.87,-0.0093,-0.0093,0,,,,,
0d - 00:00:00,001888712,114.00,-166.4619,49.26,0.027872,-0.0186,0.009311,,,,,
0d - 00:00:00,001953840,117.57,-166.2216,45.96,0,-0.0093,-0.0838,,,,,
0d - 00:00:00,002018968,120.38,-165.8784,42.56,-0.0279,-0.0186,-0.0186,,,,,
0d - 00:00:00,002084096,123.19,-164.9174,39.09,-0.1301,0.009313,0,,,,,
0d - 00:00:00,002149224,126.04,-164.2653,35.48,0.027872,-0.0559,-0.0466,,,,,
0d - 00:00:00,002214352,129.30,-163.6475,31.90,0.04645,0.009313,0.009311,,,,,
0d - 00:00:00,002279480,132.33,-162.8238,28.360,0.018581,-0.0093,-0.0279,,,,,
0d - 00:00:00,002344608,135.38,-162.0687,24.407,0.04645,0.04656,0,,,,,
0d - 00:00:00,002409736,138.47,-161.2106,20.798,0.07433,-0.0093,0.009311,,,,,
0d - 00:00:00,002474864,141.15,-160.3526,17.394,-0.0929,-0.0093,0.027932,,,,,
0d - 00:00:00,002539992,143.65,-159.0140,13.613,-0.1487,0.018626,0.009311,,,,,
0d - 00:00:00,002605120,146.36,-157.5382,9.660,0.009291,-0.0093,-0.0186,,,,,
0d - 00:00:00,002670248,148.94,-156.2683,5.981,0,0,0.018621,,,,,
0d - 00:00:00,002735376,151.31,-154.5865,1.9938,0.018581,0.018626,-0.0186,,,,,
0d - 00:00:00,002800504,153.57,-152.5615,-2.0969,0.009291,0.03725,-0.0093,,,,,
0d - 00:00:00,002865632,155.60,-150.2962,-5.8439,-0.0743,-0.0093,0.027932,,,,,
0d - 00:00:00,002930760,157.01,-148.4085,-9.2472,-0.0279,0,0.05586,,,,,
0d - 00:00:00,002995888,158.96,-146.1432,-13.2004,-0.0743,-0.0093,-0.0466,,,,,
0d - 00:00:00,003061016,160.88,-143.3288,-17.4974,0.018581,0.009313,0,,,,,
0d - 00:00:00,003126144,162.39,-140.5144,-21.3819,0.04645,-0.0186,0.027932,,,,,
0d - 00:00:00,003191272,163.77,-138.2149,-24.7508,0.11149,0.018626,-0.0093,,,,,
0d - 00:00:00,003256400,165.14,-135.5034,-28.7384,0.08362,0.018626,0,,,,,
0d - 00:00:00,003321528,165.96,-132.0369,-32.6917,0.009291,0.027939,-0.0652,,,,,
0d - 00:00:00,003386656,165.31,-127.5407,-36.7824,-0.0186,0,-0.0372,,,,,
0d - 00:00:00,003451784,166.41,-124.1428,-41.5607,0.009291,-0.0279,-0.0093,,,,,
0d - 00:00:00,003516912,169.16,-121.7403,-46.4077,0,-0.0931,0.009311,,,,,
0d - 00:00:00,003582040,169.95,-118.4454,-49.5360,0.05574,-0.0093,0,,,,,
0d - 00:00:00,003647168,167.85,-115.1848,-50.1547,0.06504,-0.0186,-0.0279,,,,,
0d - 00:00:00,003712296,166.07,-111.8555,-52.3204,0.009291,-0.0373,0.009311,,,,,
0d - 00:00:00,003777424,166.10,-106.7759,-58.7144,0.027872,0.027939,-0.0093,,,,,
0d - 00:00:00,003842552,168.57,-101.5589,-66.2771,0.09291,-0.0093,0.027932,,,,,
0d - 00:00:00,003907680,170.05,-97.0627,-71.6054,0,0,-0.0279,,,,,
0d - 00:00:00,003972808,170.19,-93.1500,-75.1462,0.009291,0.018626,0,,,,,
0d - 00:00:00,004037936,169.60,-89.6835,-77.7931,0.05574,0,-0.0652,,,,,
0d - 00:00:00,004103064,168.54,-86.5259,-79.8901,-0.1487,-0.0093,-0.1117,,,,,
0d - 00:00:00,004168192,167.48,-82.2356,-83.5339,0.009291,0.04656,0,,,,,
