X-Data,AVValue[Volts],BVValue[Volts],CVValue[Volts],AIValue[Amps],BIValue[Amps],CIValue[Amps],AVrmsValue[Volts],BVrmsValue[Volts],CVrmsValue[Volts],DVrmsValue[Volts],
0d - 00:00:00,000000000,1.6476,152.56,-153.1799,0.06504,0.009313,0.018621,,,,,
0d - 00:00:00,000065108,-3.6385,155.03,-150.3954,0,0.018626,-0.0093,,,,,
0d - 00:00:00,000130216,-6.7965,156.65,-149.0548,0.03716,-0.0093,-0.0093,,,,,
0d - 00:00:00,000195324,-10.3320,158.46,-146.8891,0.05574,0.05588,-0.0372,,,,,
0d - 00:00:00,000260432,-15.0003,160.80,-143.9671,-0.0093,0.04656,0.018621,,,,,
0d - 00:00:00,000325540,-19.7373,162.48,-140.5295,0,-0.0186,0,,,,,
0d - 00:00:00,000390648,-23.8564,163.51,-137.2294,-0.0557,-0.0093,-0.0279,,,,,
0d - 00:00:00,000455756,-27.3232,164.51,-134.9606,0.027872,0,0.05586,,,,,
0d - 00:00:00,000520864,-30.2409,165.50,-132.7261,-0.0279,0.06519,0.03724,,,,,
0d - 00:00:00,000585972,-34.1197,166.43,-129.1510,0,-0.0093,0.018621,,,,,
0d - 00:00:00,000651080,-39.3716,167.35,-124.8196,0.018581,0.027939,0.04655,,,,,
0d - 00:00:00,000716188,-44.2801,168.69,-121.3476,-0.1115,0.027939,0.009311,,,,,
0d - 00:00:00,000781296,-48.7425,169.45,-117.4631,-0.0093,-0.0186,-0.0093,,,,,
0d - 00:00:00,000846404,-52.2437,169.41,-114.3693,0.009291,-0.0186,0,,,,,
0d - 00:00:00,000911512,-54.4749,169.52,-112.4786,0.027872,0,-0.0279,,,,,
0d - 00:00:00,000976620,-56.5001,169.07,-109.7285,0.21369,0.027939,0.018621,,,,,
0d - 00:00:00,001041728,-59.9326,168.35,-104.8127,0.07433,0.05588,0.018621,,,,,
0d - 00:00:00,001106836,-65.4591,168.35,-99.0376,0.018581,-0.0745,0,,,,,
0d - 00:00:00,001171944,-71.4661,169.17,-94.2937,0.027872,0.009313,0.027932,,,,,
0d - 00:00:00,001237052,-75.3792,169.72,-91.4404,0.009291,0.009313,0.03724,,,,,
0d - 00:00:00,001302160,-77.7477,169.65,-88.9654,0,0.06519,0.027932,,,,,
0d - 00:00:00,001367268,-80.8027,169.41,-85.1840,-0.0093,0.06519,0.027932,,,,,
0d - 00:00:00,001432376,-84.9561,168.90,-80.2338,0.009291,0.03725,0.03724,,,,,
0d - 00:00:00,001497484,-89.2811,168.25,-75.5587,0,0.03725,0.009311,,,,,
0d - 00:00:00,001562592,-93.3315,167.87,-70.9523,-0.0093,-0.0279,0.027932,,,,,
0d - 00:00:00,001627700,-97.5536,167.56,-66.4146,0,0.027939,0.04655,,,,,
