X-Data,AVValue[Volts],BVValue[Volts],CVValue[Volts],AIValue[Amps],BIValue[Amps],CIValue[Amps],AVrmsValue[Volts],BVrmsValue[Volts],CVrmsValue[Volts],DVrmsValue[Volts],
0d - 00:00:00,000000000,0.8925,153.49,-153.4205,0.03716,-0.0373,0.009311,,,,,
0d - 00:00:00,000065084,-3.1580,155.62,-151.6674,-0.0836,0,0.027932,,,,,
0d - 00:00:00,000130168,-5.6637,157.02,-150.8423,0.06504,0,0,,,,,
0d - 00:00:00,000195252,-8.8560,158.50,-148.2985,0.027872,-0.0466,0.018621,,,,,
0d - 00:00:00,000260336,-13.9706,160.59,-144.5171,0.04645,0.06519,-0.0372,,,,,
0d - 00:00:00,000325420,-19.4627,162.51,-140.7014,-0.0186,0.009313,0.018621,,,,,
0d - 00:00:00,000390504,-24.0623,164.06,-137.7107,0.009291,0.018626,0.027932,,,,,
0d - 00:00:00,000455588,-27.4949,165.29,-135.5106,-0.0557,-0.0373,0.018621,,,,,
0d - 00:00:00,000520672,-30.5155,166.05,-133.1386,-0.0093,0.009313,-0.0186,,,,,
0d - 00:00:00,000585756,-34.5660,166.70,-129.0823,0.018581,0.009313,-0.0279,,,,,
0d - 00:00:00,000650840,-39.7148,167.63,-124.9228,0.07433,0.018626,0.018621,,,,,
0d - 00:00:00,000715924,-44.4861,169.14,-121.4852,0.009291,0.03725,0.04655,,,,,
0d - 00:00:00,000781008,-48.7081,169.72,-118.1850,-0.0093,-0.0093,0.12104,,,,,
0d - 00:00:00,000846092,-51.7288,169.69,-115.0568,-0.0836,0.018626,0.018621,,,,,
0d - 00:00:00,000911176,-54.4749,169.72,-112.4099,0,0.009313,0.009311,,,,,
0d - 00:00:00,000976260,-57.7015,169.83,-108.8347,0,-0.0093,0.009311,,,,,
0d - 00:00:00,001041344,-61.5803,169.72,-104.6752,-0.0372,0.009313,0.05586,,,,,
0d - 00:00:00,001106428,-65.9396,169.79,-100.2751,0.04645,0,-0.0279,,,,,
0d - 00:00:00,001171512,-70.4363,169.86,-96.1156,-0.0372,-0.0466,0.009311,,,,,
0d - 00:00:00,001236596,-73.9719,169.83,-92.9530,-0.0372,0.10244,0.009311,,,,,
0d - 00:00:00,001301680,-76.9239,169.76,-89.5498,0.07433,0.009313,-0.0186,,,,,
0d - 00:00:00,001366764,-80.8370,169.34,-85.0465,0.04645,-0.0279,0.03724,,,,,
0d - 00:00:00,001431848,-85.2650,169.10,-80.3370,0.018581,-0.0559,0.03724,,,,,
